id,x0,x1,x2,fitness-2,fitness-3,fitness-2.5,fitness-4,fitness-3.5,fitness-1.5,fitness-1,fitness-0.5
6,0.419305,1.94157,-4.01356,-60.616,NA,NA,NA,NA,NA,NA,NA
201,1.81651,1.20193,-3.99645,NA,-15.978,NA,NA,NA,NA,NA,NA
593,2.83818,0.68587,-4.8015,NA,NA,-68.229,NA,NA,NA,NA,NA
662,2.18884,1.24781,-4.20115,NA,NA,NA,-49.153,NA,NA,NA,NA
878,2.62054,2.42022,-4.35719,NA,NA,NA,NA,-59.922,NA,NA,NA
1144,2.45671,1.62626,-4.73077,NA,NA,NA,NA,-35.108,NA,NA,NA
1362,2.54388,1.73412,-4.86212,NA,NA,NA,NA,NA,-36.377,NA,NA
1459,1.95453,2.04663,-4.49818,NA,-20.03,NA,NA,NA,NA,NA,NA
1795,2.12752,1.92583,-4.31632,NA,-13.969,NA,NA,NA,NA,NA,NA
1841,1.71291,2.16799,-4.68278,-19.499,NA,NA,NA,NA,NA,NA,NA
2149,2.37127,1.81242,-4.12591,NA,-16.454,NA,NA,NA,NA,NA,NA
2319,1.1234,2.03054,-4.64428,NA,-24.392,NA,NA,NA,NA,NA,NA
2465,1.76501,1.90923,-4.26191,NA,NA,-3.038,NA,NA,NA,NA,NA
2601,1.61463,1.33753,-3.93807,NA,-18.322,NA,NA,NA,NA,NA,NA
2958,2.09895,0.361305,-3.68741,-101.524,NA,NA,NA,NA,NA,NA,NA
3096,2.18673,1.80591,-3.88318,NA,NA,NA,NA,NA,-46.613,NA,NA
3253,1.91382,2.94195,-4.60159,NA,NA,-40.843,NA,NA,NA,NA,NA
3532,2.63886,2.38204,-4.09067,-34.968,NA,NA,NA,NA,NA,NA,NA
3607,1.95296,2.29964,-4.53128,NA,NA,-15.038,NA,NA,NA,NA,NA
3959,2.36637,1.83667,-3.397,NA,-44.257,NA,NA,NA,NA,NA,NA
4178,2.28551,2.40321,-3.91459,NA,NA,-26.642,NA,NA,NA,NA,NA
4315,2.16312,1.11692,-4.10173,-20.929,NA,NA,NA,NA,NA,NA,NA
4553,1.78845,1.79265,-4.58561,NA,-8.174,NA,NA,NA,NA,NA,NA
4689,1.7771,2.56989,-4.57707,NA,NA,-24.122,NA,NA,NA,NA,NA
4888,1.79379,2.05561,-4.67759,NA,NA,NA,NA,-36.821,NA,NA,NA
5085,0.98261,1.96423,-4.89351,NA,NA,NA,NA,NA,-52.44,NA,NA
5217,1.20564,1.79168,-4.10815,NA,NA,NA,-49.136,NA,NA,NA,NA
5574,1.76721,1.8611,-4.13594,NA,-6.379,NA,NA,NA,NA,NA,NA
5676,1.49093,2.78026,-4.95673,NA,NA,-41.577,NA,NA,NA,NA,NA
5816,0.816622,2.21016,-4.71391,-46.293,NA,NA,NA,NA,NA,NA,NA
6091,1.65622,2.33087,-4.30973,-18.282,NA,NA,NA,NA,NA,NA,NA
6250,1.76507,2.39981,-4.59035,NA,NA,-17.367,NA,NA,NA,NA,NA
6531,1.10817,2.22099,-3.73455,NA,-34.363,NA,NA,NA,NA,NA,NA
6625,0.741228,1.9769,-4.02889,NA,-41.815,NA,NA,NA,NA,NA,NA
6922,1.76348,2.73719,-3.91319,NA,NA,-34.382,NA,NA,NA,NA,NA
7141,1.05311,1.83927,-3.09925,NA,NA,-58.102,NA,NA,NA,NA,NA
7247,1.14172,2.19122,-3.88155,NA,-25.612,NA,NA,NA,NA,NA,NA
7565,2.47524,2.00008,-4.62608,-22.79,NA,NA,NA,NA,NA,NA,NA
7728,1.42841,2.01972,-4.57322,-12.356,NA,NA,NA,NA,NA,NA,NA
7954,1.14762,1.87858,-4.62593,NA,-21.314,NA,NA,NA,NA,NA,NA
8127,0.628607,1.63826,-4.25866,NA,NA,-41.385,NA,NA,NA,NA,NA
8399,0.313337,1.30683,-4.6695,NA,NA,-72.36,NA,NA,NA,NA,NA
8569,2.14962,1.28509,-4.91807,-22.808,NA,NA,NA,NA,NA,NA,NA
8702,1.93313,1.27895,-4.67684,NA,NA,-10.141,NA,NA,NA,NA,NA
8878,1.31616,2.06312,-4.09277,-21.96,NA,NA,NA,NA,NA,NA,NA
9071,1.40596,2.60643,-4.64853,-33.286,NA,NA,NA,NA,NA,NA,NA
9369,2.86608,1.98374,-4.60472,NA,NA,-34.149,NA,NA,NA,NA,NA
9510,1.9447,2.27339,-4.95075,NA,-22.693,NA,NA,NA,NA,NA,NA
9722,2.54378,1.59197,-4.47039,NA,NA,-18.863,NA,NA,NA,NA,NA
9872,2.68382,1.91184,-4.76413,NA,-36.132,NA,NA,NA,NA,NA,NA
10165,1.50393,2.9787,-4.82879,NA,NA,-48.289,NA,NA,NA,NA,NA
10288,1.9423,1.50074,-3.36821,NA,NA,-30.119,NA,NA,NA,NA,NA
10452,3.05408,2.21975,-4.01083,NA,-63.171,NA,NA,NA,NA,NA,NA
10673,1.6617,2.06579,-3.85801,NA,NA,NA,NA,NA,-32.025,NA,NA
10881,2.40847,1.46861,-4.54419,NA,NA,NA,NA,-28.993,NA,NA,NA
11031,2.16968,1.66289,-4.77164,NA,NA,-10.92,NA,NA,NA,NA,NA
11341,1.25033,1.39769,-4.63207,NA,NA,-15.08,NA,NA,NA,NA,NA
11579,2.10183,1.68627,-4.23976,NA,NA,-4.177,NA,NA,NA,NA,NA
11791,1.09705,2.0262,-4.59295,NA,NA,-21.293,NA,NA,NA,NA,NA
11847,2.81307,2.68331,-3.85313,NA,NA,-58.048,NA,NA,NA,NA,NA
12162,2.11086,1.52374,-4.02089,NA,-10.832,NA,NA,NA,NA,NA,NA
12245,3.13859,1.80727,-4.28972,NA,NA,NA,NA,-58.485,NA,NA,NA
12468,1.99035,1.68599,-4.63791,-13.123,NA,NA,NA,NA,NA,NA,NA
12754,1.68843,1.99415,-4.4871,NA,NA,-6.037,NA,NA,NA,NA,NA
12915,1.67724,1.2277,-3.49285,NA,-31.863,NA,NA,NA,NA,NA,NA
13118,1.62566,1.97267,-3.99564,-10.49,NA,NA,NA,NA,NA,NA,NA
13344,1.82505,1.69587,-4.94906,NA,NA,-12.668,NA,NA,NA,NA,NA
13538,1.77307,1.82577,-4.13278,-5.523,NA,NA,NA,NA,NA,NA,NA
13741,2.3053,1.56431,-4.6678,NA,NA,NA,NA,-31.847,NA,NA,NA
13868,2.16981,1.61993,-4.38805,NA,NA,-6.947,NA,NA,NA,NA,NA
14087,1.67968,0.812035,-3.98609,NA,NA,-36.977,NA,NA,NA,NA,NA
14222,3.19642,1.78966,-4.45774,NA,-57.321,NA,NA,NA,NA,NA,NA
14484,2.68579,1.43693,-4.75355,-38.223,NA,NA,NA,NA,NA,NA,NA
14701,2.18675,1.879,-4.02425,-14.601,NA,NA,NA,NA,NA,NA,NA
14898,1.51497,2.19212,-3.96869,NA,NA,-14.309,NA,NA,NA,NA,NA
15047,1.32815,1.9488,-4.03584,NA,NA,NA,NA,-29.508,NA,NA,NA
15263,0.812673,2.15039,-4.77488,NA,NA,-35.807,NA,NA,NA,NA,NA
15515,2.03411,2.01638,-4.13303,NA,NA,-7.823,NA,NA,NA,NA,NA
15797,1.34252,2.0561,-3.88994,NA,-17.414,NA,NA,NA,NA,NA,NA
15999,1.64697,2.31739,-4.78474,NA,-20.785,NA,NA,NA,NA,NA,NA
