id,x0,x1,x2,fitness-4,fitness-4.5
104,-2.37482,2.69364,-4.07446,-143.977,NA
211,-2.37482,2.9324,-4.07446,-117.364,NA
223,-2.37482,2.9324,-4.61544,-108.104,NA
245,-2.37482,2.9324,-4.61544,NA,-81.329
277,-1.67569,2.9324,-4.61544,NA,-72.321
306,-1.67569,3.33978,-4.61544,NA,-34.598
314,-1.67569,3.33978,-5,NA,-32.947
334,-1.67569,3.96586,-5,NA,-18.299
361,-1.67569,3.96586,-4.85228,NA,-16.171
371,-1.67569,3.96586,-4.85228,NA,-11.229
392,-1.67569,3.96586,-4.85228,NA,-9.973
432,-1.67569,3.96586,-4.85228,NA,-9.91
448,-1.67569,3.7875,-4.85228,NA,-2.992
474,-1.52702,3.7875,-4.85228,NA,-2.192
500,-1.52702,3.76399,-4.85228,NA,-1.523
564,-1.52702,3.71562,-4.85228,NA,-0.614
601,-1.47569,3.71562,-4.85228,NA,-0.389
790,-1.47569,3.67935,-4.85228,NA,-0.082
885,-1.47569,3.67935,-4.85228,NA,-0.079
1792,-1.47569,3.67935,-4.85228,NA,-0.018
2079,-1.48614,3.67935,-4.85228,NA,-0.015
2201,-1.48614,3.67935,-4.86449,NA,-0.014
2441,-1.48614,3.67908,-4.86449,NA,-0.014
2862,-1.48614,3.67176,-4.86449,NA,-0.01
2913,-1.48614,3.67176,-4.86226,NA,-0.007
3379,-1.48111,3.67176,-4.86226,NA,-0.003
4229,-1.48111,3.67176,-4.85835,NA,-0.001
4381,-1.48111,3.67176,-4.85835,NA,-0.001
5180,-1.48111,3.67176,-4.85835,NA,-0.001
8019,-2.19493,3.67176,-4.85835,NA,-35.769
