id,x0,x1,x2,fitness-2.5
139,0.760951,2.34361,-3.78392,-46.792
218,1.93031,2.34361,-3.78392,-22.213
253,1.93031,1.21437,-3.78392,-18.17
278,1.93031,1.21437,-4.13578,-8.774
328,1.93031,1.64899,-4.13578,-2.348
388,1.65841,1.64899,-4.13578,-1.798
398,1.65841,1.64899,-4.13578,-1.507
438,1.65841,1.64899,-4.42199,-0.895
530,1.83145,1.64899,-4.42199,-0.71
624,1.83145,1.64899,-4.32006,-0.283
731,1.74659,1.64899,-4.32006,-0.108
965,1.74659,1.62786,-4.32006,-0.046
1039,1.74659,1.59257,-4.32006,-0.01
1187,1.74659,1.59257,-4.29848,-0.01
1496,1.74659,1.59796,-4.29848,-0.01
1590,1.75901,1.59796,-4.29848,-0.005
1803,1.75901,1.59796,-4.30519,-0.002
3103,1.75901,1.59796,-4.30737,-0.002
3206,1.75901,1.59796,-4.30737,-0.001
3483,1.75722,1.59796,-4.30737,0
4533,1.75722,1.59662,-4.30737,0
5647,1.75722,1.59662,-4.30737,0
8074,1.75722,1.59653,-4.30737,0
8138,1.75722,1.96197,-4.30737,-3.945
