id,x0,x1,x2,fitness-5,fitness-4.5
75,-2.5379,2.36692,-3.62097,-178.706,NA
257,-2.32666,2.36692,-3.68173,-134.44,NA
297,-2.32666,2.36692,-4.84143,-96.469,NA
340,-2.32666,3.24958,-4.84143,-51.331,NA
398,-2.32666,3.54187,-4.84143,-49.906,NA
485,-1.63472,3.54187,-4.84143,-36.375,NA
560,-1.63472,3.54187,-4.84143,NA,-6.525
621,-1.4917,3.54187,-4.84143,NA,-2.469
665,-1.4917,3.61547,-4.84143,NA,-0.622
768,-1.4917,3.61976,-4.84143,NA,-0.551
835,-1.4917,3.61976,-4.85066,NA,-0.515
898,-1.4917,3.68778,-4.85066,NA,-0.098
1194,-1.4917,3.6858,-4.85066,NA,-0.089
1289,-1.4917,3.6858,-4.85066,NA,-0.051
1439,-1.4917,3.67789,-4.85066,NA,-0.03
1844,-1.47953,3.67789,-4.85066,NA,-0.014
2716,-1.47953,3.67209,-4.85066,NA,-0.012
3017,-1.47953,3.67209,-4.86058,NA,-0.002
3348,-1.47953,3.67209,-4.86058,NA,-0.002
5449,-1.47953,3.67516,-4.86058,NA,-0.002
5842,-1.47953,3.67516,-4.85741,NA,-0.001
6595,-1.47953,3.67516,-4.85741,NA,-0.001
8014,-1.47953,3.67516,-5,NA,-3.129
