id,x0,x1,x2,fitness-4.5
162,-3.52916,4.72214,-4.35075,-129.683
215,-3.52916,4.24487,-4.35075,-110.264
227,-1.95529,4.24487,-4.35075,-61.127
241,-1.95529,3.83462,-4.35075,-34.967
252,-1.95529,3.83462,-5,-30.804
271,-1.95529,3.43149,-5,-28.929
283,-1.95529,3.43149,-5,-22.739
291,-1.4059,3.43149,-5,-9.813
315,-1.4059,3.43149,-4.89924,-6.249
352,-1.4059,3.65151,-4.89924,-4.228
378,-1.62282,3.65151,-4.89924,-4.127
398,-1.62282,3.65151,-4.89924,-2.712
443,-1.5437,3.65151,-4.89924,-1.184
488,-1.5437,3.65151,-4.85606,-0.966
534,-1.5437,3.65151,-4.85606,-0.612
550,-1.49151,3.65151,-4.85606,-0.099
956,-1.49151,3.66929,-4.85606,-0.022
1048,-1.49151,3.66929,-4.85757,-0.021
1891,-1.49151,3.66981,-4.85757,-0.021
2845,-1.47192,3.66981,-4.85757,-0.02
4388,-1.48256,3.66981,-4.85757,-0.005
4585,-1.48256,3.67773,-4.85757,-0.004
4717,-1.48256,3.67773,-4.85757,-0.003
6366,-1.48256,3.67688,-4.85757,-0.002
8063,-1.48256,3.67199,-4.85757,-0.001
8106,-1.48256,3.67199,-4.85963,-0.001
8145,-1.48256,3.67199,-5,-3.103
