id,x0,x1,x2,fitness-2.5
180,2.56385,0.178897,-4.51321,-117.863
257,2.56385,2.06042,-4.51321,-21.996
303,2.56385,1.73803,-4.51321,-19.006
322,2.56385,1.73803,-4.38338,-18.308
337,1.91129,1.73803,-4.38338,-1.666
391,1.77619,1.73803,-4.38338,-0.954
466,1.77619,1.68545,-4.38338,-0.556
521,1.77619,1.68545,-4.37126,-0.501
586,1.77619,1.68545,-4.37126,-0.432
649,1.77619,1.63565,-4.37126,-0.218
796,1.77619,1.63565,-4.30936,-0.083
990,1.77619,1.63565,-4.30936,-0.069
1112,1.77619,1.58958,-4.30936,-0.016
1280,1.74437,1.58958,-4.30936,-0.01
1611,1.75376,1.58958,-4.30936,-0.004
1864,1.75376,1.58958,-4.30936,-0.004
2209,1.7576,1.58958,-4.30936,-0.003
2552,1.7576,1.59502,-4.30936,-0.002
2783,1.7576,1.59502,-4.30936,0
6490,1.7576,1.59598,-4.30936,0
8052,1.37131,1.59598,-4.30936,-5.394
