id,x0,x1,x2,fitness-4.5
35,-3.60652,2.8701,-2.84442,-219.743
239,-3.60652,2.8701,-4.56085,-138.2
254,-3.60652,3.41279,-4.56085,-116.627
282,-1.44289,3.41279,-4.56085,-25.884
328,-1.44289,3.41279,-4.87846,-6.205
363,-1.44289,3.49782,-4.87846,-4.222
371,-1.44289,3.50501,-4.87846,-4.076
406,-1.44289,3.51961,-4.87846,-3.78
463,-1.44289,3.69755,-4.87846,-1.946
505,-1.44289,3.65003,-4.87846,-1.784
558,-1.44289,3.65003,-4.87846,-0.522
613,-1.47279,3.65003,-4.87846,-0.261
672,-1.47279,3.65003,-4.87846,-0.189
760,-1.47279,3.65003,-4.83933,-0.187
798,-1.47279,3.65003,-4.83933,-0.172
858,-1.47279,3.68778,-4.83933,-0.114
1077,-1.47279,3.67128,-4.83933,-0.08
1288,-1.47279,3.67128,-4.87266,-0.049
1752,-1.47279,3.67128,-4.87266,-0.049
2159,-1.47279,3.67128,-4.84787,-0.035
2406,-1.47406,3.67128,-4.84787,-0.031
2619,-1.47406,3.67128,-4.8545,-0.014
2869,-1.47406,3.6759,-4.8545,-0.014
3148,-1.47993,3.6759,-4.8545,-0.005
3316,-1.47993,3.6759,-4.85588,-0.003
3982,-1.47993,3.6759,-4.8575,-0.002
4553,-1.48262,3.6759,-4.8575,-0.002
4625,-1.48262,3.67479,-4.8575,-0.001
4695,-1.48262,3.67479,-4.85945,-0.001
5934,-1.48262,3.67479,-4.85945,-0.001
6676,-1.48262,3.67337,-4.85945,-0.001
7214,-1.48262,3.67337,-4.85945,-0.001
7992,-1.48262,3.67337,-5,-3.104
