id,x0,x1,x2,fitness-1.5,fitness-2,fitness-2.5
138,-1.97488,3.27014,2.57577,-118.058,NA,NA
214,-1.97488,3.27014,3.7677,-77.541,NA,NA
220,-1.97488,4.06434,3.7677,-30.661,NA,NA
226,-1.97488,4.16047,3.7677,-28.004,NA,NA
247,-1.97488,4.16047,3.7677,NA,-20.55,NA
263,-1.97488,4.16047,3.43406,NA,-14.155,NA
291,-1.48166,4.16047,3.43406,NA,-8.182,NA
318,-1.48166,4.48894,3.43406,NA,-5.226,NA
342,-1.48166,4.48894,3.43406,NA,-3.398,NA
380,-1.48166,4.48894,3.23507,NA,-2.598,NA
405,-1.48166,4.48894,3.28165,NA,-2.456,NA
442,-1.48166,4.48894,3.28165,NA,-0.933,NA
500,-1.60461,4.48894,3.28165,NA,-0.705,NA
538,-1.55103,4.48894,3.28165,NA,-0.646,NA
559,-1.55103,4.45464,3.28165,NA,-0.438,NA
588,-1.55103,4.40106,3.28165,NA,-0.315,NA
623,-1.55103,4.40106,3.28165,NA,-0.029,NA
844,-1.55119,4.40106,3.28165,NA,-0.029,NA
1193,-1.55119,4.40106,3.28165,NA,-0.006,NA
2356,-1.55119,4.40106,3.28165,NA,-0.005,NA
2550,-1.56145,4.40106,3.28165,NA,-0.001,NA
4283,-1.56145,4.40106,3.28585,NA,0,NA
6847,-1.56145,4.40106,3.28585,NA,0,NA
8070,-1.56145,4.40106,3.28585,NA,NA,-10.607
