id,x0,x1,x2,fitness-4.5
35,-3.60652,2.8701,-2.84442,-219.743
218,-3.60652,2.8701,-3.61902,-158.697
246,-2.99802,2.8701,-3.61902,-125.914
262,-2.3205,2.8701,-3.61902,-106.801
288,-2.3205,2.8701,-4.87174,-51.211
306,-2.3205,3.96402,-4.87174,-35.84
322,-1.54537,3.96402,-4.87174,-10.871
336,-1.54537,3.74534,-4.87174,-2.209
362,-1.54537,3.74534,-4.87174,-1.666
415,-1.54537,3.74534,-4.87174,-1.241
469,-1.52483,3.74534,-4.87174,-1.061
478,-1.52483,3.6584,-4.87174,-0.353
623,-1.52483,3.6584,-4.86054,-0.329
719,-1.52483,3.66208,-4.86054,-0.314
880,-1.52483,3.66629,-4.86054,-0.302
965,-1.51214,3.66629,-4.86054,-0.171
1053,-1.48739,3.66629,-4.86054,-0.035
1446,-1.48739,3.66629,-4.86054,-0.024
1796,-1.48739,3.66629,-4.86054,-0.016
1861,-1.48739,3.6812,-4.86054,-0.015
1933,-1.48739,3.67603,-4.86054,-0.007
2233,-1.48349,3.67603,-4.86054,-0.002
2409,-1.48349,3.67496,-4.86054,-0.002
4653,-1.48023,3.67496,-4.86054,-0.001
5652,-1.48225,3.67496,-4.86054,-0.001
5804,-1.48225,3.67496,-4.8588,0
8181,-1.09977,3.67496,-4.8588,-16.821
