id,x0,x1,x2,fitness5,fitness4.5,fitness3.5,fitness4,fitness3
172,-3.57724,3.25921,1.9666,139.303,NA,NA,NA,NA
241,-3.16083,4.6503,4.74301,2067.625,NA,NA,NA,NA
556,-0.98037,5,5,NA,2005.021,NA,NA,NA
630,-0.74221,5,5,12544.646,NA,NA,NA,NA
907,0.023311,5,4.23405,NA,2202.181,NA,NA,NA
1185,-0.61392,4.85345,5,10991.867,NA,NA,NA,NA
1294,-1.99914,5,5,7361.806,NA,NA,NA,NA
1402,-1.5919,5,4.14585,3712.801,NA,NA,NA,NA
1763,-1.05259,5,5,4306.118,NA,NA,NA,NA
1941,-0.794503,5,5,NA,9061.063,NA,NA,NA
2099,-0.816248,5,5,NA,6069.297,NA,NA,NA
2376,-0.630084,5,4.63615,6327.805,NA,NA,NA,NA
2460,-1.01593,5,5,6429.337,NA,NA,NA,NA
2612,-0.809068,4.84623,5,NA,19416.16,NA,NA,NA
2975,-2.03766,5,5,6680.976,NA,NA,NA,NA
3121,-2.08019,5,5,5039.74,NA,NA,NA,NA
3301,-2.14888,5,4.71473,3854.256,NA,NA,NA,NA
3492,-1.08261,5,5,2989.498,NA,NA,NA,NA
3655,-0.721623,5,5,12125.54,NA,NA,NA,NA
3892,-0.799295,5,4.76651,15671.743,NA,NA,NA,NA
4188,-0.787439,4.91399,5,16688.404,NA,NA,NA,NA
4351,-1.98175,5,4.96448,6274.96,NA,NA,NA,NA
4425,-2.04699,5,4.94408,6523.514,NA,NA,NA,NA
4665,-2.01813,5,5,5541.057,NA,NA,NA,NA
4927,-1.56125,5,5,NA,NA,3048.764,NA,NA
5090,-0.683099,4.36721,5,NA,3422.673,NA,NA,NA
5334,-0.506182,5,5,2655.899,NA,NA,NA,NA
5453,-0.939731,4.90341,5,13157.978,NA,NA,NA,NA
5691,-0.854284,4.70643,5,12452.805,NA,NA,NA,NA
5957,-0.866721,5,5,15006.87,NA,NA,NA,NA
6001,-0.692313,5,5,11331.709,NA,NA,NA,NA
6214,-0.0924093,5,5,NA,2227.368,NA,NA,NA
6426,-0.0988963,4.93262,4.33246,4952.564,NA,NA,NA,NA
6735,-0.671579,4.61134,5,5580.493,NA,NA,NA,NA
6932,-0.116444,4.23134,4.775,NA,4769.961,NA,NA,NA
7125,-0.980103,5,5,8313.904,NA,NA,NA,NA
7332,-0.937909,4.79432,5,12935.427,NA,NA,NA,NA
7539,-0.937632,5,5,10217.191,NA,NA,NA,NA
7627,-0.688186,4.76153,4.91939,16870.234,NA,NA,NA,NA
7974,-1.02896,4.94539,5,6861.778,NA,NA,NA,NA
8142,-0.736514,5,5,14402.915,NA,NA,NA,NA
8328,-0.651873,5,5,12093.966,NA,NA,NA,NA
8404,-0.950239,5,5,9694.737,NA,NA,NA,NA
8735,-0.692091,5,4.19327,NA,NA,NA,3237.812,NA
8894,0.362635,4.94855,4.81526,5295.35,NA,NA,NA,NA
9194,0.482919,5,5,1898.473,NA,NA,NA,NA
9356,-0.172119,4.46302,5,2168.714,NA,NA,NA,NA
9589,-0.978251,4.87458,5,13972.051,NA,NA,NA,NA
9797,-9.56975e-05,4.4589,5,967.603,NA,NA,NA,NA
9857,-2.07482,5,5,5110.171,NA,NA,NA,NA
10038,-0.938348,5,5,10188.545,NA,NA,NA,NA
10296,-0.652744,5,5,9930.054,NA,NA,NA,NA
10523,-0.618584,5,5,8463.427,NA,NA,NA,NA
10699,-0.883168,5,4.7191,12473.222,NA,NA,NA,NA
10819,-0.862959,4.8389,5,NA,11995.742,NA,NA,NA
11154,-1.06292,4.96678,4.87908,6761.024,NA,NA,NA,NA
11209,-0.744678,4.98401,5,13459.362,NA,NA,NA,NA
11408,-0.785396,5,5,NA,14821.946,NA,NA,NA
11696,-0.97474,5,4.9673,9722.75,NA,NA,NA,NA
11980,-1.97037,5,5,5412.145,NA,NA,NA,NA
12107,-2.03494,5,5,5476.034,NA,NA,NA,NA
12358,-1.44827,5,4.78659,NA,8518.668,NA,NA,NA
12428,-1.25992,4.40196,5,4247.708,NA,NA,NA,NA
12789,-2.02093,5,5,5534.089,NA,NA,NA,NA
12970,-1.00891,5,4.91349,8733.913,NA,NA,NA,NA
13175,-3.0008,5,5,3252.178,NA,NA,NA,NA
13236,-1.03067,4.77728,5,6875.512,NA,NA,NA,NA
13549,-1.50752,4.17612,5,NA,3619.203,NA,NA,NA
13733,-2.15053,5,5,3734.365,NA,NA,NA,NA
13808,-1.99801,5,5,5544.495,NA,NA,NA,NA
14178,-0.671627,5,5,12595.864,NA,NA,NA,NA
14273,-1.38779,5,4.25725,8445.903,NA,NA,NA,NA
14430,-0.927286,4.99859,4.97964,11683.294,NA,NA,NA,NA
14625,-0.928728,5,5,10562.767,NA,NA,NA,NA
14881,-1.35768,5,5,NA,1894.377,NA,NA,NA
15191,-1.99445,4.99588,5,5639.18,NA,NA,NA,NA
15241,-0.817855,5,5,13010.414,NA,NA,NA,NA
15546,-0.870972,4.7037,5,11995.578,NA,NA,NA,NA
15701,-0.551089,5,5,5081.138,NA,NA,NA,NA
15911,-1.47109,5,4.77404,NA,NA,NA,5929.052,NA
16113,-0.858223,4.87068,5,NA,10674.037,NA,NA,NA
16253,0.453364,4.70999,5,2424.588,NA,NA,NA,NA
16516,-0.869432,4.71694,5,14661.245,NA,NA,NA,NA
16663,-0.810758,5,5,13041.154,NA,NA,NA,NA
16911,-0.841834,4.90529,4.88488,21892.635,NA,NA,NA,NA
17023,-0.503432,5,5,3289.934,NA,NA,NA,NA
17361,-2.12047,5,5,4371.142,NA,NA,NA,NA
17471,-0.743924,5,5,12574.138,NA,NA,NA,NA
17654,-1.04849,5,5,5784.828,NA,NA,NA,NA
17904,-0.605931,5,5,7870.702,NA,NA,NA,NA
18029,-0.162024,5,4.11125,2797.813,NA,NA,NA,NA
18237,-0.768657,5,5,12904.141,NA,NA,NA,NA
18403,-0.868455,5,4.89402,16184.487,NA,NA,NA,NA
18767,-0.739262,5,5,12491.953,NA,NA,NA,NA
18864,-0.776732,4.98124,5,14017.704,NA,NA,NA,NA
19185,-0.617045,4.74286,5,9455.473,NA,NA,NA,NA
19354,-1.18969,4.74796,5,NA,2736.21,NA,NA,NA
19413,-2.07129,5,5,5153.866,NA,NA,NA,NA
19628,-0.89342,5,5,11728.36,NA,NA,NA,NA
19845,-1.00879,5,5,NA,5692.833,NA,NA,NA
20001,-1.61095,5,5,NA,NA,NA,4574.1,NA
20224,-1.39939,4.98414,5,NA,NA,NA,6442.964,NA
20530,-1.06984,4.93939,5,5203.161,NA,NA,NA,NA
20646,-2.04676,5,5,5397.719,NA,NA,NA,NA
20865,-2.04035,4.85087,5,7251.832,NA,NA,NA,NA
21128,-1.95312,5,5,5247.391,NA,NA,NA,NA
21227,-0.904854,3.75166,5,4190.896,NA,NA,NA,NA
21559,-0.867401,4.96549,5,14096.992,NA,NA,NA,NA
21630,-1.01463,5,5,NA,4103.037,NA,NA,NA
21973,-0.744942,5,5,12591.254,NA,NA,NA,NA
22035,-0.217415,5,4.3148,4724.961,NA,NA,NA,NA
22386,-0.717476,5,5,12026.942,NA,NA,NA,NA
22589,-0.825568,5,5,17243.984,NA,NA,NA,NA
22685,-0.782866,5,5,13011.077,NA,NA,NA,NA
22977,-1.0214,4.8547,4.81909,10677.001,NA,NA,NA,NA
23095,-0.661315,5,4.64616,7243.339,NA,NA,NA,NA
23209,-0.9061,5,5,NA,9747.174,NA,NA,NA
23596,-1.2538,4.18647,5,NA,2724.161,NA,NA,NA
23714,-1.5155,4.17284,5,5488.921,NA,NA,NA,NA
23882,-1.49138,4.16261,5,5514.877,NA,NA,NA,NA
24113,-1.38399,4.76782,5,NA,7943.775,NA,NA,NA
24273,-0.764077,5,5,16379.906,NA,NA,NA,NA
24524,-1.00346,4.80293,5,9127.254,NA,NA,NA,NA
24722,-0.907168,5,5,11314.681,NA,NA,NA,NA
24958,-0.808246,5,5,NA,14051.763,NA,NA,NA
25154,-0.579422,4.76479,5,7841.1,NA,NA,NA,NA
25257,-0.815209,5,5,17293.255,NA,NA,NA,NA
25549,-0.966457,5,5,8968.622,NA,NA,NA,NA
25739,-0.913478,5,4.7598,13115.291,NA,NA,NA,NA
25983,-0.826885,5,5,12948.731,NA,NA,NA,NA
26168,-0.823727,4.94362,4.76254,18666.253,NA,NA,NA,NA
26321,-0.73597,5,4.87531,16508.431,NA,NA,NA,NA
26534,-0.633762,5,5,9999.885,NA,NA,NA,NA
26656,-0.526222,4.89919,5,4884.42,NA,NA,NA,NA
26941,-1.34066,5,4.77494,NA,NA,2856.32,NA,NA
27169,-0.766157,5,3.56675,1392.628,NA,NA,NA,NA
27388,-0.89112,5,4.60994,7745.615,NA,NA,NA,NA
27540,-0.955358,4.89625,5,12394.981,NA,NA,NA,NA
27626,-2.05335,4.73513,5,5874.985,NA,NA,NA,NA
27917,-0.871502,4.69897,5,11735.349,NA,NA,NA,NA
28173,-0.968291,5,5,8882.876,NA,NA,NA,NA
28242,-2.52972,5,4.37558,1662.038,NA,NA,NA,NA
28416,-1.25232,4.30503,5,4626.94,NA,NA,NA,NA
28667,-0.864894,4.82431,5,NA,15026.475,NA,NA,NA
28972,-1.47701,3.41414,5,2836.739,NA,NA,NA,NA
29053,-1.01646,5,5,NA,4686.308,NA,NA,NA
