id,x0,x1,x2,fitness-2.5
139,0.760951,2.34361,-3.78392,-46.792
208,0.760951,2.34361,-3.99744,-41.729
230,1.1604,2.34361,-3.99744,-26.153
244,1.65226,2.34361,-3.99744,-17.259
262,1.65226,2.22554,-3.99744,-13.596
294,1.65226,1.53055,-3.99744,-4.474
308,1.65226,1.53055,-4.22246,-1.141
324,1.65226,1.53055,-4.23557,-1.067
349,1.65226,1.53055,-4.27324,-0.902
376,1.76449,1.53055,-4.27324,-0.466
436,1.76449,1.53055,-4.27324,-0.385
533,1.76449,1.53055,-4.27324,-0.218
584,1.76449,1.53055,-4.27324,-0.204
609,1.76449,1.53055,-4.31456,-0.159
627,1.76449,1.57704,-4.31456,-0.017
733,1.75698,1.57704,-4.31456,-0.015
830,1.75698,1.57704,-4.30411,-0.015
840,1.75698,1.57704,-4.30411,-0.013
886,1.75698,1.57704,-4.31292,-0.013
1530,1.75698,1.57734,-4.31292,-0.013
1635,1.75698,1.59901,-4.31292,-0.001
1662,1.75698,1.59901,-4.30775,0
2026,1.75698,1.59901,-4.30853,0
4342,1.75698,1.59668,-4.30853,0
5404,1.75698,1.59668,-4.30864,0
8150,1.75698,1.07184,-4.30864,-12.882
