id,x0,x1,x2,fitness-0.5,fitness-2.5,fitness-3,fitness-4.5,fitness-5,fitness-4,fitness-3.5,fitness-2
119,-2.51547,4.42563,-3.31181,-575.094,NA,NA,NA,NA,NA,NA,NA
394,-3.38217,4.22485,-4.21708,-538.916,NA,NA,NA,NA,NA,NA,NA
412,-2.51,4.16226,-3.65025,NA,-198.847,NA,NA,NA,NA,NA,NA
615,-2.09207,4.55316,-3.94125,NA,NA,-139.362,NA,NA,NA,NA,NA
989,-1.99852,4.582,-4.32013,NA,NA,NA,-66.525,NA,NA,NA,NA
1111,-2.22447,4.54157,-4.44409,NA,NA,NA,-63.431,NA,NA,NA,NA
1242,-2.02515,4.09608,-4.09083,NA,NA,NA,NA,-64.491,NA,NA,NA
1559,-2.62408,4.56624,-4.97138,NA,NA,NA,-69.176,NA,NA,NA,NA
1629,-2.03042,4.61603,-4.28865,NA,NA,NA,-65.036,NA,NA,NA,NA
1966,-2.48054,3.76127,-4.45781,NA,NA,NA,-59.326,NA,NA,NA,NA
2193,-2.8741,3.44376,-4.40275,NA,NA,NA,-72.133,NA,NA,NA,NA
2353,-2.46267,4.1751,-4.8895,NA,NA,NA,NA,-54.363,NA,NA,NA
2563,-0.855902,4.1929,-4.68766,NA,NA,NA,-80.415,NA,NA,NA,NA
2782,-1.89109,3.87581,-4.82291,NA,NA,NA,NA,-29.77,NA,NA,NA
2893,-2.28729,3.92627,-4.38406,NA,NA,NA,NA,NA,-55.806,NA,NA
3079,-1.77914,3.64273,-4.94703,NA,NA,NA,-17.367,NA,NA,NA,NA
3365,-2.56711,3.82188,-4.57226,NA,NA,NA,NA,NA,-63.38,NA,NA
3570,-1.90204,3.7433,-3.93777,NA,NA,NA,NA,-73.221,NA,NA,NA
3614,-1.67659,2.84339,-4.91708,NA,NA,NA,-50.466,NA,NA,NA,NA
3973,-1.69882,3.12745,-4.78754,NA,NA,NA,NA,-60.547,NA,NA,NA
4113,-1.46028,4.26694,-4.89883,NA,NA,NA,-40.329,NA,NA,NA,NA
4314,-2.58324,4.1641,-3.57192,NA,NA,NA,NA,NA,-104.07,NA,NA
4465,-2.44884,4.34466,-4.22124,NA,NA,NA,-65.485,NA,NA,NA,NA
4620,-2.34338,4.41879,-3.06497,NA,NA,NA,-134.392,NA,NA,NA,NA
4943,-0.85752,3.6981,-4.89558,NA,NA,NA,NA,NA,-75.561,NA,NA
5178,-1.04446,3.57935,-4.06318,NA,NA,NA,NA,NA,-128.868,NA,NA
5236,-1.60226,4.61464,-3.56094,NA,NA,NA,-108.081,NA,NA,NA,NA
5424,-1.76568,4.77105,-4.45797,NA,NA,NA,-71.052,NA,NA,NA,NA
5645,-1.97194,4.83735,-4.8124,NA,NA,NA,-69.473,NA,NA,NA,NA
5819,-1.9692,3.12172,-4.69093,NA,NA,NA,NA,-60.57,NA,NA,NA
6103,-2.24847,4.21776,-4.48787,NA,NA,NA,NA,NA,NA,-94.602,NA
6203,-1.87219,4.13696,-4.86874,NA,NA,NA,NA,-40.676,NA,NA,NA
6472,-2.64344,4.55118,-4.51623,NA,NA,NA,NA,NA,-83.492,NA,NA
6653,-2.85379,4.23005,-4.625,NA,NA,NA,NA,-72.195,NA,NA,NA
6895,-1.63817,4.51541,-4.44373,NA,NA,NA,-60.276,NA,NA,NA,NA
7115,-2.85992,4.74713,-4.46189,NA,NA,NA,NA,-86.671,NA,NA,NA
7281,-2.11432,4.6468,-3.72926,NA,NA,NA,NA,-87.553,NA,NA,NA
7461,-1.41104,3.98553,-4.88524,NA,NA,NA,NA,-30.896,NA,NA,NA
7656,-1.45353,4.84112,-4.39905,NA,NA,NA,NA,-92.516,NA,NA,NA
7970,-1.74571,4.12975,-4.61417,NA,NA,NA,NA,-38.357,NA,NA,NA
8078,-1.7411,4.86769,-4.10683,NA,NA,NA,-85.502,NA,NA,NA,NA
8259,-1.97121,4.24263,-4.39373,NA,NA,NA,NA,NA,-46.063,NA,NA
8600,-3.26918,4.03467,-4.74269,NA,NA,NA,NA,NA,-91.653,NA,NA
8722,-2.58892,3.10525,-4.59184,NA,NA,NA,-83.505,NA,NA,NA,NA
8830,-2.53878,4.56475,-3.51502,NA,NA,NA,NA,NA,-125.155,NA,NA
9130,-2.0558,3.74908,-4.06759,NA,NA,NA,-63.364,NA,NA,NA,NA
9217,-2.74983,3.88549,-4.14647,NA,NA,NA,-78.121,NA,NA,NA,NA
9495,-2.46648,4.53261,-4.19913,NA,NA,NA,-75.237,NA,NA,NA,NA
9672,-1.53202,4.519,-4.0819,NA,NA,NA,NA,NA,-89.522,NA,NA
9809,-2.1678,4.65978,-3.84292,NA,NA,NA,NA,NA,-99.479,NA,NA
10107,-2.90064,4.23736,-3.9848,NA,NA,NA,-91.134,NA,NA,NA,NA
10252,-1.48538,3.96978,-4.48659,NA,NA,NA,NA,NA,-31.512,NA,NA
10530,-1.77714,4.39147,-3.69588,NA,NA,NA,NA,NA,-100.238,NA,NA
10678,-0.949523,4.15262,-4.63887,NA,NA,NA,-70.044,NA,NA,NA,NA
10966,-1.04208,4.10682,-4.36911,NA,NA,NA,-54.302,NA,NA,NA,NA
11056,-1.02534,4.80762,-4.65611,NA,NA,NA,NA,NA,-129.331,NA,NA
11344,-1.37525,3.80782,-4.03015,NA,NA,NA,NA,NA,-83.015,NA,NA
11576,-0.92466,3.71248,-4.93838,NA,NA,NA,NA,NA,NA,-151.221,NA
11737,-1.92761,2.77456,-4.66869,NA,NA,NA,NA,NA,-105.392,NA,NA
11911,-2.85775,2.83263,-3.83888,NA,NA,NA,-120.343,NA,NA,NA,NA
12015,-2.42376,4.5342,-4.08653,NA,NA,NA,-78.349,NA,NA,NA,NA
12254,-1.77228,4.68644,-4.24741,NA,NA,NA,NA,-61.871,NA,NA,NA
12585,-2.13501,4.70569,-4.77075,NA,NA,NA,NA,NA,NA,-91.101,NA
12778,-2.57872,4.25777,-4.85888,NA,NA,NA,-59.706,NA,NA,NA,NA
12934,-2.97894,4.83772,-3.40156,NA,NA,NA,NA,NA,-146.452,NA,NA
13152,-1.79477,4.4876,-4.64344,NA,NA,NA,NA,NA,-58.198,NA,NA
13383,-1.6905,3.88152,-4.74218,NA,NA,NA,-18.458,NA,NA,NA,NA
13600,-1.84788,4.94002,-4.31837,NA,NA,NA,-79.723,NA,NA,NA,NA
13712,-2.24539,4.91394,-4.75515,NA,NA,NA,-70.985,NA,NA,NA,NA
13949,-2.85653,3.57003,-4.71062,NA,NA,NA,-72.633,NA,NA,NA,NA
14178,-4.33808,4.10479,-4.24991,NA,NA,NA,NA,NA,NA,-201.414,NA
14354,-1.85964,4.27256,-4.73924,NA,NA,NA,-41.769,NA,NA,NA,NA
14583,-1.10445,4.71238,-4.65538,NA,NA,NA,-88.393,NA,NA,NA,NA
14749,-2.26403,4.05028,-3.91739,NA,NA,NA,NA,-77.707,NA,NA,NA
14806,-2.54383,3.51951,-4.96057,NA,NA,NA,-55.599,NA,NA,NA,NA
15079,-2.78068,4.0159,-4.51696,NA,NA,NA,-69.378,NA,NA,NA,NA
15330,-2.23792,4.18678,-3.9746,NA,NA,NA,-76.752,NA,NA,NA,NA
15590,-3.61545,4.48782,-4.8998,NA,NA,NA,NA,-121.425,NA,NA,NA
15741,-2.2724,4.9034,-4.65014,NA,NA,NA,-73.618,NA,NA,NA,NA
15962,-2.2951,4.10715,-3.47581,NA,NA,NA,NA,NA,-113.884,NA,NA
16080,-2.37538,3.67177,-4.80478,NA,NA,NA,NA,NA,-42.336,NA,NA
16223,-2.62152,4.96175,-4.42194,NA,NA,NA,-87.887,NA,NA,NA,NA
16550,-1.98421,4.88169,-4.7738,NA,NA,NA,-69.241,NA,NA,NA,NA
16748,-2.22462,3.63724,-4.53919,NA,NA,NA,NA,-51.509,NA,NA,NA
16903,-1.41635,4.27218,-4.93461,NA,NA,NA,NA,NA,-30.89,NA,NA
17135,-1.64748,3.81696,-4.5799,NA,NA,NA,-15.174,NA,NA,NA,NA
17285,-2.38305,3.84748,-4.52044,NA,NA,NA,NA,-53.832,NA,NA,NA
17444,-1.55908,3.70256,-4.93202,NA,NA,NA,NA,-30.63,NA,NA,NA
17766,-2.53203,3.97007,-4.27807,NA,NA,NA,-62.009,NA,NA,NA,NA
17869,-3.38242,4.38095,-4.94491,NA,NA,NA,NA,NA,-100.93,NA,NA
18107,-2.96403,4.96715,-4.07416,NA,NA,NA,NA,NA,-114,NA,NA
18259,-3.0104,4.16002,-3.987,NA,NA,NA,NA,NA,-100.608,NA,NA
18484,-1.43663,3.13682,-4.5892,NA,NA,NA,-54.594,NA,NA,NA,NA
18702,-1.54685,2.81795,-4.7482,NA,NA,NA,-90.049,NA,NA,NA,NA
18853,-1.0494,3.2385,-4.94868,NA,NA,NA,NA,NA,NA,-92.533,NA
19024,-1.67589,3.84473,-4.8218,NA,NA,NA,NA,NA,-10.696,NA,NA
19301,-1.82092,4.63644,-4.17573,NA,NA,NA,NA,NA,-83.61,NA,NA
19550,-1.60327,4.84144,-4.21473,NA,NA,NA,NA,-78.572,NA,NA,NA
