id,x0,x1,x2,fitness-2.5,fitness-1,fitness-0.5,fitness-1.5,fitness0,fitness0.5,fitness-2,fitness1.5,fitness-3.5,fitness-3,fitness1,fitness2,fitness-4,fitness-5,fitness-4.5,fitness2.5,fitness4,fitness4.5,fitness5,fitness3.5,fitness3
31,-0.836454,4.34207,2.25506,516.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,-0.379003,4.75384,2.74263,NA,1679.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,0.0460788,3.37753,2.73994,NA,NA,145.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,0.55258,4.67663,3.74028,NA,NA,NA,132.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
890,-0.0422589,4.95646,4.10136,NA,NA,NA,2623.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,-1.09502,3.74064,4.35869,NA,513.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254,-1.63682,4.91134,4.06074,NA,NA,NA,NA,1390.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1480,-2.23902,4.62149,2.23759,NA,NA,314.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,-0.950908,4.76318,0.663224,NA,NA,NA,NA,NA,235.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1825,-1.31905,4.98978,-0.676474,NA,NA,5076.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,-0.61163,4.74836,-1.6651,NA,NA,2289.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2335,-1.15141,1.89151,-0.315711,NA,NA,176.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2581,-1.09323,2.79679,-0.120625,NA,NA,NA,512.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2799,-0.978412,0.310551,-0.260877,NA,NA,NA,NA,NA,NA,465.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2903,0.0272046,-1.07773,0.323511,NA,NA,NA,NA,NA,NA,87.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,0.301518,-0.847351,0.233707,NA,NA,NA,1005.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3313,0.201324,-0.706373,-0.326356,NA,NA,NA,NA,NA,NA,891.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3569,0.0328301,-1.9413,-0.312152,NA,NA,NA,1357.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3732,-2.02352,-0.823071,-1.41824,NA,14983.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3892,-1.18941,-2.07048,-0.903085,NA,NA,4187.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,-1.15794,-0.00240864,-0.00546951,NA,NA,152.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4278,-1.65597,-0.486463,-0.595425,NA,NA,NA,NA,NA,NA,503.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4488,-0.145668,0.261531,0.358797,NA,NA,NA,NA,NA,NA,589.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4677,0.117154,0.0843702,-0.560463,NA,NA,NA,25.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4838,-1.44068,0.687633,-0.637459,NA,NA,NA,2283.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5064,-0.821697,0.670056,-0.911545,NA,5296.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5341,-1.40154,-1.03433,-0.701289,NA,NA,NA,NA,NA,3008.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5503,-0.864403,-1.4402,-1.26579,NA,NA,NA,NA,13352.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5654,-1.17337,-1.02055,-0.939684,NA,NA,NA,NA,NA,NA,NA,756.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5947,-0.347008,-0.731655,-0.701596,NA,NA,NA,NA,NA,1736.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6050,-2.50309,-1.14728,-0.748856,NA,NA,NA,919.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6389,-2.06637,-1.00662,0.447661,NA,NA,NA,1596.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6562,-1.94709,-0.688318,-0.21067,NA,6634.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6781,-2.34858,-0.911131,-1.37575,NA,NA,1520.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6823,-2.60669,-1.73838,-2.0534,NA,NA,219.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7075,-1.0733,-0.887865,-1.92316,NA,NA,NA,NA,1364.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7322,0.0173205,-2.09112,-1.21771,NA,235.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7450,-1.86416,-3.6792,-0.604007,NA,NA,409.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7707,-1.5224,-3.06446,0.940508,NA,NA,NA,1281.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7842,-0.0760799,-1.97838,0.394424,NA,NA,1295.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8033,-1.57727,-1.63731,-0.39583,NA,NA,2474.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8235,-0.82913,-1.87083,-1.03204,NA,NA,NA,NA,2996.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8592,-1.30497,-2.15589,-1.85815,NA,1525.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8794,-0.952213,-2.37263,-0.570775,NA,NA,1831.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8910,-0.651363,-1.1837,-1.38385,NA,NA,NA,6014.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9188,-1.45824,-0.914731,-1.64411,NA,NA,NA,4344.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9345,-1.75116,-0.547612,-1.1492,NA,NA,NA,106.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9598,-0.855032,-2.93929,-0.860726,NA,NA,NA,8078.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9669,-1.04166,-2.21168,-0.92989,NA,NA,NA,2006.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9935,-1.74648,-0.93448,-1.30843,NA,NA,1213.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133,-1.55402,-0.303565,0.133427,NA,117.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10237,-0.851447,-0.176968,1.00231,NA,NA,NA,NA,1632.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10577,-0.033433,-1.57817,-0.0830785,NA,4495.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10605,-0.830096,-0.803475,0.104645,NA,861.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10995,-0.880332,-1.40823,0.456497,NA,NA,6068.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11014,-2.01639,-1.23992,-1.07495,NA,NA,1327.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11366,-0.733674,-0.81365,-0.85513,NA,NA,NA,24295.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11467,-0.812297,-1.86045,-1.63327,NA,1518.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11624,-0.136892,-0.737009,-0.994195,NA,NA,NA,NA,NA,NA,2622.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11964,-0.732665,0.494754,-0.593665,NA,NA,NA,2347.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12188,-0.905338,-0.427468,-0.762743,NA,NA,NA,NA,NA,NA,1198.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
