id,x0,x1,x2,fitness4,fitness2
50,4.18387,4.38406,8.03398,0.901,NA
215,4.18387,4.17092,8.03398,0.948,NA
243,4.18387,4.17092,7.76952,0.969,NA
255,4.18387,4.17092,7.76952,0.993,NA
311,4.18387,4.17092,7.69622,0.994,NA
391,4.18387,4.17092,7.70379,0.994,NA
428,4.18387,4.12858,7.70379,0.996,NA
463,4.06788,4.12858,7.70379,0.998,NA
505,4.06788,4.10715,7.70379,0.999,NA
663,4.10902,4.10715,7.70379,1,NA
838,4.10902,4.10715,7.70835,1,NA
1952,4.10902,4.11063,7.70835,1,NA
2149,4.10902,4.11063,7.70835,1,NA
2876,4.10902,4.11135,7.70835,1,NA
3277,4.10902,4.11135,7.70727,1,NA
4039,4.10902,4.11135,7.70727,1,NA
5887,4.10902,4.11135,7.70727,NA,1
6417,4.11094,4.11135,7.70727,NA,1
7346,4.11094,4.11135,7.70712,NA,1
7637,4.11094,4.11135,7.70712,NA,1
8258,4.23608,4.11135,7.70712,NA,0.989
