id,x0,x1,x2,fitness4,fitness1,fitness0.5,fitness2
50,4.18387,4.38406,8.03398,0.901,NA,NA,NA
221,4.18387,4.13851,8.03398,0.95,NA,NA,NA
244,4.18387,4.13851,7.56754,0.968,NA,NA,NA
258,4.18387,4.13851,7.56754,NA,0.972,NA,NA
284,4.18387,4.13851,7.60208,NA,0.973,NA,NA
321,4.18323,4.13851,7.60208,NA,0.973,NA,NA
347,4.18323,4.13851,7.60208,NA,0.992,NA,NA
371,4.18323,4.13851,7.74579,NA,0.994,NA,NA
387,4.18323,4.13851,7.74579,NA,0.995,NA,NA
412,4.18323,4.13851,7.74548,NA,0.995,NA,NA
458,4.11241,4.13851,7.74548,NA,0.998,NA,NA
522,4.11241,4.10476,7.74548,NA,0.999,NA,NA
573,4.11241,4.10476,7.74548,NA,0.999,NA,NA
626,4.11241,4.10476,7.72614,NA,0.999,NA,NA
699,4.11241,4.10476,7.72614,NA,1,NA,NA
1448,4.11241,4.10476,7.69215,NA,1,NA,NA
1651,4.11241,4.10476,7.70965,NA,1,NA,NA
1681,4.11241,4.11472,7.70965,NA,1,NA,NA
3205,4.11241,4.11028,7.70965,NA,1,NA,NA
4507,4.11241,4.11028,7.70965,NA,NA,1,NA
4945,4.11241,4.11099,7.70965,NA,NA,1,NA
5231,4.11241,4.11099,7.70648,NA,NA,1,NA
6199,4.11241,4.11099,7.70648,NA,NA,NA,1
8060,4.11241,4.11099,7.70648,NA,0.522,NA,NA
