id,x0,x1,x2,fitness-3.5,fitness-4,fitness-4.5
177,-2.41472,3.0022,-4.7486,-119.364,NA,NA
212,-2.41472,3.0022,-4.7486,NA,-89.166,NA
228,-2.41472,3.74317,-4.7486,NA,-56.837,NA
244,-1.92287,3.74317,-4.7486,NA,-27.743,NA
264,-1.37727,3.74317,-4.7486,NA,-13.694,NA
293,-1.37727,3.74317,-4.7486,NA,-10.641,NA
306,-1.53561,3.74317,-4.7486,NA,-7.54,NA
314,-1.53561,3.74317,-4.84975,NA,-5.811,NA
327,-1.53561,3.74317,-4.84975,NA,NA,-2.534
398,-1.53561,3.68415,-4.84975,NA,NA,-1.943
437,-1.53561,3.68415,-4.84975,NA,NA,-0.712
453,-1.5294,3.68415,-4.84975,NA,NA,-0.635
546,-1.45321,3.68415,-4.84975,NA,NA,-0.516
630,-1.45321,3.68415,-4.84975,NA,NA,-0.264
712,-1.45321,3.68415,-4.84975,NA,NA,-0.183
732,-1.46072,3.68415,-4.84975,NA,NA,-0.114
814,-1.47185,3.68415,-4.84975,NA,NA,-0.051
839,-1.47185,3.68415,-4.84975,NA,NA,-0.049
885,-1.47185,3.68415,-4.85856,NA,NA,-0.035
1169,-1.47315,3.68415,-4.85856,NA,NA,-0.031
1446,-1.48859,3.68415,-4.85856,NA,NA,-0.026
1537,-1.48334,3.68415,-4.85856,NA,NA,-0.019
2106,-1.48334,3.68415,-4.85856,NA,NA,-0.019
2164,-1.48334,3.67337,-4.85856,NA,NA,-0.001
4500,-1.48078,3.67337,-4.85856,NA,NA,-0.001
5403,-1.48078,3.67337,-4.85868,NA,NA,-0.001
7206,-1.48078,3.67337,-4.85868,NA,NA,0
8149,-1.48078,3.14853,-4.85868,NA,NA,-41.183
