id,x0,x1,x2,fitness-1.5,fitness-2
195,4.66857,-4.05829,4.72783,2741.003,NA
255,4.66857,-2.11625,4.72783,5182.943,NA
264,4.70045,-2.11625,4.72783,6107.589,NA
329,4.70045,-0.839166,4.72783,17593.801,NA
389,4.91131,-0.839166,4.72783,23501.686,NA
494,4.91131,-0.839166,4.91038,28195.549,NA
600,4.85735,-0.839166,4.91038,29239.86,NA
735,4.85735,-0.839166,4.85585,30282.313,NA
933,4.85735,-0.778846,4.85585,30666.426,NA
1094,4.85735,-0.801422,4.85585,30833.566,NA
1511,4.85735,-0.799884,4.85585,30833.938,NA
2246,4.85735,-0.799884,4.85585,30860.543,NA
2417,4.85735,-0.799884,4.85585,30918.85,NA
2951,4.85735,-0.799884,4.85585,30930.616,NA
3397,4.85735,-0.799884,4.8598,30931.321,NA
5418,4.85749,-0.799884,4.8598,30931.39,NA
5589,4.85749,-0.799884,4.85856,30932.466,NA
6030,4.85749,-0.799884,4.85776,30932.53,NA
6331,4.85749,-0.799884,4.85776,30933.522,NA
7979,4.85749,-0.799884,4.85776,NA,-14470.303
