id,x0,x1,x2,fitness2.5,fitness2,fitness1
11,0.598833,8.37713,7.75182,0.789,NA,NA
245,0.598833,8.37713,7.75182,NA,0.894,NA
280,0.598833,7.72857,7.75182,NA,0.976,NA
296,0.632055,7.72857,7.75182,NA,0.996,NA
375,1.15671,7.72857,7.75182,NA,0.996,NA
463,1.17018,7.72857,7.75182,NA,0.998,NA
527,1.17018,7.72857,7.75182,NA,0.999,NA
605,1.17018,7.72857,7.69425,NA,0.999,NA
722,1.17018,7.69357,7.69425,NA,0.999,NA
836,1.17018,7.69357,7.69425,NA,0.999,NA
884,1.17018,7.69357,7.69425,NA,NA,0.999
920,1.17018,7.69357,7.69425,NA,1,NA
964,1.17018,7.69357,7.69425,NA,1,NA
1101,1.17018,7.71253,7.69425,NA,1,NA
1169,1.17018,7.71253,7.69425,NA,1,NA
1248,1.17018,7.71253,7.69425,NA,NA,1
1634,1.17018,7.71253,7.71578,NA,NA,1
1860,1.17018,7.7034,7.71578,NA,NA,1
2098,1.17018,7.7034,7.69815,NA,NA,1
2257,1.17018,7.7034,7.70941,NA,NA,1
2824,1.17018,7.70438,7.70941,NA,NA,1
3860,1.17018,7.70438,7.70451,NA,NA,1
4476,1.17018,7.70438,7.70675,NA,NA,1
5070,1.17018,7.70438,7.70589,NA,NA,1
8256,1.17018,7.70438,7.70589,NA,NA,0.981
