id,x0,x1,x2,fitness4.5,fitness4,fitness3.5,fitness2.5,fitness3,fitness5.5,fitness6.5,fitness8,fitness7.5,fitness8.5,fitness9,fitness7,fitness9.5
43,6.9313,8.42397,8.44696,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,7.96393,7.31927,9.12027,NA,0.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,7.52083,6.40274,8.50485,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,6.86513,7.06309,7.88707,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
925,7.34728,7.76051,6.83526,NA,NA,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,6.459,7.50983,7.21949,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,8.04676,7.79709,6.37654,NA,NA,NA,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,8.19212,7.34411,7.32041,NA,NA,NA,NA,0.449,NA,NA,NA,NA,NA,NA,NA,NA
1750,7.43687,7.50487,7.48672,NA,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,7.18726,8.26005,7.65839,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
2175,7.55884,7.23774,8.14675,NA,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2356,7.64025,7.89345,8.57753,NA,NA,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2424,7.47563,9.74029,8.32743,NA,0.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702,7.40188,9.96531,7.60246,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2995,7.90093,8.78091,6.80331,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3007,8.00163,8.21335,6.83025,NA,NA,NA,NA,NA,0.317,NA,NA,NA,NA,NA,NA,NA
3300,7.1549,6.59287,7.36246,NA,NA,NA,NA,NA,NA,0.443,NA,NA,NA,NA,NA,NA
3453,7.31619,7.68997,7.49883,NA,NA,NA,NA,NA,NA,NA,0.939,NA,NA,NA,NA,NA
3601,7.36466,7.82706,8.0099,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA
3888,7.33038,8.01866,7.54938,NA,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA
4025,7.00617,7.29763,8.62582,NA,NA,NA,NA,NA,NA,NA,NA,0.688,NA,NA,NA,NA
4375,7.32538,8.12503,8.27309,NA,NA,NA,NA,NA,NA,NA,NA,0.874,NA,NA,NA,NA
4581,7.36,8.11727,8.99733,NA,NA,NA,NA,NA,NA,NA,NA,0.696,NA,NA,NA,NA
4701,7.05049,9.08067,7.79704,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547,NA,NA,NA
4868,7.50331,8.52285,8.22967,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756,NA,NA,NA
5152,7.26757,8.26354,7.81262,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819,NA,NA,NA
5358,6.69838,8.51879,7.39738,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA
5469,8.14134,8.13328,7.85725,NA,NA,NA,NA,NA,NA,NA,NA,0.891,NA,NA,NA,NA
5744,8.79132,7.89808,8.43513,NA,NA,NA,NA,NA,NA,NA,NA,0.709,NA,NA,NA,NA
