id,x0,x1,x2,fitness-4.5,fitness-4,fitness-5,fitness-3.5,fitness-3
56,-0.39654,4.95206,-2.07817,-379.544,NA,NA,NA,NA
294,0.382506,4.68458,-4.41518,NA,-360.033,NA,NA,NA
503,-1.6617,3.93779,-4.52199,NA,NA,-41.157,NA,NA
763,-2.09205,3.60219,-4.62459,NA,NA,-47.336,NA,NA
947,-1.68009,3.82234,-4.8868,NA,NA,-42.007,NA,NA
1101,-2.4394,4.49148,-4.43259,-67.639,NA,NA,NA,NA
1352,-2.32663,4.65003,-4.10476,NA,-84.271,NA,NA,NA
1523,-1.78135,3.49061,-4.60929,-28.102,NA,NA,NA,NA
1603,-2.16527,3.96589,-4.48324,NA,-51.169,NA,NA,NA
1827,-1.63952,4.04833,-4.91376,-29.471,NA,NA,NA,NA
2017,-1.06569,3.40114,-4.59076,NA,NA,-70.62,NA,NA
2315,-1.40212,3.94431,-4.7659,-15.546,NA,NA,NA,NA
2552,-1.95415,4.19219,-4.75383,-27.555,NA,NA,NA,NA
2671,-2.34281,4.12366,-4.45437,-48.082,NA,NA,NA,NA
2890,-1.39137,4.67218,-4.90628,NA,NA,-47.477,NA,NA
3191,-1.67992,4.29579,-4.1476,-48.45,NA,NA,NA,NA
3266,-1.90464,4.80317,-4.50846,-68.441,NA,NA,NA,NA
3562,-1.07838,3.96293,-4.81948,-37.874,NA,NA,NA,NA
3615,-1.3743,4.08352,-4.42878,-45.553,NA,NA,NA,NA
3886,-1.43909,3.08403,-4.81796,-63.07,NA,NA,NA,NA
4067,-1.855,3.63422,-4.71216,NA,NA,-38.556,NA,NA
4290,-1.94567,4.45929,-4.39077,-61.429,NA,NA,NA,NA
4543,-1.35277,4.34113,-4.72029,-31.657,NA,NA,NA,NA
4736,-1.57723,4.07475,-4.65389,-33.811,NA,NA,NA,NA
4945,-1.9653,3.93819,-4.51908,-37.852,NA,NA,NA,NA
5194,-2.10971,4.43057,-4.41337,-58.54,NA,NA,NA,NA
5235,-1.06352,4.64008,-4.75904,-52.016,NA,NA,NA,NA
5547,-0.782121,3.73395,-4.91596,NA,NA,-56.032,NA,NA
5647,-2.60848,3.916,-4.65326,-65.561,NA,NA,NA,NA
5997,-1.56423,3.50646,-4.51668,NA,-57.859,NA,NA,NA
6146,-1.1612,3.63639,-4.9173,-38.977,NA,NA,NA,NA
6238,-2.02215,4.12845,-4.88165,NA,NA,-54.932,NA,NA
6525,-1.21566,3.45413,-4.76224,-24.401,NA,NA,NA,NA
6652,-1.56076,4.04634,-4.95066,NA,NA,-36.331,NA,NA
6894,-1.95861,4.02848,-4.79236,-29.417,NA,NA,NA,NA
7141,-0.892435,3.54724,-4.793,-59.507,NA,NA,NA,NA
7356,-1.82793,3.91959,-4.85851,-26.855,NA,NA,NA,NA
7583,-1.46665,4.00513,-4.81902,NA,NA,-34.066,NA,NA
7610,-2.18759,3.85777,-4.99798,NA,NA,-46.046,NA,NA
7840,-1.36253,3.39395,-4.91582,NA,-11.159,NA,NA,NA
8103,-2.89576,3.32103,-4.58389,-82.622,NA,NA,NA,NA
8348,-1.14914,3.50562,-4.76939,-34.233,NA,NA,NA,NA
8421,-1.88366,3.48008,-4.58223,NA,-44.043,NA,NA,NA
8640,-1.96723,4.25291,-4.63269,-36.773,NA,NA,NA,NA
8939,-1.80964,3.90141,-4.45343,NA,NA,-40.683,NA,NA
9170,-1.9454,3.78592,-4.63375,-29.03,NA,NA,NA,NA
9391,-2.69142,4.10339,-4.90534,-56.352,NA,NA,NA,NA
9600,-2.05702,3.5447,-4.62604,-35.113,NA,NA,NA,NA
9697,-2.09927,3.82927,-4.88471,NA,-37.084,NA,NA,NA
9976,-1.60894,4.05273,-4.61409,-23.785,NA,NA,NA,NA
10151,-2.28979,4.5831,-4.95306,-50.721,NA,NA,NA,NA
10205,-1.80811,3.29562,-4.60474,-38.529,NA,NA,NA,NA
10540,-2.26957,3.33391,-4.84932,NA,NA,-43.21,NA,NA
10688,-1.87762,3.59516,-4.57124,NA,-33.104,NA,NA,NA
10840,-2.16005,4.32154,-4.57402,NA,NA,-56.931,NA,NA
11179,-2.46814,4.41262,-4.65769,-61.132,NA,NA,NA,NA
11248,-1.03477,3.88485,-4.71744,-41.403,NA,NA,NA,NA
11500,-1.95003,4.37683,-4.70727,NA,-41.008,NA,NA,NA
11663,-1.47556,3.33344,-4.52743,NA,-52.479,NA,NA,NA
11855,-1.23299,3.92376,-4.75722,-33.222,NA,NA,NA,NA
12130,-2.02971,4.21087,-4.48941,-51.002,NA,NA,NA,NA
12338,-2.64718,4.19308,-4.44669,NA,NA,-62.274,NA,NA
