id,x0,x1,x2,fitness-0.5,fitness-4,fitness-5,fitness-4.5,fitness-3.5
148,-1.42481,3.23013,-4.45285,-627.291,NA,NA,NA,NA
378,-2.2581,3.03812,-3.92096,NA,-116.079,NA,NA,NA
455,-3.82071,4.31121,-4.59451,NA,NA,-140.064,NA,NA
637,-1.63636,3.84119,-4.62588,NA,NA,-49.328,NA,NA
857,-2.47746,3.69894,-5,NA,-64.392,NA,NA,NA
1046,-1.55965,4.06588,-5,NA,NA,NA,-26.8,NA
1248,-1.91457,3.64027,-5,NA,NA,-43.2,NA,NA
1419,-2.2789,3.46846,-4.89298,NA,NA,-43.976,NA,NA
1787,-2.02663,3.85074,-4.99028,NA,NA,-34.085,NA,NA
1853,-1.38219,4.18171,-5,NA,NA,NA,-21.169,NA
2083,-1.9097,4.05801,-5,NA,NA,-46.894,NA,NA
2339,-1.94492,3.56613,-4.68092,NA,NA,-45.713,NA,NA
2531,-1.31685,4.12579,-5,NA,NA,NA,-25.88,NA
2608,-1.95531,4.20107,-5,NA,NA,-57.834,NA,NA
2980,-1.57518,3.47455,-5,NA,NA,-44.112,NA,NA
3065,-1.93365,3.87217,-5,NA,NA,-34.279,NA,NA
3315,-2.19176,4.04346,-5,NA,NA,NA,-41.214,NA
3506,-1.80086,3.90514,-5,NA,NA,-34.336,NA,NA
3616,-2.02468,3.90268,-5,NA,NA,-36.817,NA,NA
3962,-2.48949,4.03458,-5,NA,NA,-57.148,NA,NA
4040,-1.43659,3.69864,-5,NA,NA,-36.335,NA,NA
4341,-1.00317,3.79587,-5,NA,NA,NA,-38.811,NA
4452,-1.2596,3.55436,-5,NA,NA,-58.206,NA,NA
4610,-2.47262,4.28555,-5,NA,NA,-60.963,NA,NA
4911,-2.22802,3.93632,-5,NA,NA,-55.452,NA,NA
5185,-1.73974,4.42368,-4.5001,NA,NA,-55.875,NA,NA
5320,-2.57488,4.1976,-5,NA,-58.394,NA,NA,NA
5558,-1.60551,3.10319,-5,NA,NA,NA,-43.837,NA
5677,-1.7495,3.47023,-5,NA,-25.646,NA,NA,NA
5927,-1.61639,3.68574,-5,NA,NA,-47.699,NA,NA
6140,-1.76526,3.7331,-5,NA,NA,-50.325,NA,NA
6275,-1.92104,4.57899,-5,NA,NA,NA,-58.778,NA
6516,-1.32953,3.42606,-5,NA,-40.071,NA,NA,NA
6798,-1.96368,3.32014,-5,NA,-36.769,NA,NA,NA
6841,-1.97197,3.47065,-4.26261,NA,NA,-48.543,NA,NA
7190,-1.47565,3.89543,-5,NA,NA,-36.912,NA,NA
7263,-2.29899,3.9533,-4.08767,NA,NA,NA,-70.195,NA
7422,-1.13662,3.70912,-5,NA,NA,NA,-18.622,NA
7629,-1.98054,4.26773,-5,NA,NA,NA,-30.454,NA
7958,-1.73953,3.75108,-5,NA,NA,-52.116,NA,NA
8011,-2.06014,3.88937,-4.79786,NA,NA,-33.993,NA,NA
8307,-2.25548,3.7107,-5,NA,-43.178,NA,NA,NA
8497,-1.13164,4.04226,-5,NA,NA,NA,-46.332,NA
8657,-1.68305,3.08377,-4.95264,NA,NA,NA,-38.542,NA
8877,-1.31606,3.53265,-5,NA,-10.07,NA,NA,NA
