id,x0,x1,x2,fitness4.5,fitness5
100,2.34147,4.84555,-1.38687,3155.945,NA
219,2.2619,4.84555,-1.38687,3180.648,NA
231,2.2619,4.84555,-1.38687,NA,5897.836
266,3.3465,4.84555,-1.38687,NA,6872.857
293,4.13297,4.84555,-1.38687,NA,8613.344
349,4.13297,4.84555,-1.392,NA,8653.854
378,4.13297,4.84555,-1.43769,NA,8757.728
394,4.26241,4.84555,-1.43769,NA,12954.508
511,4.26241,4.84555,-1.43769,NA,13056.266
589,4.26241,4.84555,-1.41313,NA,13058.339
663,4.26241,4.85664,-1.41313,NA,13083.45
698,4.26241,4.85664,-1.42714,NA,13106.418
776,4.28733,4.85664,-1.42714,NA,13119.256
1099,4.28733,4.85664,-1.42714,NA,13119.995
1197,4.28733,4.85757,-1.42714,NA,13120.285
1307,4.26609,4.85757,-1.42714,NA,13128.098
1780,4.26964,4.85757,-1.42714,NA,13141.931
2342,4.27844,4.85757,-1.42714,NA,13150.161
2677,4.27844,4.85782,-1.42714,NA,13150.191
2769,4.27844,4.85782,-1.42714,NA,13153.019
3273,4.90112,4.85782,-0.845537,NA,29479.456
3323,4.85265,4.85782,-0.845537,NA,30173.044
3493,4.85265,4.85782,-0.786743,NA,30855.113
3708,4.85265,4.85782,-0.812654,NA,30866.681
4043,4.85684,4.85782,-0.812654,NA,30877.358
4193,4.85684,4.85782,-0.811735,NA,30885.362
4461,4.85684,4.85782,-0.791924,NA,30907.339
5018,4.85684,4.85782,-0.80697,NA,30916.919
5700,4.85684,4.85782,-0.798961,NA,30932.439
5799,4.85684,4.85782,-0.800065,NA,30933.092
6768,4.85744,4.85782,-0.800065,NA,30933.517
7295,4.85744,4.85782,-0.800188,NA,30933.534
7758,4.85744,4.85782,-0.800188,NA,30933.608
8057,4.74877,4.85782,-0.800188,NA,26600.725
