id,x0,x1,x2,fitness5.5,fitness7,fitness6.5,fitness8,fitness7.5,fitness8.5,fitness9,fitness9.5,fitness6,fitness10.5,fitness10
32,8.95123,7.89097,1.27239,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,9.34113,7.71471,1.01017,NA,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,8.59361,6.93494,2.50047,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA
794,6.12807,7.18694,2.53911,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,5.69954,8.06961,1.06968,NA,NA,NA,0.379,NA,NA,NA,NA,NA,NA,NA
1120,6.29679,8.85578,1.17643,NA,NA,NA,0.432,NA,NA,NA,NA,NA,NA,NA
1298,7.61482,8.11652,2.70627,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA
1429,6.09539,8.24888,1.84406,NA,NA,NA,0.228,NA,NA,NA,NA,NA,NA,NA
1753,6.70043,8.03468,1.57213,NA,NA,NA,NA,0.264,NA,NA,NA,NA,NA,NA
1910,7.99721,7.49208,0.5,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA
2040,7.54628,8.67838,1.21768,NA,NA,NA,NA,NA,0.709,NA,NA,NA,NA,NA
2211,7.94303,8.05923,0.635523,NA,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA
2448,8.35405,7.39804,0.990841,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA
2735,7.26231,6.84807,1.84905,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA
2837,7.18827,6.33404,1.9627,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA,NA
3095,7.1601,7.82668,3.61019,NA,0.687,NA,NA,NA,NA,NA,NA,NA,NA,NA
3228,7.82649,8.56195,3.65634,NA,NA,NA,NA,0.717,NA,NA,NA,NA,NA,NA
3600,8.21283,8.44588,1.92893,NA,NA,NA,0.632,NA,NA,NA,NA,NA,NA,NA
3777,8.26379,8.26842,3.82648,NA,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA
3818,8.24452,7.87882,3.8956,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA
4042,8.72015,8.09011,5.98935,NA,NA,NA,NA,0.344,NA,NA,NA,NA,NA,NA
4274,8.48941,8.45607,7.64633,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA,NA
4414,7.75678,8.00662,8.23862,NA,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
4767,7.86863,8.75256,7.90031,NA,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA
4852,9.51028,8.07672,8.48426,NA,NA,NA,0.463,NA,NA,NA,NA,NA,NA,NA
5186,7.97635,6.95334,7.43365,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA
5308,7.81943,7.61472,6.60176,NA,NA,NA,0.699,NA,NA,NA,NA,NA,NA,NA
5577,8.29618,7.64674,6.85443,NA,NA,NA,NA,0.773,NA,NA,NA,NA,NA,NA
5639,8.05409,7.06825,6.48774,NA,NA,NA,NA,NA,NA,0.413,NA,NA,NA,NA
5974,8.30919,7.65961,6.97154,NA,NA,NA,NA,NA,0.727,NA,NA,NA,NA,NA
6011,8.57138,7.96043,7.52187,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA
6206,7.33278,8.03088,8.20815,NA,NA,NA,NA,NA,0.793,NA,NA,NA,NA,NA
6440,7.02477,8.05914,7.22318,NA,NA,NA,NA,0.817,NA,NA,NA,NA,NA,NA
6640,7.10508,7.89656,7.20977,NA,NA,NA,NA,NA,0.775,NA,NA,NA,NA,NA
6823,8.32591,7.57684,6.97996,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA
7175,7.0516,7.51856,7.98077,NA,NA,NA,NA,NA,NA,NA,0.556,NA,NA,NA
7323,7.27258,7.56207,7.57792,NA,NA,NA,NA,0.951,NA,NA,NA,NA,NA,NA
7564,8.36433,7.75276,7.97882,NA,NA,0.662,NA,NA,NA,NA,NA,NA,NA,NA
7784,8.15714,7.97542,8.15401,NA,NA,NA,0.899,NA,NA,NA,NA,NA,NA,NA
7993,7.2553,7.7299,6.87734,NA,NA,NA,NA,NA,NA,0.586,NA,NA,NA,NA
8170,6.96737,7.24705,6.96007,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA
8376,6.98548,8.16969,8.09116,NA,NA,NA,0.817,NA,NA,NA,NA,NA,NA,NA
8430,8.13978,8.03521,8.00972,NA,NA,NA,NA,NA,0.853,NA,NA,NA,NA,NA
8631,7.97784,7.52319,8.61369,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA
8886,7.51489,7.54056,9.30508,NA,NA,NA,NA,0.618,NA,NA,NA,NA,NA,NA
9144,7.51846,7.36321,8.7268,NA,NA,NA,NA,0.797,NA,NA,NA,NA,NA,NA
9382,7.49349,6.48794,8.05711,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA
9495,7.21746,7.01659,7.78351,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA,NA
9787,8.74284,7.41302,7.86511,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA
9891,8.25318,8.53612,8.26864,NA,NA,NA,NA,NA,0.693,NA,NA,NA,NA,NA
10173,7.50202,9.20544,7.85365,NA,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA
10250,7.28478,8.66841,8.5322,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
10519,7.14331,7.25191,6.67574,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA
10759,7.36641,7.67444,7.20105,NA,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA
10904,7.35525,6.91076,7.16024,NA,NA,NA,NA,0.749,NA,NA,NA,NA,NA,NA
11081,8.34369,8.3172,7.799,NA,NA,NA,NA,NA,0.757,NA,NA,NA,NA,NA
11221,8.77969,7.94953,7.72372,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA
11473,8.01459,6.85722,7.89206,NA,NA,0.504,NA,NA,NA,NA,NA,NA,NA,NA
11685,5.69459,7.05574,7.7495,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA
11867,5.63244,8.00807,7.73973,NA,NA,NA,NA,0.475,NA,NA,NA,NA,NA,NA
12024,5.0548,8.092,7.23903,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA
12386,8.06648,7.76722,7.53432,NA,NA,NA,NA,0.966,NA,NA,NA,NA,NA,NA
12479,7.57177,7.36025,8.04487,NA,NA,NA,0.941,NA,NA,NA,NA,NA,NA,NA
12725,7.50611,8.44475,7.60606,NA,NA,NA,NA,0.888,NA,NA,NA,NA,NA,NA
12922,8.05954,8.36046,7.67756,NA,NA,NA,NA,NA,0.789,NA,NA,NA,NA,NA
13109,7.5705,8.39482,8.28643,NA,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA
13234,8.06915,8.63273,7.80404,NA,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA
13488,7.85202,7.84405,8.49873,NA,NA,0.674,NA,NA,NA,NA,NA,NA,NA,NA
13663,7.47193,8.19359,7.22841,NA,NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA
13865,6.90861,7.99953,7.7547,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA
14078,7.19285,7.89422,7.77054,NA,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA
14316,7.3237,7.23469,7.15788,NA,NA,NA,NA,0.851,NA,NA,NA,NA,NA,NA
14490,8.63755,7.87637,7.80162,NA,NA,NA,NA,NA,0.779,NA,NA,NA,NA,NA
14615,7.56951,8.15125,7.71588,NA,0.846,NA,NA,NA,NA,NA,NA,NA,NA,NA
14925,7.93741,6.75737,9.27786,NA,NA,NA,NA,0.471,NA,NA,NA,NA,NA,NA
15060,8.00018,6.83848,8.82598,NA,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA
15383,9.25243,7.49974,9.27671,NA,NA,NA,NA,NA,0.201,NA,NA,NA,NA,NA
15584,8.04413,7.68776,8.3804,NA,NA,NA,NA,NA,0.748,NA,NA,NA,NA,NA
15710,7.41814,7.70184,8.85254,NA,NA,NA,NA,NA,0.644,NA,NA,NA,NA,NA
15834,8.08241,6.81772,7.808,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA
16010,6.89699,7.00675,6.67116,NA,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA
16277,7.21429,7.28878,6.63925,NA,NA,NA,NA,0.678,NA,NA,NA,NA,NA,NA
16502,7.7443,7.34298,6.55575,NA,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA
16682,7.48708,6.59048,6.74666,NA,NA,NA,0.549,NA,NA,NA,NA,NA,NA,NA
16857,7.88118,6.68563,7.01762,NA,NA,NA,0.629,NA,NA,NA,NA,NA,NA,NA
17175,8.84751,6.56155,8.94258,NA,NA,NA,NA,0.282,NA,NA,NA,NA,NA,NA
17261,8.99193,8.19137,8.42395,NA,NA,NA,NA,0.619,NA,NA,NA,NA,NA,NA
17548,7.86697,8.57524,8.31135,NA,NA,NA,0.761,NA,NA,NA,NA,NA,NA,NA
17611,7.9747,7.54037,7.98785,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA,NA
17921,7.43834,8.41357,9.09908,NA,NA,NA,NA,NA,0.564,NA,NA,NA,NA,NA
18014,6.75913,8.5,7.90245,NA,NA,NA,0.651,NA,NA,NA,NA,NA,NA,NA
18255,7.66272,7.93226,7.75845,NA,NA,NA,NA,NA,0.877,NA,NA,NA,NA,NA
18578,7.11834,7.60744,7.53692,NA,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA
18745,7.81821,8.68863,7.83852,NA,0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA
18874,7.1346,8.29936,7.35722,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA
19124,8.13257,8.27112,7.96718,NA,NA,NA,NA,NA,0.821,NA,NA,NA,NA,NA
19269,6.9308,7.31475,7.94897,NA,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA
19504,7.37975,7.53691,6.45114,NA,NA,NA,0.652,NA,NA,NA,NA,NA,NA,NA
19629,8.50452,7.41895,6.98498,NA,NA,NA,NA,NA,0.586,NA,NA,NA,NA,NA
19992,10.1984,8.5135,7.17553,NA,NA,NA,NA,NA,NA,0.163,NA,NA,NA,NA
20059,9.30395,8.20265,6.94238,NA,NA,NA,NA,NA,0.351,NA,NA,NA,NA,NA
