id,x0,x1,x2,fitness-2.5,fitness-1.5,fitness-2,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness-3
106,-1.21786,4.27069,-0.262519,-828.735,NA,NA,NA,NA,NA,NA,NA
357,-1.92928,5,-1.7131,NA,-641.889,NA,NA,NA,NA,NA,NA
547,-1.02787,5,-2.41249,NA,NA,-474.855,NA,NA,NA,NA,NA
623,-2.11171,5,-2.75723,NA,NA,NA,-197.988,NA,NA,NA,NA
834,-2.39401,4.38839,-5,NA,NA,NA,NA,-57.312,NA,NA,NA
1001,-2.7015,4.8692,-5,NA,NA,NA,NA,-84.015,NA,NA,NA
1283,-2.85013,5,-5,NA,NA,NA,NA,-96.543,NA,NA,NA
1452,-3.32612,4.6683,-5,NA,NA,NA,-108.729,NA,NA,NA,NA
1770,-3.77326,5,-5,NA,NA,NA,NA,NA,-150.288,NA,NA
1887,-3.05043,5,-4.7831,NA,NA,NA,NA,-105.981,NA,NA,NA
2077,-2.04438,4.54976,-5,NA,NA,NA,NA,NA,-53.986,NA,NA
2300,-1.40533,4.60671,-5,NA,NA,NA,NA,NA,-74.444,NA,NA
2469,-1.75668,5,-4.45703,NA,NA,NA,NA,-88.263,NA,NA,NA
2716,-1.21872,5,-5,NA,NA,NA,NA,-90.409,NA,NA,NA
2841,-0.430577,5,-4.59849,NA,NA,NA,-166.559,NA,NA,NA,NA
3032,-1.01376,5,-4.39275,NA,NA,NA,-145.954,NA,NA,NA,NA
3395,-1.81472,3.76532,-3.03922,NA,NA,NA,-170.486,NA,NA,NA,NA
3416,-1.73302,4.28149,-4.0161,NA,NA,NA,NA,-72.429,NA,NA,NA
3651,-1.71125,4.69027,-5,NA,NA,NA,NA,-78.261,NA,NA,NA
3919,-3.05667,5,-4.94915,NA,NA,NA,NA,-106.36,NA,NA,NA
4012,-3.07403,4.39323,-4.39102,NA,NA,NA,NA,-95.518,NA,NA,NA
4296,-3.1422,5,-5,NA,NA,NA,NA,-108.536,NA,NA,NA
4496,-3.32908,5,-4.57878,NA,NA,NA,NA,-126.25,NA,NA,NA
4728,-4.00953,5,-5,NA,NA,NA,NA,-178.774,NA,NA,NA
4898,-2.33249,5,-5,NA,NA,NA,NA,-77.295,NA,NA,NA
5121,-2.54094,4.36864,-5,NA,NA,NA,NA,-68.958,NA,NA,NA
5329,-3.1553,4.75946,-5,NA,NA,NA,NA,NA,-98.279,NA,NA
5476,-3.49961,3.86766,-5,NA,NA,NA,NA,NA,-99.247,NA,NA
5679,-1.61841,3.97719,-5,NA,NA,NA,NA,NA,-16.275,NA,NA
5801,-2.70825,3.50544,-4.32408,NA,NA,NA,NA,-70.871,NA,NA,NA
6115,-2.62817,3.35768,-5,NA,NA,NA,NA,-85.157,NA,NA,NA
