id,x0,x1,x2,fitness-1.5,fitness-1,fitness-2.5,fitness-2,fitness-3,fitness-3.5,fitness-4
39,1.7439,2.65064,-4.59169,-59.788,NA,NA,NA,NA,NA,NA
373,1.61752,2.38357,-4.32504,NA,-63.989,NA,NA,NA,NA,NA
569,1.63261,0.861409,-5,NA,NA,-47.7,NA,NA,NA,NA
779,1.70979,1.23973,-5,NA,NA,-24.988,NA,NA,NA,NA
810,2.24009,1.38615,-4.75955,NA,NA,NA,-16.506,NA,NA,NA
1060,2.30034,1.46971,-4.17591,NA,NA,NA,-14.38,NA,NA,NA
1224,2.63098,1.46701,-4.32788,NA,NA,NA,-24.212,NA,NA,NA
1516,2.29722,1.45308,-5,NA,NA,NA,NA,-25.779,NA,NA
1619,1.68876,1.74256,-4.60938,-23.627,NA,NA,NA,NA,NA,NA
1945,1.58155,2.13645,-4.24518,NA,NA,NA,NA,-11.169,NA,NA
2200,1.28101,1.70387,-3.83642,NA,NA,-15.721,NA,NA,NA,NA
2265,2.01036,1.703,-3.95507,NA,NA,NA,NA,-13.33,NA,NA
2588,1.44492,2.05034,-4.7385,NA,NA,NA,NA,-15.649,NA,NA
2619,1.8719,1.42977,-5,NA,NA,NA,-18.958,NA,NA,NA
2849,1.87438,1.87776,-5,NA,NA,-16.064,NA,NA,NA,NA
3174,1.0865,2.13946,-5,NA,NA,-30.724,NA,NA,NA,NA
3369,1.30881,1.2648,-4.22696,NA,NA,NA,NA,-23.31,NA,NA
3467,2.03984,1.4356,-4.00399,NA,NA,NA,-12.409,NA,NA,NA
3772,1.81683,2.37875,-3.94336,-32.688,NA,NA,NA,NA,NA,NA
3814,1.97617,2.53938,-4.55757,NA,NA,NA,NA,-24.206,NA,NA
4053,1.01083,1.81026,-4.79075,NA,NA,NA,NA,-26.703,NA,NA
4224,1.57223,1.90893,-4.93386,NA,NA,NA,NA,-25.264,NA,NA
4569,2.14238,1.34521,-3.51157,NA,NA,NA,NA,-35.826,NA,NA
4636,1.75059,1.94014,-3.86407,NA,NA,NA,NA,-17.107,NA,NA
4908,1.88715,2.2101,-5,NA,NA,-20.574,NA,NA,NA,NA
5125,2.13965,1.68819,-4.48221,NA,NA,NA,NA,NA,-22.833,NA
5298,1.79238,2.08887,-4.65267,NA,NA,NA,NA,-12.994,NA,NA
5570,1.06467,1.76748,-5,NA,NA,NA,NA,-31.075,NA,NA
5799,1.53369,1.79979,-4.88758,NA,NA,-13.698,NA,NA,NA,NA
5873,1.44796,1.63151,-5,NA,NA,NA,NA,-19.717,NA,NA
6182,1.58388,1.80206,-3.61625,NA,NA,NA,-31.246,NA,NA,NA
6339,1.12309,1.62102,-4.54938,NA,NA,NA,NA,-20.045,NA,NA
6529,1.10186,1.98353,-3.77708,NA,NA,NA,NA,-30.943,NA,NA
6782,1.92949,2.1142,-3.72845,NA,NA,NA,NA,-21.615,NA,NA
6990,2.40205,1.36554,-4.45768,NA,NA,-15.339,NA,NA,NA,NA
7186,1.65417,1.13962,-5,NA,NA,NA,-35.705,NA,NA,NA
7254,2.11192,1.90339,-4.40985,NA,NA,-6.508,NA,NA,NA,NA
7408,1.50953,1.64493,-4.18118,NA,NA,NA,-8.421,NA,NA,NA
7632,1.77065,1.55402,-3.99579,NA,NA,NA,NA,-10.86,NA,NA
7962,2.13153,1.21169,-4.27513,NA,NA,-11.981,NA,NA,NA,NA
8047,1.33712,1.59485,-4.02536,NA,NA,NA,-17.166,NA,NA,NA
8292,1.23276,1.10843,-5,NA,NA,NA,-45.834,NA,NA,NA
8474,1.92133,1.23509,-4.1407,NA,NA,NA,-26.638,NA,NA,NA
8657,2.49187,1.72557,-3.84288,NA,NA,NA,NA,NA,-41.659,NA
8917,2.5657,1.3485,-4.66756,NA,NA,NA,NA,-29.166,NA,NA
9020,2.2335,1.47184,-5,NA,NA,-20.898,NA,NA,NA,NA
