id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2
155,-1.65459,3.94545,4.19975,-71.126,NA,NA
217,-1.65459,3.94545,4.19975,NA,-41.89,NA
230,-1.65459,3.94545,3.79032,NA,-29.053,NA
252,-1.65459,3.94545,3.79032,NA,NA,-19.909
275,-1.65459,3.94545,3.04162,NA,NA,-15.074
292,-1.65459,4.25426,3.04162,NA,NA,-4.959
325,-1.65459,4.25426,3.41698,NA,NA,-2.655
359,-1.65459,4.25426,3.40386,NA,NA,-2.527
377,-1.65459,4.51566,3.40386,NA,NA,-2.048
392,-1.65459,4.51566,3.40386,NA,NA,-1.612
422,-1.65459,4.41009,3.40386,NA,NA,-1.071
480,-1.65459,4.40485,3.40386,NA,NA,-1.069
523,-1.65459,4.40485,3.29794,NA,NA,-0.472
580,-1.64851,4.40485,3.29794,NA,NA,-0.426
643,-1.48458,4.40485,3.29794,NA,NA,-0.369
685,-1.48458,4.40485,3.28469,NA,NA,-0.361
713,-1.53052,4.40485,3.28469,NA,NA,-0.132
1011,-1.58021,4.40485,3.28469,NA,NA,-0.102
1030,-1.58021,4.40485,3.28469,NA,NA,-0.082
1078,-1.58021,4.40485,3.28469,NA,NA,-0.019
1345,-1.56849,4.40485,3.28469,NA,NA,-0.006
1456,-1.56849,4.40249,3.28469,NA,NA,-0.005
1966,-1.56849,4.40249,3.28469,NA,NA,-0.003
2193,-1.56849,4.39802,3.28469,NA,NA,-0.003
2619,-1.56849,4.39802,3.28469,NA,NA,-0.002
2781,-1.56388,4.39802,3.28469,NA,NA,-0.001
3475,-1.56388,4.40183,3.28469,NA,NA,0
4306,-1.56388,4.40183,3.28469,NA,NA,0
4595,-1.56376,4.40183,3.28469,NA,NA,0
5774,-1.56376,4.39978,3.28469,NA,NA,0
8104,-1.56376,5,3.28469,NA,NA,-12.805
