id,x0,x1,x2,fitness-3.5,fitness-2.5,fitness-2
54,0.949912,2.30096,-4.66532,-57.404,NA,NA
211,0.949912,2.30096,-4.66532,NA,-31.333,NA
237,0.949912,1.95576,-4.66532,NA,-25.907,NA
286,1.47657,1.95576,-4.66532,NA,-9.612,NA
342,1.47657,1.64637,-4.66532,NA,-7.04,NA
384,1.47657,1.64637,-4.38705,NA,-3.143,NA
425,1.68748,1.64637,-4.38705,NA,-0.5,NA
537,1.68748,1.64637,-4.37342,NA,-0.434,NA
589,1.79383,1.64637,-4.37342,NA,-0.296,NA
704,1.79383,1.57557,-4.37342,NA,-0.23,NA
794,1.79383,1.57557,-4.30974,NA,-0.081,NA
843,1.79383,1.59865,-4.30974,NA,-0.066,NA
1090,1.76062,1.59865,-4.30974,NA,-0.021,NA
1314,1.75909,1.59865,-4.30974,NA,-0.02,NA
1410,1.75909,1.59865,-4.30974,NA,-0.004,NA
2363,1.75755,1.59865,-4.30974,NA,-0.004,NA
2482,1.75755,1.59688,-4.30974,NA,-0.004,NA
2569,1.75755,1.59688,-4.30974,NA,0,NA
5500,1.75755,1.59688,-4.30971,NA,0,NA
6180,1.75755,1.59619,-4.30971,NA,0,NA
8153,1.75755,1.59619,-4.30971,NA,NA,-9.816
