id,x0,x1,x2,fitness-3,fitness-4.5,fitness-5
63,-1.83735,4.87298,-3.45276,-187.167,NA,NA
216,-1.83735,4.87298,-3.45276,NA,-126.161,NA
224,-1.83735,4.87298,-4.98026,NA,-68.154,NA
262,-1.7111,4.87298,-4.98026,NA,-64.546,NA
274,-1.7111,4.48746,-4.98026,NA,-48.352,NA
289,-1.7111,4.04772,-4.98026,NA,-20.81,NA
318,-1.7111,4.04772,-4.82576,NA,-20.017,NA
336,-1.7111,3.85977,-4.82576,NA,-5.823,NA
378,-1.7111,3.76381,-4.82576,NA,-4.357,NA
437,-1.63132,3.76381,-4.82576,NA,-2.776,NA
484,-1.63132,3.69723,-4.82576,NA,-2.54,NA
539,-1.63132,3.69723,-4.82576,NA,-2.29,NA
621,-1.63132,3.69911,-4.82576,NA,-2.284,NA
687,-1.63132,3.69911,-4.87129,NA,-2.183,NA
723,-1.41707,3.69911,-4.87129,NA,-0.996,NA
829,-1.53891,3.69911,-4.87129,NA,-0.575,NA
958,-1.46637,3.69911,-4.87129,NA,-0.191,NA
994,-1.46637,3.69911,-4.85923,NA,-0.163,NA
1127,-1.46637,3.68368,-4.85923,NA,-0.065,NA
1761,-1.48294,3.68368,-4.85923,NA,-0.024,NA
2828,-1.48294,3.68368,-4.85923,NA,-0.017,NA
2980,-1.48294,3.67422,-4.85923,NA,-0.001,NA
3379,-1.48294,3.67422,-4.85923,NA,0,NA
4066,-1.48217,3.67422,-4.85923,NA,0,NA
4150,-1.48217,3.67422,-4.85923,NA,0,NA
6737,-1.48217,3.67422,-4.85923,NA,0,NA
7945,-1.48217,3.67422,-4.85923,NA,NA,-36.942
