id,x0,x1,x2,fitness4.5,fitness5
126,-1.0308,4.96227,3.89517,1535.614,NA
209,-1.0308,4.96227,3.68424,1943.926,NA
219,-0.777533,4.96227,3.68424,4514.894,NA
247,-0.777533,4.96227,3.68424,NA,4625.763
257,-0.777533,4.96227,5,NA,14944.024
270,-0.777533,4.96227,4.92706,NA,18726.535
310,-0.777533,4.96227,4.92706,NA,24936.576
327,-0.777533,4.75098,4.92706,NA,24980.004
337,-0.777533,4.75098,4.88939,NA,26245.922
390,-0.777533,4.914,4.88939,NA,29136.255
424,-0.777533,4.914,4.88939,NA,29159.158
494,-0.777533,4.82461,4.88939,NA,29937.485
597,-0.777533,4.82461,4.84808,NA,30274.014
615,-0.777533,4.87111,4.84808,NA,30631.662
721,-0.785044,4.87111,4.84808,NA,30735.324
803,-0.796173,4.87111,4.84808,NA,30813.944
828,-0.796173,4.87111,4.84808,NA,30822.574
1158,-0.797473,4.87111,4.84808,NA,30825.89
1650,-0.797473,4.87111,4.85325,NA,30855.223
1710,-0.80208,4.87111,4.85325,NA,30857.054
2078,-0.80208,4.84542,4.85325,NA,30861.672
2525,-0.80208,4.84542,4.85871,NA,30870.397
2730,-0.80208,4.85858,4.85871,NA,30931.685
4489,-0.799515,4.85858,4.85871,NA,30932.58
5392,-0.799515,4.85858,4.85859,NA,30932.635
6514,-0.799515,4.85858,4.85859,NA,30933.077
8138,-0.799515,4.33374,4.85859,NA,-13896.039
