id,x0,x1,x2,fitness-3,fitness-4,fitness-3.5,fitness-4.5,fitness-5
36,-3.31786,4.27821,-2.24657,-339.121,NA,NA,NA,NA
238,-1.78361,3.83137,-1.62337,NA,-445.751,NA,NA,NA
465,-0.832742,3.73746,-4.74485,NA,NA,-154.673,NA,NA
665,-1.69427,4.55749,-4.80993,NA,-66.6,NA,NA,NA
881,-2.39272,4.71772,-4.45801,NA,NA,NA,-79.505,NA
1129,-2.55638,4.31743,-4.26327,NA,NA,NA,NA,-67.495
1370,-2.33444,4.32823,-4.75156,NA,NA,NA,NA,-47.324
1542,-1.73419,3.53464,-4.69569,NA,NA,NA,-21.573,NA
1665,-3.00353,3.8483,-4.86678,NA,NA,NA,-62.31,NA
1817,-2.65811,4.02308,-4.50982,NA,-68.866,NA,NA,NA
2032,-1.2621,3.65025,-4.65224,NA,NA,NA,-32.462,NA
2282,-2.22025,3.15663,-4.24138,NA,NA,NA,-80.085,NA
2475,-2.79878,4.17428,-4.36728,NA,NA,NA,-74.725,NA
2604,-2.48133,4.72274,-3.85481,NA,-100.327,NA,NA,NA
2874,-1.65162,4.51289,-4.64216,NA,NA,NA,NA,-58.571
3023,-2.27321,4.39186,-3.44516,NA,NA,-135.844,NA,NA
3391,-2.84499,4.63489,-4.55545,NA,NA,NA,-82.811,NA
3561,-3.6135,4.29696,-4.74175,NA,-117.209,NA,NA,NA
3793,-2.25656,4.82655,-4.76533,NA,NA,NA,-61.527,NA
3873,-1.49967,4.91406,-4.56952,NA,NA,NA,NA,-79.307
4067,-1.92488,4.79625,-4.91765,NA,NA,NA,-65.392,NA
4283,-1.98318,3.49515,-4.22868,NA,NA,NA,-74.058,NA
4565,-1.54098,4.41162,-4.71305,NA,NA,NA,-46.417,NA
4786,-2.34411,3.84543,-4.46048,NA,-60.484,NA,NA,NA
4839,-2.31114,4.09748,-4.97744,NA,NA,NA,NA,-48.305
5173,-1.83558,3.71031,-4.16799,NA,NA,NA,-56.818,NA
5202,-1.76802,4.13894,-4.46034,NA,NA,NA,-32.995,NA
5438,-0.960397,3.87676,-4.85138,NA,NA,NA,-36.141,NA
5684,-1.93121,4.0149,-4.37402,NA,-42.961,NA,NA,NA
5983,-2.64121,4.21414,-4.56263,NA,NA,NA,NA,-64.683
6058,-2.7698,4.01002,-4.91157,NA,NA,NA,NA,-65.419
6374,-2.76978,4.89687,-4.78373,NA,NA,NA,-86.034,NA
6459,-1.0745,3.76175,-4.93809,NA,-21.977,NA,NA,NA
6643,-1.26579,3.709,-4.61155,NA,NA,-67.185,NA,NA
6932,-2.11621,4.61468,-4.89938,NA,NA,NA,-60.183,NA
7098,-1.83855,3.55076,-4.84194,NA,NA,NA,-24.03,NA
7232,-1.55451,4.3701,-4.56238,NA,-69.349,NA,NA,NA
7535,-2.17887,3.91408,-4.13045,NA,-81.529,NA,NA,NA
7604,-1.36554,3.65924,-4.72236,NA,NA,NA,NA,-38.712
7954,-1.96304,3.54423,-4.89544,NA,NA,-71.428,NA,NA
8128,-1.83574,4.23206,-3.90736,NA,NA,-99.495,NA,NA
8208,-1.98913,4.08002,-4.54278,NA,NA,NA,-39.931,NA
8481,-1.94674,4.77977,-4.8751,NA,-69.038,NA,NA,NA
8663,-1.34568,3.66357,-4.71905,NA,NA,NA,-23.788,NA
8984,-2.16381,2.47607,-4.56023,NA,NA,NA,-127.18,NA
9016,-2.01302,4.7657,-4.66985,NA,-68.076,NA,NA,NA
9370,-1.63828,4.61118,-4.93212,NA,-53.26,NA,NA,NA
9590,-2.43436,4.72023,-4.33101,NA,NA,NA,NA,-73.484
9770,-2.28888,3.73263,-4.81622,NA,-44.293,NA,NA,NA
9824,-2.81523,3.59331,-4.49798,NA,NA,-97.32,NA,NA
10171,-2.8586,4.22621,-4.50726,NA,NA,NA,NA,-76.222
10360,-1.38723,4.80373,-4.94188,NA,NA,NA,NA,-59.752
10521,-0.872567,3.72773,-4.75276,NA,NA,NA,-71.18,NA
10643,-1.43915,3.44021,-4.55978,NA,NA,NA,NA,-40.781
10884,-1.23829,3.83946,-4.99923,NA,NA,NA,-29.404,NA
11175,-1.29988,4.06895,-4.39342,NA,NA,NA,NA,-59.171
11270,-1.68092,3.94413,-4.11375,NA,NA,NA,-66.575,NA
11423,-2.0937,3.95186,-4.94615,NA,NA,-53.969,NA,NA
11707,-2.41483,4.7215,-4.62138,-108.064,NA,NA,NA,NA
11841,-1.01142,3.85692,-4.76105,NA,NA,NA,NA,-95.107
12135,-1.61522,3.72035,-4.53826,NA,-34.773,NA,NA,NA
12278,-1.29829,4.16672,-4.75366,NA,NA,NA,-24.786,NA
12470,-1.7325,3.83647,-4.59288,NA,NA,NA,NA,-36.306
12679,-1.64834,4.62415,-4.90073,NA,NA,NA,NA,-65.985
12887,-1.57802,4.10417,-4.0554,NA,NA,NA,-68.945,NA
13148,-2.26739,4.5389,-4.60406,NA,NA,NA,NA,-61.986
13292,-2.10544,3.72156,-4.34539,NA,NA,NA,NA,-62.733
13505,-2.10232,3.51898,-4.06589,NA,NA,NA,-72.538,NA
13718,-2.16948,3.53689,-4.93567,NA,NA,NA,-41.077,NA
13854,-2.45415,3.85144,-4.99507,NA,NA,NA,NA,-59.8
14092,-3.18618,3.22978,-4.84982,NA,NA,NA,-89.153,NA
14225,-2.81139,3.72219,-4.90331,NA,NA,NA,NA,-68.65
14484,-2.28807,3.41635,-4.95919,NA,NA,NA,-59.376,NA
14707,-2.29489,4.04017,-4.75261,NA,NA,NA,-46.212,NA
14874,-1.63207,3.83135,-4.99994,NA,-31.959,NA,NA,NA
15200,-1.79698,3.20534,-4.9813,NA,NA,NA,NA,-52.979
15343,-2.86459,4.71266,-4.67261,NA,NA,NA,-79.095,NA
15599,-1.84351,4.0953,-4.97433,NA,-27.954,NA,NA,NA
15672,-1.4095,3.73205,-4.97551,NA,-5.289,NA,NA,NA
15955,-1.09045,4.74945,-4.77622,NA,NA,NA,-57.702,NA
16091,-1.73235,4.65597,-4.78137,NA,NA,NA,-39.352,NA
16384,-2.33537,3.89288,-4.923,NA,NA,NA,-48.275,NA
16566,-2.09208,3.67032,-4.3854,NA,NA,NA,-50.829,NA
16791,-1.55543,4.32211,-4.32632,NA,NA,NA,NA,-68.325
16990,-2.37332,2.90933,-4.88689,NA,NA,NA,-54.72,NA
17033,-3.14605,3.39875,-4.98026,NA,NA,-110.212,NA,NA
17248,-2.91137,3.4829,-4.95167,NA,NA,NA,-80.51,NA
17532,-2.18742,4.17761,-4.2877,NA,-63.847,NA,NA,NA
17618,-2.72326,3.77414,-4.29691,NA,-78.508,NA,NA,NA
17889,-2.3508,4.15104,-4.77672,NA,NA,NA,NA,-46.406
18073,-1.27742,4.56675,-4.83142,NA,NA,NA,NA,-63.059
18394,-1.09246,3.44709,-4.34928,NA,NA,NA,-37.485,NA
18561,-2.45753,3.26977,-4.30843,NA,NA,NA,NA,-80.116
18723,-1.99432,4.28326,-4.31139,NA,NA,NA,NA,-42.331
18809,-1.79905,4.75204,-4.36482,NA,NA,NA,NA,-65.154
19161,-2.66194,4.29588,-4.9982,NA,NA,NA,-53.827,NA
19298,-1.60772,3.86823,-4.58593,NA,NA,NA,-18.059,NA
19478,-2.8875,3.56292,-4.56308,NA,NA,NA,-75.821,NA
19736,-1.62655,4.8384,-4.31976,NA,NA,NA,-78.171,NA
19918,-1.51782,4.42809,-4.02687,NA,NA,NA,NA,-82.326
20200,-1.04885,4.34135,-4.51134,NA,NA,NA,-72.465,NA
20264,-1.44466,4.25119,-4.96261,NA,NA,NA,-26.569,NA
20481,-2.24589,3.75984,-4.5263,NA,NA,NA,NA,-50.077
20680,-1.67161,3.37612,-4.94902,NA,NA,NA,-25.268,NA
20899,-1.07808,3.43501,-4.72936,NA,NA,-78.371,NA,NA
21104,-1.21782,3.71609,-4.92125,NA,NA,NA,-12.745,NA
21252,-1.28391,3.351,-4.82149,NA,NA,NA,NA,-71.016
21425,-1.99713,4.40677,-4.33327,NA,NA,NA,NA,-54.356
21638,-1.5112,4.69933,-4.20968,NA,-80.157,NA,NA,NA
21874,-1.59669,4.82385,-3.82489,NA,-100.408,NA,NA,NA
22063,-1.27573,3.6243,-4.6393,NA,NA,NA,-15.856,NA
22320,-2.18878,3.32314,-4.58171,NA,NA,NA,-54.309,NA
22522,-2.41994,4.72152,-4.85047,NA,-62.703,NA,NA,NA
22745,-2.33824,4.76101,-3.89091,NA,NA,NA,-81.76,NA
22868,-2.90261,4.96743,-4.98151,NA,-98.956,NA,NA,NA
23165,-1.77205,4.57881,-4.37018,NA,-67.512,NA,NA,NA
23330,-1.27399,4.04237,-4.56111,NA,NA,NA,-43.764,NA
23519,-1.95091,4.13454,-4.55776,NA,NA,NA,-42.873,NA
23710,-2.33069,3.10151,-4.57006,NA,NA,NA,-77.048,NA
23974,-1.02268,3.09993,-4.89538,NA,NA,NA,-74.018,NA
24044,-1.74366,2.93497,-4.71707,NA,NA,NA,-46.178,NA
24360,-2.3824,3.80035,-3.17002,NA,NA,NA,-127.652,NA
24597,-2.3993,3.94888,-4.49125,NA,-60.894,NA,NA,NA
