id,x0,x1,x2,fitness-1.5,fitness-2.5,fitness-2,fitness-3,fitness-3.5,fitness-4
148,0.179883,1.70673,-3.34385,-147.263,NA,NA,NA,NA,NA
306,1.28206,2.29423,-4.2707,NA,-19.058,NA,NA,NA,NA
582,2.101,2.0122,-4.99368,NA,-18.35,NA,NA,NA,NA
788,1.63937,1.30373,-4.60008,NA,NA,-10.559,NA,NA,NA
827,1.53219,1.17791,-4.53725,NA,NA,-19.958,NA,NA,NA
1107,1.96142,1.55459,-4.51276,NA,-4.559,NA,NA,NA,NA
1272,2.24302,2.15454,-4.63363,NA,NA,NA,-18.766,NA,NA
1570,1.65472,1.35135,-3.97573,NA,NA,-11.185,NA,NA,NA
1759,1.60241,1.68592,-3.45052,NA,-26.43,NA,NA,NA,NA
1858,1.81825,1.87966,-3.9547,NA,NA,-10.908,NA,NA,NA
2016,1.80447,2.34017,-4.06261,NA,NA,-22.161,NA,NA,NA
2369,2.60329,2.35079,-3.97248,NA,NA,NA,-44.982,NA,NA
2498,2.22586,1.67684,-3.91288,NA,NA,NA,-15.128,NA,NA
2612,2.44669,1.34815,-4.06571,NA,-19.629,NA,NA,NA,NA
2846,1.46427,1.26437,-4.6944,NA,NA,NA,-15.753,NA,NA
3194,2.01594,1.64567,-3.84688,NA,-9.701,NA,NA,NA,NA
3220,2.18166,1.44325,-4.69573,NA,-11.506,NA,NA,NA,NA
3426,1.43605,1.57911,-4.86826,NA,NA,NA,-19.321,NA,NA
3622,1.82846,2.18046,-4.0674,NA,-11.405,NA,NA,NA,NA
3808,2.51012,1.87051,-4.63634,NA,-18.93,NA,NA,NA,NA
4113,2.512,1.79525,-4.72433,NA,NA,NA,NA,-34.25,NA
4283,1.92341,1.58009,-4.59523,NA,NA,NA,-10.103,NA,NA
4512,1.43748,2.06269,-4.6759,NA,NA,-21.061,NA,NA,NA
4754,1.66858,1.87699,-3.48839,NA,NA,NA,-33.332,NA,NA
4953,1.60793,1.56439,-3.92256,NA,NA,NA,-13.662,NA,NA
5135,1.63326,1.58332,-4.58815,NA,-3.517,NA,NA,NA,NA
5224,1.40893,2.05199,-4.06275,NA,-11.701,NA,NA,NA,NA
5566,2.05697,2.28375,-4.70093,NA,NA,NA,-25.348,NA,NA
5775,1.77298,1.2893,-4.34072,NA,NA,NA,-14.736,NA,NA
5931,2.16207,1.84072,-4.84434,NA,NA,-14.803,NA,NA,NA
6130,2.47864,1.40967,-4.93622,NA,-25.71,NA,NA,NA,NA
6248,1.73095,1.55773,-4.39827,NA,NA,NA,-14.633,NA,NA
6514,1.38354,1.72452,-4.49174,NA,NA,NA,-9.814,NA,NA
6716,1.21209,1.74575,-4.46183,NA,NA,NA,-17.408,NA,NA
6806,1.56102,1.80191,-4.50981,NA,NA,-10.245,NA,NA,NA
7155,1.44529,1.09364,-4.1895,NA,-18.312,NA,NA,NA,NA
7226,2.22386,2.46198,-4.18312,NA,-23.723,NA,NA,NA,NA
7572,1.43796,1.30353,-4.92416,NA,-20.635,NA,NA,NA,NA
7606,1.99772,1.32133,-4.39117,NA,-5.176,NA,NA,NA,NA
7880,1.63969,2.11859,-4.64563,NA,-11.118,NA,NA,NA,NA
8176,2.01795,2.61394,-4.14496,NA,NA,-31.985,NA,NA,NA
8205,1.19692,2.67974,-3.96403,NA,-37.23,NA,NA,NA,NA
8469,1.64606,1.32711,-4.3212,NA,NA,-8.613,NA,NA,NA
8645,1.73217,1.71225,-4.24443,NA,NA,-3.589,NA,NA,NA
8891,1.71896,1.34106,-4.38014,NA,NA,NA,-7.376,NA,NA
9032,1.82512,1.49495,-4.57537,NA,NA,-10.457,NA,NA,NA
9227,1.67047,1.41743,-4.32933,NA,NA,NA,-4.84,NA,NA
9563,1.93744,1.028,-3.92729,NA,NA,-26.457,NA,NA,NA
9615,1.97486,1.28783,-4.45668,NA,-8.21,NA,NA,NA,NA
9955,1.81588,1.26101,-4.57478,NA,NA,-9.904,NA,NA,NA
10046,1.02117,2.29185,-4.80811,NA,-31.102,NA,NA,NA,NA
10239,1.79002,0.995977,-4.37918,NA,-18.271,NA,NA,NA,NA
10573,2.078,1.68527,-4.81695,NA,NA,NA,-16.726,NA,NA
10620,2.09385,1.8723,-4.49633,NA,-7.448,NA,NA,NA,NA
10935,1.68635,2.29069,-4.59504,NA,-15.224,NA,NA,NA,NA
11091,1.30339,1.52117,-4.30312,NA,NA,-12.542,NA,NA,NA
11298,1.87368,1.22629,-4.34278,NA,NA,NA,-8.361,NA,NA
11450,1.00796,1.95612,-4.9007,NA,NA,NA,-29.929,NA,NA
11737,2.19137,1.9828,-4.61079,NA,NA,-12.559,NA,NA,NA
11930,2.15768,1.10417,-4.66593,NA,-18.899,NA,NA,NA,NA
12070,1.5443,1.43635,-4.81344,NA,NA,-21.67,NA,NA,NA
12327,2.51989,1.57565,-4.37968,NA,-16.89,NA,NA,NA,NA
12458,2.4136,1.81268,-4.52835,-30.714,NA,NA,NA,NA,NA
12672,1.67097,2.13912,-4.54845,NA,NA,-12.114,NA,NA,NA
12993,1.74906,1.88304,-4.74535,NA,-8.988,NA,NA,NA,NA
13136,2.37214,2.34992,-4.00342,NA,-25.051,NA,NA,NA,NA
13342,2.74216,1.68178,-4.25279,NA,NA,NA,-37.566,NA,NA
13421,1.78911,1.99755,-4.43317,NA,NA,NA,-7.16,NA,NA
13721,0.916601,1.64151,-4.57769,NA,NA,NA,-26.908,NA,NA
13894,1.54301,1.72945,-4.05391,NA,NA,NA,-6.346,NA,NA
14040,1.13633,1.07397,-4.17233,NA,-33.541,NA,NA,NA,NA
14248,2.24451,1.60207,-4.35272,NA,NA,NA,NA,-26.973,NA
14575,2.95197,1.66157,-3.9632,NA,NA,NA,NA,-55.533,NA
14788,1.99471,1.99634,-4.54071,NA,NA,NA,-9.937,NA,NA
14953,1.62499,1.43939,-4.22571,NA,NA,NA,-7.138,NA,NA
15062,2.02409,1.3684,-4.69276,NA,-9.712,NA,NA,NA,NA
15389,1.86782,1.1736,-3.65047,NA,NA,NA,NA,-39.444,NA
15493,2.22536,2.3132,-4.22447,NA,-18.125,NA,NA,NA,NA
15697,2.36734,2.40327,-4.61428,NA,NA,NA,-34.988,NA,NA
15945,1.99586,1.76908,-4.14893,NA,NA,-5.495,NA,NA,NA
16016,1.90487,1.57248,-4.30605,NA,-1.478,NA,NA,NA,NA
16238,1.90055,1.88275,-4.38522,NA,NA,NA,-10.989,NA,NA
16460,2.53364,2.07639,-4.4331,NA,NA,-22.506,NA,NA,NA
16678,1.77096,2.21382,-4.22938,NA,NA,-14.28,NA,NA,NA
16814,2.15346,2.18859,-4.24302,NA,-12.878,NA,NA,NA,NA
17127,1.72416,1.98803,-3.90396,NA,NA,NA,-11.385,NA,NA
17256,2.28877,1.53539,-4.80747,NA,NA,-21.666,NA,NA,NA
17590,2.18881,1.43695,-4.23486,NA,-7.971,NA,NA,NA,NA
17771,1.26528,1.98389,-4.19805,NA,-11.878,NA,NA,NA,NA
17983,1.2714,1.96196,-3.90875,NA,-15.871,NA,NA,NA,NA
18030,1.79914,1.79528,-4.08099,NA,NA,-11.776,NA,NA,NA
18335,1.86361,1.85744,-4.14105,-23.824,NA,NA,NA,NA,NA
18415,1.57695,2.44084,-4.97588,-55.829,NA,NA,NA,NA,NA
18684,1.87635,2.38101,-4.23295,NA,-15.985,NA,NA,NA,NA
18832,2.38023,1.91613,-4.93815,NA,-21.323,NA,NA,NA,NA
19101,1.95536,1.63645,-4.89229,NA,-12.025,NA,NA,NA,NA
19306,1.61685,1.68219,-4.16483,NA,-2.634,NA,NA,NA,NA
19472,2.11223,1.90308,-3.85716,NA,-12.216,NA,NA,NA,NA
19607,1.53852,2.12983,-3.60697,NA,-23.685,NA,NA,NA,NA
19868,2.23637,1.55609,-3.94263,NA,-12.827,NA,NA,NA,NA
20191,1.70312,1.96879,-4.24235,NA,NA,NA,-7.988,NA,NA
20331,1.95545,1.1238,-4.43945,NA,NA,-26.759,NA,NA,NA
20438,2.00752,1.70613,-4.36472,NA,-2.874,NA,NA,NA,NA
20675,2.13467,1.03617,-4.64897,NA,NA,-24.584,NA,NA,NA
20881,1.57512,1.8331,-4.10267,NA,NA,NA,-9.086,NA,NA
21069,2.08595,2.60233,-3.95899,NA,NA,NA,-30.495,NA,NA
21312,1.42119,2.07857,-4.97464,NA,-21.904,NA,NA,NA,NA
21568,1.59211,2.44475,-4.0302,NA,NA,-22.3,NA,NA,NA
21741,1.4154,1.80395,-3.72074,NA,-16.401,NA,NA,NA,NA
21817,1.69435,1.81736,-4.01293,NA,-5.295,NA,NA,NA,NA
22109,1.69275,1.26605,-4.06667,-29.399,NA,NA,NA,NA,NA
22383,2.09642,2.22915,-4.83502,NA,NA,NA,-21.225,NA,NA
22462,1.95623,1.58175,-3.85271,NA,-8.43,NA,NA,NA,NA
22603,2.35223,2.15534,-4.21772,NA,NA,-19.926,NA,NA,NA
22946,1.5563,1.36299,-3.87668,NA,-11.13,NA,NA,NA,NA
23029,1.57328,1.92473,-4.05423,NA,NA,NA,-13.351,NA,NA
23300,2.16409,1.54715,-4.89084,NA,-14.889,NA,NA,NA,NA
23412,1.52499,1.5901,-4.51203,NA,NA,-9.748,NA,NA,NA
23604,1.36544,1.9326,-4.82334,NA,NA,NA,-16.953,NA,NA
23911,1.29948,1.88337,-4.29583,NA,-9.646,NA,NA,NA,NA
24008,2.14373,2.10653,-4.04351,NA,NA,-16.763,NA,NA,NA
24242,2.15177,1.80538,-4.31708,NA,NA,-7.46,NA,NA,NA
24467,0.84613,1.33715,-4.57666,NA,NA,NA,-37.773,NA,NA
24700,1.95054,1.57799,-3.94538,NA,-6.621,NA,NA,NA,NA
