id,x0,x1,x2,fitness4
50,4.18387,4.38406,8.03398,0.901
215,4.18387,3.90679,8.03398,0.919
237,4.18387,4.28834,8.03398,0.929
260,4.18387,4.28834,7.68704,0.95
290,4.18387,4.28834,7.68704,0.973
311,4.18387,4.28834,7.68704,0.974
364,4.13716,4.28834,7.68704,0.978
401,4.13716,4.05242,7.68704,0.997
419,4.13716,4.05242,7.69343,0.997
456,4.13716,4.08962,7.69343,0.999
538,4.1061,4.08962,7.69343,1
812,4.1061,4.08962,7.70464,1
970,4.1061,4.10739,7.70464,1
1674,4.1061,4.10739,7.70521,1
1905,4.1061,4.10792,7.70521,1
3270,4.11333,4.10792,7.70521,1
4505,4.11093,4.10792,7.70521,1
6430,4.11093,4.11445,7.70521,1
8034,4.11093,4.1084,7.70521,1
8124,4.11093,4.1084,7.70521,1
8159,4.11093,4.1084,6.26491,0.63
