id,x0,x1,x2,fitness-4,fitness-3.5,fitness-5,fitness-4.5,fitness-3,fitness-1.5,fitness-2.5,fitness-2
104,-2.37482,2.69364,-4.07446,-143.977,NA,NA,NA,NA,NA,NA,NA
371,-4.04477,3.22054,-2.15351,-345.78,NA,NA,NA,NA,NA,NA,NA
504,-3.82854,2.32002,-2.5404,NA,-350.043,NA,NA,NA,NA,NA,NA
699,-3.21025,2.89867,-3.40435,-175.846,NA,NA,NA,NA,NA,NA,NA
931,-2.08851,3.26819,-4.28236,-81.794,NA,NA,NA,NA,NA,NA,NA
1119,-1.85129,2.29641,-5,NA,NA,-142.915,NA,NA,NA,NA,NA
1337,-1.52948,3.63868,-5,NA,NA,-34.093,NA,NA,NA,NA,NA
1494,-3.67338,4.39503,-5,NA,NA,-126.385,NA,NA,NA,NA,NA
1705,-2.72541,3.56327,-5,NA,NA,-72.19,NA,NA,NA,NA,NA
1847,-2.21022,4.55761,-5,-59.349,NA,NA,NA,NA,NA,NA,NA
2055,-2.51598,4.10114,-5,NA,NA,-60.65,NA,NA,NA,NA,NA
2209,-2.36283,4.44306,-5,NA,NA,-59.817,NA,NA,NA,NA,NA
2531,-2.45162,5,-3.67911,NA,NA,-114.917,NA,NA,NA,NA,NA
2739,-2.52719,4.96816,-3.40898,NA,NA,-132.842,NA,NA,NA,NA,NA
2983,-2.79472,5,-4.45959,NA,NA,-99.482,NA,NA,NA,NA,NA
3008,-2.78153,5,-4.71127,-102.509,NA,NA,NA,NA,NA,NA,NA
3305,-2.7759,3.45919,-4.42823,NA,NA,-77.968,NA,NA,NA,NA,NA
3559,-2.9495,3.56105,-4.74025,NA,NA,-77.433,NA,NA,NA,NA,NA
3648,-2.61871,3.28519,-4.01643,NA,NA,-97.205,NA,NA,NA,NA,NA
3820,-1.39816,3.84668,-3.5547,NA,-130.242,NA,NA,NA,NA,NA,NA
4170,-2.3801,3.6116,-4.31142,-71.987,NA,NA,NA,NA,NA,NA,NA
4226,-2.83497,3.36905,-5,NA,NA,NA,-76.665,NA,NA,NA,NA
4481,-0.622332,3.72426,-3.2114,NA,NA,-238.322,NA,NA,NA,NA,NA
4715,-1.55638,3.913,-3.39371,NA,NA,-122.333,NA,NA,NA,NA,NA
4844,-0.993923,3.98052,-4.83339,NA,NA,-83.971,NA,NA,NA,NA,NA
5061,-0.666153,3.98507,-5,NA,NA,-99.402,NA,NA,NA,NA,NA
5213,-0.647648,3.73739,-4.51241,NA,NA,-135.812,NA,NA,NA,NA,NA
5579,-2.8336,3.48617,-5,NA,NA,NA,-75.58,NA,NA,NA,NA
5702,-2.79505,3.71672,-5,NA,NA,-70.877,NA,NA,NA,NA,NA
5879,-4.6763,4.51523,-4.16104,NA,NA,-244.136,NA,NA,NA,NA,NA
6018,-4.12772,5,-3.96516,NA,NA,-208.468,NA,NA,NA,NA,NA
6257,-3.36002,3.83138,-4.65324,NA,NA,-97.867,NA,NA,NA,NA,NA
6496,-3.60816,5,-5,NA,NA,-143.249,NA,NA,NA,NA,NA
6686,-3.06506,4.19499,-5,-83.515,NA,NA,NA,NA,NA,NA,NA
6975,-0.950062,4.53496,-5,NA,NA,-92.736,NA,NA,NA,NA,NA
7066,-0.541851,3.28163,-5,NA,NA,-138.678,NA,NA,NA,NA,NA
7362,-1.20245,3.57525,-5,NA,NA,-58.691,NA,NA,NA,NA,NA
7595,-1.20802,4.32109,-5,NA,NA,NA,-52.878,NA,NA,NA,NA
7763,-1.71708,3.85232,-5,-12.872,NA,NA,NA,NA,NA,NA,NA
7941,-0.7682,3.74641,-5,NA,NA,-73.241,NA,NA,NA,NA,NA
8130,-1.76703,3.6951,-5,NA,NA,-48.933,NA,NA,NA,NA,NA
8398,-2.65015,4.38916,-5,NA,NA,NA,-59.91,NA,NA,NA,NA
8411,-1.98391,4.16379,-5,NA,NA,-57.653,NA,NA,NA,NA,NA
8784,-2.84292,4.26061,-5,NA,NA,-71.372,NA,NA,NA,NA,NA
8849,-1.42985,3.49573,-4.6243,NA,NA,-58.992,NA,NA,NA,NA,NA
9135,-1.86729,3.70039,-5,-34.766,NA,NA,NA,NA,NA,NA,NA
9330,-1.86242,4.43772,-4.37517,-69.794,NA,NA,NA,NA,NA,NA,NA
9445,-1.95254,5,-4.07662,NA,NA,-91.656,NA,NA,NA,NA,NA
9786,-2.7039,5,-5,NA,NA,NA,-83.566,NA,NA,NA,NA
9915,-2.25986,4.11877,-5,-56.263,NA,NA,NA,NA,NA,NA,NA
10151,-0.661332,3.99173,-4.51771,-115.611,NA,NA,NA,NA,NA,NA,NA
10290,-1.93837,5,-3.81817,NA,NA,NA,-104.532,NA,NA,NA,NA
10507,-1.24784,3.84558,-4.80106,NA,NA,-47.287,NA,NA,NA,NA,NA
10770,-1.25234,4.25366,-4.97822,NA,NA,-66.623,NA,NA,NA,NA,NA
10875,-2.66359,5,-3.91509,NA,NA,-114.613,NA,NA,NA,NA,NA
11024,-2.38437,5,-5,NA,NA,-79.138,NA,NA,NA,NA,NA
11340,-1.98603,4.62843,-4.19451,NA,NA,-88.693,NA,NA,NA,NA,NA
11518,-1.97477,4.23539,-3.68533,NA,NA,-115.303,NA,NA,NA,NA,NA
11753,-3.24779,5,-4.18407,NA,NA,-127.295,NA,NA,NA,NA,NA
11896,-2.80526,5,-4.98081,NA,NA,-95.592,NA,NA,NA,NA,NA
12105,-1.69574,5,-3.99251,NA,NA,-96.263,NA,NA,NA,NA,NA
12289,-0.563913,5,-3.6667,NA,NA,NA,-194.996,NA,NA,NA,NA
12445,-0.738645,4.95774,-5,NA,NA,-123.15,NA,NA,NA,NA,NA
12741,-0.92967,3.60561,-5,NA,NA,-84.017,NA,NA,NA,NA,NA
12981,-1.55975,5,-5,NA,NA,-79.28,NA,NA,NA,NA,NA
13094,-2.37311,4.37096,-3.39386,NA,NA,-121.451,NA,NA,NA,NA,NA
13295,-0.762028,2.89233,-3.94019,NA,NA,-143.2,NA,NA,NA,NA,NA
13593,-1.50451,4.42718,-4.76933,NA,NA,-58.45,NA,NA,NA,NA,NA
13726,-2.12473,5,-4.24779,NA,NA,-83.938,NA,NA,NA,NA,NA
13822,-2.31787,4.51387,-5,NA,NA,-65.186,NA,NA,NA,NA,NA
14012,-1.27442,5,-4.53511,NA,NA,-91.769,NA,NA,NA,NA,NA
14245,-0.980649,4.78358,-4.0533,NA,NA,NA,-123.069,NA,NA,NA,NA
14525,-2.49284,4.07616,-5,NA,NA,NA,NA,-102.641,NA,NA,NA
14763,-2.73497,4.60263,-5,NA,NA,NA,NA,NA,-284.317,NA,NA
14845,-2.59442,3.90565,-5,NA,NA,NA,NA,-138.022,NA,NA,NA
15186,-3.23819,3.85097,-4.16686,NA,-125.835,NA,NA,NA,NA,NA,NA
15271,-3.61036,3.96937,-5,NA,NA,NA,-108.057,NA,NA,NA,NA
15448,-2.46178,5,-5,NA,NA,NA,-80.677,NA,NA,NA,NA
15607,-1.94954,5,-5,NA,NA,NA,-71.298,NA,NA,NA,NA
15866,-2.16729,4.62283,-5,NA,NA,NA,-59.686,NA,NA,NA,NA
16084,-2.88975,5,-5,NA,-116.239,NA,NA,NA,NA,NA,NA
16380,-2.17754,4.83387,-3.7729,NA,NA,-102.19,NA,NA,NA,NA,NA
16540,-2.80169,5,-3.62997,NA,NA,NA,-127.877,NA,NA,NA,NA
16637,-2.43937,4.79642,-4.10148,NA,NA,-88,NA,NA,NA,NA,NA
16989,-2.75859,5,-3.82894,NA,NA,-120.36,NA,NA,NA,NA,NA
17150,-2.69898,5,-3.80774,NA,NA,-121.558,NA,NA,NA,NA,NA
17377,-1.62951,4.50943,-3.82622,NA,NA,-97.951,NA,NA,NA,NA,NA
17576,-2.42199,4.16873,-4.43321,-61.751,NA,NA,NA,NA,NA,NA,NA
17762,-1.2012,5,-4.7049,NA,NA,-91.283,NA,NA,NA,NA,NA
17870,0.184114,3.55847,-4.87762,NA,NA,-215.807,NA,NA,NA,NA,NA
18097,-1.01328,4.88763,-4.96387,NA,NA,NA,-89.271,NA,NA,NA,NA
18306,-0.823809,3.95934,-4.95945,NA,NA,NA,-84.627,NA,NA,NA,NA
18543,-0.820001,4.89964,-5,-121.466,NA,NA,NA,NA,NA,NA,NA
18769,-1.5732,4.9563,-5,NA,-104.857,NA,NA,NA,NA,NA,NA
18903,-3.2081,5,-4.8381,-112.999,NA,NA,NA,NA,NA,NA,NA
19034,-3.09943,4.10693,-4.05898,NA,NA,NA,NA,-137.948,NA,NA,NA
19262,-3.86444,4.14974,-4.71957,NA,NA,NA,-129.651,NA,NA,NA,NA
19460,-4.86236,3.10361,-5,NA,NA,-254.69,NA,NA,NA,NA,NA
19702,-4.81879,3.41126,-4.46823,NA,NA,NA,-241.186,NA,NA,NA,NA
19831,-1.76302,2.41736,-3.35659,NA,NA,NA,-198.572,NA,NA,NA,NA
20080,-1.32792,3.36963,-2.9058,NA,NA,-217.098,NA,NA,NA,NA,NA
20313,-0.907588,4.17051,-3.90163,-145.553,NA,NA,NA,NA,NA,NA,NA
20570,-0.573351,4.4269,-4.05858,NA,NA,-147.975,NA,NA,NA,NA,NA
20710,-0.253156,3.96955,-4.86373,NA,NA,-152.753,NA,NA,NA,NA,NA
20887,-0.797802,3.85719,-5,NA,NA,NA,-95.363,NA,NA,NA,NA
21197,-1.72104,3.71009,-5,NA,NA,NA,-7.816,NA,NA,NA,NA
21201,-1.58313,2.88166,-5,NA,NA,-100.243,NA,NA,NA,NA,NA
21423,-1.86996,4.44903,-5,-59.244,NA,NA,NA,NA,NA,NA,NA
21771,-2.20491,4.33094,-5,NA,NA,-53.171,NA,NA,NA,NA,NA
21873,-1.8133,5,-5,NA,NA,-73.223,NA,NA,NA,NA,NA
22071,-1.7024,4.71969,-4.94408,NA,-113.395,NA,NA,NA,NA,NA,NA
22379,-1.70667,4.82316,-4.8136,NA,NA,NA,NA,-94.398,NA,NA,NA
22412,-1.34072,5,-5,NA,-119.356,NA,NA,NA,NA,NA,NA
22760,-1.23984,4.87434,-5,-91.547,NA,NA,NA,NA,NA,NA,NA
