id,x0,x1,x2,fitness-2.5
72,-0.0338632,2.29793,-3.21947,-118.249
220,0.3537,2.29793,-3.21947,-88.925
239,0.3537,2.29793,-4.42357,-58.535
258,1.7576,2.29793,-4.42357,-13.55
273,1.7576,1.20255,-4.42357,-8.802
301,1.7576,1.77223,-4.42357,-2.831
338,1.7576,1.77223,-4.2947,-2.414
351,1.7576,1.77223,-4.2947,-1.029
369,1.77347,1.77223,-4.2947,-1.028
424,1.77347,1.534,-4.2947,-0.157
747,1.77347,1.65124,-4.2947,-0.123
773,1.77347,1.59256,-4.2947,-0.02
832,1.77347,1.59256,-4.30857,-0.013
906,1.76269,1.59256,-4.30857,-0.005
1028,1.76269,1.59256,-4.30857,-0.001
2228,1.76016,1.59256,-4.30857,-0.001
2889,1.75558,1.59256,-4.30857,-0.001
3936,1.75558,1.59256,-4.30857,-0.001
4476,1.75558,1.59482,-4.30857,0
8205,1.75558,1.59482,-4.95114,-12.79
