id,x0,x1,x2,fitness-4,fitness-4.5,fitness-5,fitness-3.5,fitness-3
15,-2.96827,1.07145,-2.99432,-393.37,NA,NA,NA,NA
375,-2.40432,0.665545,-4.05839,NA,-379.708,NA,NA,NA
445,-1.70567,2.39793,-4.92749,NA,NA,-89.436,NA,NA
606,-1.961,3.47815,-5,NA,NA,-59.81,NA,NA
829,-2.46632,3.80818,-5,NA,-49.225,NA,NA,NA
1073,-1.71714,3.54327,-5,-15.878,NA,NA,NA,NA
1241,-0.943895,3.88495,-5,NA,-57.115,NA,NA,NA
1572,-1.62959,4.20581,-4.66056,NA,NA,-39.644,NA,NA
1764,-1.33649,4.85265,-5,NA,NA,-72.244,NA,NA
1867,-2.93908,4.80038,-5,NA,-82.742,NA,NA,NA
2168,-1.87946,5,-5,NA,NA,-76.363,NA,NA
2257,-2.06178,4.82043,-5,-72.088,NA,NA,NA,NA
2412,-2.29936,5,-4.6965,NA,NA,-76.295,NA,NA
2723,-1.79629,3.46614,-5,NA,-22.492,NA,NA,NA
2906,-2.02398,3.63023,-5,NA,NA,-44.859,NA,NA
3037,-2.11494,5,-5,NA,NA,-80.121,NA,NA
3332,-1.99429,3.84942,-5,NA,NA,-34.155,NA,NA
3497,-0.894784,3.76728,-4.93597,NA,NA,-68.103,NA,NA
3619,-1.74849,4.73953,-4.59449,NA,NA,-71.18,NA,NA
3842,-2.11759,3.91839,-4.16224,NA,-55.934,NA,NA,NA
4053,-2.33404,3.37618,-5,NA,NA,-48.32,NA,NA
4353,-2.25757,3.4502,-4.78527,-54.555,NA,NA,NA,NA
4592,-2.20572,3.44521,-5,NA,-48.44,NA,NA,NA
4796,-2.40871,3.49067,-5,NA,-54.531,NA,NA,NA
4884,-1.63025,4.06914,-5,NA,NA,-43.065,NA,NA
5035,-1.92776,4.39469,-5,NA,-39.982,NA,NA,NA
5327,-2.36185,3.36357,-5,NA,NA,-50.403,NA,NA
5444,-1.72651,3.12947,-4.98123,NA,NA,-71.096,NA,NA
5695,-3.3826,3.88083,-4.71227,NA,NA,-98.578,NA,NA
5807,-2.64295,3.05951,-5,NA,NA,-73.944,NA,NA
6024,-1.51601,4.04197,-4.97716,NA,NA,-45.856,NA,NA
6389,-1.39876,3.92967,-4.80562,-24.809,NA,NA,NA,NA
6599,-1.51632,3.204,-5,-35.428,NA,NA,NA,NA
6741,-1.72569,3.12747,-5,NA,NA,-71.342,NA,NA
6853,-1.51318,3.22992,-4.44962,NA,NA,-62.768,NA,NA
7054,-1.47307,4.06125,-4.74401,NA,NA,-46.348,NA,NA
7213,-1.20059,3.93317,-5,-26.562,NA,NA,NA,NA
7409,-1.44183,3.82301,-5,NA,NA,-32.327,NA,NA
7715,-2.02494,3.8987,-5,NA,NA,-34.115,NA,NA
7936,-2.26497,3.85424,-4.7407,NA,-47.288,NA,NA,NA
8091,-2.40697,3.6472,-5,NA,-47.143,NA,NA,NA
8230,-2.15764,4.11084,-5,NA,NA,-50.945,NA,NA
8524,-2.331,4.79268,-5,NA,NA,-79.41,NA,NA
8646,-2.59289,3.56451,-4.92337,NA,NA,-68.987,NA,NA
8977,-2.85024,3.22959,-5,NA,NA,-80.465,NA,NA
9157,-2.04436,3.59618,-5,NA,NA,-49.1,NA,NA
9341,-2.95495,4.19844,-5,NA,-82.538,NA,NA,NA
