id,x0,x1,x2,fitness-4,fitness-3.5,fitness-3,fitness-2.5,fitness-5,fitness-4.5
97,-2.38142,4.16772,-4.14923,-70.241,NA,NA,NA,NA,NA
201,-2.48044,4.67723,-4.78932,NA,-84.33,NA,NA,NA,NA
432,-2.68437,4.97259,-4.51184,NA,NA,-149.417,NA,NA,NA
617,-2.05484,5,-5,NA,NA,NA,-165.29,NA,NA
884,-1.67763,5,-5,NA,-90.71,NA,NA,NA,NA
1058,-1.84939,4.51127,-4.45165,NA,NA,NA,NA,-64.182,NA
1295,-1.54349,4.39216,-5,NA,NA,NA,NA,-56.346,NA
1595,-1.53412,2.98985,-4.73856,NA,-154.008,NA,NA,NA,NA
1675,-2.49977,3.83188,-5,NA,NA,NA,NA,NA,-54.969
1948,-2.60077,5,-4.10087,-102.286,NA,NA,NA,NA,NA
2008,-2.03987,5,-5,NA,NA,NA,NA,-81.757,NA
2257,-1.41919,3.84631,-5,NA,NA,NA,NA,-31.675,NA
2448,-2.88266,2.6717,-5,NA,NA,NA,NA,-107.807,NA
2736,-2.44822,2.96253,-5,NA,NA,NA,NA,-90.58,NA
2890,-2.89252,3.66657,-4.16793,-92.59,NA,NA,NA,NA,NA
3149,-3.03849,2.97395,-4.34332,NA,NA,NA,NA,-95.914,NA
3265,-1.94815,2.84472,-5,NA,NA,NA,NA,-71.498,NA
3498,-1.50369,4.05472,-5,-24.672,NA,NA,NA,NA,NA
3737,-1.66428,4.12805,-5,NA,NA,NA,NA,-39.298,NA
3827,-1.32921,3.21504,-5,NA,NA,NA,NA,-82.735,NA
4058,-1.8663,3.91267,-5,NA,NA,NA,NA,NA,-21.295
4266,-2.00174,4.71112,-4.43627,NA,NA,NA,NA,NA,-52.535
4455,-1.3373,5,-5,NA,NA,NA,NA,-93.78,NA
4772,-1.08032,4.27679,-5,NA,NA,NA,NA,-49.14,NA
4877,-2.2238,4.74855,-4.80723,NA,NA,NA,NA,-69.601,NA
5083,-1.67408,4.44125,-4.91247,NA,NA,NA,NA,-50.631,NA
5388,-2.0596,4.19755,-5,NA,NA,NA,NA,-59.962,NA
5444,-1.98074,3.61424,-5,NA,NA,NA,NA,-45.652,NA
5688,-1.91676,3.14446,-5,-54.807,NA,NA,NA,NA,NA
5857,-2.0089,3.70456,-5,NA,NA,NA,NA,-34.374,NA
6039,-2.63016,5,-5,NA,NA,NA,NA,-92.185,NA
