id,x0,x1,x2,fitness-2.5
180,2.56385,0.178897,-4.51321,-117.863
205,2.56385,1.44534,-4.51321,-20.756
246,2.56385,1.7946,-4.51321,-19.189
256,2.56385,1.7946,-4.34961,-18.482
271,2.56385,1.7078,-4.34961,-18.189
311,1.68403,1.7078,-4.34961,-0.763
381,1.68403,1.66173,-4.34961,-0.489
394,1.81347,1.66173,-4.34961,-0.394
416,1.81347,1.65027,-4.34961,-0.346
511,1.81347,1.65027,-4.34961,-0.275
536,1.81347,1.65027,-4.31836,-0.221
551,1.81347,1.58356,-4.31836,-0.128
620,1.80869,1.58356,-4.31836,-0.11
663,1.80869,1.59464,-4.31836,-0.105
736,1.80869,1.59464,-4.31836,-0.095
813,1.76392,1.59464,-4.31836,-0.006
1134,1.76392,1.59464,-4.31836,-0.005
1197,1.76392,1.59557,-4.31836,-0.005
1471,1.76392,1.59557,-4.31836,-0.004
2297,1.76392,1.59557,-4.30732,-0.001
2677,1.76392,1.59582,-4.30732,-0.001
3429,1.75202,1.59582,-4.30732,-0.001
3921,1.76338,1.59582,-4.30732,-0.001
4219,1.75825,1.59582,-4.30732,0
4422,1.75825,1.59582,-4.30898,0
8057,1.64958,1.59582,-4.30898,-0.421
