id,x0,x1,x2,fitness-2.5,fitness-4,fitness-4.5
171,-4.35161,3.41359,-2.69891,-401.135,NA,NA
212,-4.35161,3.41359,-3.67675,-293.32,NA,NA
219,-4.35161,3.41359,-3.67675,NA,-218.031,NA
229,-4.35161,3.41359,-3.67675,NA,-216.237,NA
275,-3.68212,3.41359,-3.67675,NA,-159.798,NA
289,-2.27727,3.41359,-3.67675,NA,-118.994,NA
302,-2.27727,3.41359,-4.31469,NA,-68.817,NA
339,-2.27727,3.41359,-4.94881,NA,-58.336,NA
366,-1.31746,3.41359,-4.94881,NA,-23.849,NA
413,-1.31746,3.82742,-4.94881,NA,-16.521,NA
431,-1.68372,3.82742,-4.94881,NA,-13.238,NA
502,-1.68372,3.82742,-4.94881,NA,NA,-9.006
558,-1.68372,3.82742,-4.94881,NA,NA,-4.741
666,-1.54902,3.82742,-4.94881,NA,NA,-4.427
705,-1.54902,3.82742,-4.7917,NA,NA,-4.04
778,-1.54902,3.66303,-4.7917,NA,NA,-1.256
787,-1.54902,3.66303,-4.79741,NA,NA,-1.155
898,-1.54902,3.66303,-4.80335,NA,NA,-1.06
953,-1.54902,3.66303,-4.8655,NA,NA,-0.645
1009,-1.54902,3.67715,-4.8655,NA,NA,-0.624
1211,-1.49588,3.67715,-4.8655,NA,NA,-0.044
1568,-1.49588,3.67715,-4.86423,NA,NA,-0.042
1790,-1.49588,3.67715,-4.8572,NA,NA,-0.037
2142,-1.49149,3.67715,-4.8572,NA,NA,-0.02
2454,-1.49149,3.67715,-4.8578,NA,NA,-0.02
2563,-1.47755,3.67715,-4.8578,NA,NA,-0.006
3498,-1.48289,3.67715,-4.8578,NA,NA,-0.004
4205,-1.48289,3.67688,-4.8578,NA,NA,-0.003
5076,-1.48289,3.67688,-4.8578,NA,NA,-0.002
5261,-1.48289,3.67497,-4.8578,NA,NA,-0.001
6594,-1.48289,3.67497,-4.85814,NA,NA,-0.001
6814,-1.48289,3.67497,-4.859,NA,NA,-0.001
8090,-1.48289,3.67497,-4.859,NA,NA,-16.217
