id,x0,x1,x2,fitness-3,fitness-2,fitness-2.5
71,2.53921,0.970639,-4.56544,-43.806,NA,NA
239,2.53921,1.57487,-4.56544,-27.705,NA,NA
251,1.66265,1.57487,-4.56544,-14.809,NA,NA
288,1.66265,1.57487,-4.56544,-6.476,NA,NA
332,1.66265,1.57559,-4.56544,-6.468,NA,NA
349,1.66265,1.57559,-4.56544,NA,-5.082,NA
381,1.66265,1.57559,-4.56544,NA,NA,-2.661
429,1.66265,1.57559,-4.26511,NA,NA,-0.42
462,1.82796,1.57559,-4.26511,NA,NA,-0.259
498,1.82796,1.57559,-4.32759,NA,NA,-0.205
604,1.82219,1.57559,-4.32759,NA,NA,-0.178
770,1.71696,1.57559,-4.32759,NA,NA,-0.093
1002,1.79372,1.57559,-4.32759,NA,NA,-0.077
1101,1.79372,1.59455,-4.32759,NA,NA,-0.062
1138,1.7344,1.59455,-4.32759,NA,NA,-0.036
1269,1.73571,1.59455,-4.32759,NA,NA,-0.034
1383,1.74041,1.59455,-4.32759,NA,NA,-0.027
1432,1.74041,1.59455,-4.29751,NA,NA,-0.019
1473,1.74447,1.59455,-4.29751,NA,NA,-0.015
1671,1.76345,1.59455,-4.29751,NA,NA,-0.01
1880,1.76345,1.59455,-4.29751,NA,NA,-0.008
2098,1.76345,1.59455,-4.31515,NA,NA,-0.004
2257,1.76345,1.59455,-4.30389,NA,NA,-0.004
2358,1.76345,1.59455,-4.30389,NA,NA,-0.003
2683,1.76208,1.59455,-4.30389,NA,NA,-0.003
2824,1.76208,1.59553,-4.30389,NA,NA,-0.003
3860,1.76208,1.59553,-4.30879,NA,NA,-0.002
5718,1.76208,1.59553,-4.30879,NA,NA,-0.001
7506,1.76208,1.59553,-4.30879,NA,NA,-0.001
8101,1.75657,1.59553,-4.30879,NA,NA,0
8256,1.75657,1.59553,-4.30879,NA,NA,-0.074
