id,x0,x1,x2,fitness-4.5,fitness-5,fitness-4,fitness-3.5,fitness-3
163,-3.00881,1.62739,-3.57863,-240.84,NA,NA,NA,NA
249,-4.04971,2.65574,-4.66287,-178.68,NA,NA,NA,NA
425,-2.83,3.20924,-4.34027,-88.099,NA,NA,NA,NA
672,-2.56638,3.82188,-4.73141,NA,-53.911,NA,NA,NA
891,-2.52554,3.35615,-3.84432,NA,NA,-99.113,NA,NA
1031,-2.54667,3.59766,-4.75276,-58.55,NA,NA,NA,NA
1263,-1.40793,3.89447,-4.96217,NA,NA,-22.547,NA,NA
1569,-1.38893,4.73228,-3.29915,-110.269,NA,NA,NA,NA
1692,-1.62753,4.90559,-4.8597,NA,-74.503,NA,NA,NA
1812,-2.19048,3.75554,-4.72283,-38.968,NA,NA,NA,NA
2066,-2.23259,3.85163,-4.74303,-36.396,NA,NA,NA,NA
2229,-1.54619,4.18992,-4.69477,NA,-48.177,NA,NA,NA
2435,-1.38272,4.34588,-3.85259,NA,NA,-78.735,NA,NA
2708,-1.84619,4.86862,-3.90479,NA,NA,-98.3,NA,NA
2949,-1.75095,4.88636,-4.56042,NA,-72.794,NA,NA,NA
3192,-1.99717,3.77694,-4.95953,NA,-29.325,NA,NA,NA
3393,-2.2173,3.85447,-4.2916,NA,NA,-65.28,NA,NA
3546,-2.50484,4.07587,-4.62132,NA,NA,-58.939,NA,NA
3756,-2.07526,3.47824,-4.75408,NA,NA,-46.285,NA,NA
3893,-2.85283,3.80127,-4.51759,NA,NA,-82.019,NA,NA
4004,-1.7944,4.93389,-4.21901,NA,-83.959,NA,NA,NA
4281,-2.07728,4.3194,-4.98457,-35.967,NA,NA,NA,NA
4545,-1.56299,4.04524,-4.91816,NA,NA,-16.79,NA,NA
4701,-0.776861,3.98978,-4.5857,-89.824,NA,NA,NA,NA
4951,-0.731392,4.15761,-4.79665,-56.448,NA,NA,NA,NA
5071,-1.59997,4.6393,-4.90601,NA,NA,-59.34,NA,NA
5307,-2.03713,3.44564,-4.53193,-47.41,NA,NA,NA,NA
5506,-1.49412,4.25117,-4.3815,-60.473,NA,NA,NA,NA
5777,-2.98596,4.87727,-4.60137,-95.12,NA,NA,NA,NA
5867,-3.82632,4.4144,-4.34116,NA,NA,-143.946,NA,NA
6105,-3.24531,4.04823,-4.7696,-88.005,NA,NA,NA,NA
6380,-2.68241,4.77029,-3.36908,NA,-138.287,NA,NA,NA
6581,-1.22542,4.68538,-4.23242,NA,-92.212,NA,NA,NA
6612,-1.95008,4.20481,-4.90893,NA,-60.561,NA,NA,NA
6939,-1.46889,4.05241,-4.65675,NA,NA,-53.803,NA,NA
7161,-1.57149,3.39888,-4.90245,NA,NA,-23.11,NA,NA
7371,-1.38402,3.87992,-4.87727,NA,NA,-21.33,NA,NA
7591,-1.81577,4.61131,-4.87303,NA,NA,-53.36,NA,NA
7644,-1.9146,3.39752,-4.97151,NA,NA,-42.341,NA,NA
7896,-1.88216,3.72501,-4.56416,-33.723,NA,NA,NA,NA
8042,-1.2421,4.19124,-4.86418,-33.948,NA,NA,NA,NA
8259,-1.30601,3.07907,-4.78123,NA,-68.684,NA,NA,NA
8434,-2.03226,3.30688,-4.80595,-50.56,NA,NA,NA,NA
8733,-1.52888,3.60392,-4.73566,-3.322,NA,NA,NA,NA
8997,-1.67557,3.45734,-4.64319,NA,NA,-40.791,NA,NA
9089,-2.04536,4.62744,-4.45739,-64.177,NA,NA,NA,NA
9366,-2.29281,4.32005,-4.17075,-66.043,NA,NA,NA,NA
9416,-2.16485,3.00346,-4.79422,NA,-73.975,NA,NA,NA
9655,-1.8816,3.00013,-4.76116,NA,-67.062,NA,NA,NA
9909,-2.85361,4.16169,-4.51767,-70.844,NA,NA,NA,NA
10188,-1.99744,4.77631,-4.98607,NA,NA,-61.918,NA,NA
10262,-1.78634,3.22571,-4.78081,-42.378,NA,NA,NA,NA
10466,-2.37162,3.28315,-4.4534,-54.615,NA,NA,NA,NA
