id,x0,x1,x2,fitness2,fitness0.5,fitness1
114,7.35206,4.04125,2.18664,0.969,NA,NA
213,7.91962,4.04125,2.18664,0.987,NA,NA
251,7.70022,4.04125,2.18664,0.996,NA,NA
487,7.70022,4.04125,4.10227,0.996,NA,NA
724,7.70022,4.06113,4.10227,0.998,NA,NA
774,7.70022,4.06113,4.11156,0.998,NA,NA
893,7.70022,1.16807,4.11156,1,NA,NA
954,7.70022,1.16807,4.11156,1,NA,NA
1133,7.70022,0.62472,4.11156,1,NA,NA
1970,7.70022,0.62472,4.11156,NA,1,NA
2472,7.70022,0.62472,4.11156,NA,1,NA
2657,7.70746,0.62472,4.11156,NA,1,NA
5943,7.70575,0.62472,4.11156,NA,1,NA
7974,7.70575,0.62472,4.11156,NA,NA,0.893
