id,x0,x1,x2,fitness-2.5
159,2.05243,1.44891,-4.87023,-14.348
226,2.05243,1.44891,-4.42391,-5.675
231,1.96098,1.44891,-4.42391,-4.199
266,1.96098,1.44891,-4.42391,-2.836
297,1.74543,1.44891,-4.42391,-1.503
329,1.74543,1.71361,-4.42391,-1.053
391,1.74543,1.71361,-4.35987,-0.695
412,1.74543,1.59311,-4.35987,-0.241
490,1.74543,1.59311,-4.35987,-0.103
554,1.74543,1.59311,-4.32107,-0.016
653,1.74543,1.59311,-4.32107,-0.015
1125,1.74543,1.59311,-4.32107,-0.015
1354,1.75031,1.59311,-4.32107,-0.012
1567,1.75031,1.59311,-4.31252,-0.007
1646,1.75031,1.59311,-4.31252,-0.003
2104,1.76023,1.59311,-4.31252,-0.002
2263,1.76023,1.59618,-4.31252,-0.001
2870,1.75739,1.59618,-4.31252,-0.001
3256,1.75739,1.59618,-4.31252,-0.001
3639,1.75739,1.59618,-4.30915,0
6149,1.75739,1.59618,-4.30915,0
8120,1.75739,1.59618,-4.94227,-12.429
