id,x0,x1,x2,fitness7,fitness6.5,fitness7.5,fitness8.5,fitness8,fitness9,fitness9.5,fitness5.5,fitness5,fitness4.5,fitness3,fitness4,fitness6,fitness10,fitness3.5
107,9.13241,8.65921,8.57593,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,7.09975,7.80747,7.26859,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,7.99748,7.52657,7.54091,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,8.99459,8.31149,7.52472,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,9.03523,8.1076,7.2823,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,8.95833,7.12149,7.31522,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1234,9.37563,8.77067,7.50548,NA,NA,NA,NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1455,8.92503,7.79666,8.11845,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1759,7.96411,7.52585,7.81053,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,7.091,7.33995,6.54175,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6.19843,7.85269,6.97817,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2368,7.78492,7.81411,6.214,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2521,8.02512,6.7008,6.54574,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2616,8.2054,7.49076,7.43309,NA,NA,NA,NA,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2968,7.88467,6.84438,6.70597,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3076,6.44406,8.10453,7.39609,NA,NA,NA,NA,NA,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,7.71451,8.4613,8.26781,NA,NA,NA,NA,NA,0.558,NA,NA,NA,NA,NA,NA,NA,NA,NA
3484,7.37887,7.85315,8.66212,NA,NA,NA,NA,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3642,7.14063,7.87432,7.50731,NA,NA,NA,NA,NA,0.719,NA,NA,NA,NA,NA,NA,NA,NA,NA
3831,7.62764,8.34911,8.39592,NA,NA,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA
