id,x0,x1,x2,fitness4.5,fitness5,fitness4
101,4.40399,4.91715,-0.186479,3551.673,NA,NA
219,4.40399,4.91715,-0.186479,NA,5660.597,NA
272,4.19615,4.91715,-0.186479,NA,7303.62,NA
340,4.20565,4.91715,-0.186479,NA,7498.58,NA
362,4.25243,4.91715,-0.186479,NA,8122.433,NA
412,4.25243,4.91715,-1.54919,NA,10098.68,NA
457,4.25243,4.91715,-1.37661,NA,11924.025,NA
485,4.25243,4.85057,-1.37661,NA,12464.029,NA
545,4.25243,4.85057,-1.39117,NA,12658.546,NA
622,4.25243,4.85246,-1.39117,NA,12662.443,NA
688,4.25243,4.85246,-1.43669,NA,12827.404,NA
736,4.27597,4.85246,-1.43669,NA,12957.575,NA
824,4.27597,4.85246,-1.42543,NA,12979.132,NA
856,4.27597,4.85534,-1.42543,NA,12983.004,NA
936,4.27597,4.85534,-1.42543,NA,13105.638,NA
1043,4.27597,4.85534,-1.42543,NA,13141.695,NA
2790,4.27597,4.85534,-1.42543,NA,13147.87,NA
2932,4.27597,4.85787,-1.42543,NA,13149.075,NA
3380,4.27597,4.85787,-1.42543,NA,13152.494,NA
4213,4.27597,4.85787,-1.42543,NA,13154.473,NA
4326,5,4.85787,-0.756414,NA,22680.087,NA
4343,5,4.85787,-0.80128,NA,23203.483,NA
4352,4.77626,4.85787,-0.80128,NA,28452.627,NA
4493,4.86068,4.85787,-0.80128,NA,30929.144,NA
5433,4.86068,4.85789,-0.80128,NA,30929.147,NA
5481,4.85974,4.85789,-0.80128,NA,30930.711,NA
5593,4.85974,4.85789,-0.80128,NA,30931.812,NA
5859,4.85778,4.85789,-0.80128,NA,30932.877,NA
6296,4.85778,4.85811,-0.80128,NA,30932.886,NA
7942,4.85778,4.85811,-0.80128,NA,NA,8008.27
