id,x0,x1,x2,fitness-4.5,fitness-3.5,fitness-5,fitness-4,fitness-3
188,-3.54333,3.49084,-2.26394,-274.95,NA,NA,NA,NA
347,-2.99037,3.57254,-2.2213,-257.24,NA,NA,NA,NA
468,-2.38203,4.61368,-2.88835,NA,-200.357,NA,NA,NA
800,-2.05149,4.78186,-3.41954,-115.981,NA,NA,NA,NA
977,-1.42797,3.74878,-4.99389,NA,NA,-27.829,NA,NA
1087,-1.70637,3.76876,-4.59123,NA,NA,-39.522,NA,NA
1331,-1.53462,3.95671,-4.03043,NA,NA,-75.048,NA,NA
1453,-1.81196,4.35709,-4.74334,NA,NA,-44.857,NA,NA
1750,-2.35901,3.3774,-4.8877,NA,NA,NA,-51.589,NA
1956,-2.35926,4.19495,-4.58607,-54.097,NA,NA,NA,NA
2071,-2.41594,4.40208,-4.60435,-61.354,NA,NA,NA,NA
2263,-0.87799,3.70303,-4.82469,-67.959,NA,NA,NA,NA
2405,-1.69417,4.67174,-4.63307,NA,NA,NA,-57.71,NA
2695,-1.73759,4.87161,-4.96144,NA,NA,-77.669,NA,NA
2918,-2.28298,4.01959,-4.77087,NA,NA,-51.801,NA,NA
3159,-2.56289,4.04018,-3.90321,NA,NA,NA,-97.035,NA
3282,-2.34367,3.46833,-4.48002,-48.536,NA,NA,NA,NA
3597,-2.72174,4.51256,-4.73993,NA,NA,-73.781,NA,NA
3746,-1.80123,4.99533,-4.37626,NA,NA,-84.066,NA,NA
3869,-1.42006,4.71146,-4.48715,-74.314,NA,NA,NA,NA
4031,-1.06234,3.70839,-4.39851,NA,NA,-59.274,NA,NA
4249,-0.962322,4.86116,-4.57111,NA,NA,-101.639,NA,NA
4450,-1.70498,4.15704,-4.78617,-35.023,NA,NA,NA,NA
4707,-1.76541,4.23794,-4.75206,NA,NA,NA,-41.949,NA
4895,-1.42675,4.43832,-4.45594,NA,NA,NA,-66.005,NA
5071,-2.3193,4.64343,-4.82402,-57.814,NA,NA,NA,NA
5400,-2.16411,3.81154,-4.64676,NA,NA,-48.451,NA,NA
5445,-2.95144,3.90048,-4.33059,NA,NA,-72.771,NA,NA
5630,-2.36242,3.97821,-4.80347,NA,NA,NA,-64.679,NA
5831,-1.33339,3.69754,-4.82885,-20.497,NA,NA,NA,NA
6008,-1.81038,3.73451,-4.90676,-16.461,NA,NA,NA,NA
6301,-2.65632,3.94795,-4.88092,NA,NA,NA,-60.956,NA
6589,-2.16361,4.61548,-4.91165,-58.401,NA,NA,NA,NA
6646,-2.30321,4.50932,-4.89123,-54.157,NA,NA,NA,NA
6811,-1.67193,4.7054,-4.63428,-62.3,NA,NA,NA,NA
7101,-1.33585,4.36066,-4.88299,-31.182,NA,NA,NA,NA
7399,-1.93532,3.54729,-4.20529,-59.59,NA,NA,NA,NA
7529,-1.76927,4.11992,-4.60696,NA,NA,NA,-32.103,NA
7640,-1.49175,4.44257,-4.673,-52.904,NA,NA,NA,NA
7938,-1.75954,3.09288,-4.63018,NA,NA,NA,-56.215,NA
8193,-1.71878,3.5275,-4.80742,-15.262,NA,NA,NA,NA
8350,-2.01235,3.91981,-4.71163,NA,NA,-37.182,NA,NA
8533,-1.72052,4.24885,-3.96662,NA,NA,-71.417,NA,NA
8653,-1.59688,3.63793,-4.43308,NA,NA,NA,-28.092,NA
8945,-1.74674,3.68348,-4.72207,NA,NA,NA,-17.316,NA
9018,-2.48776,3.68345,-4.85532,-54.089,NA,NA,NA,NA
9214,-1.53555,4.63172,-4.74418,NA,NA,-61.687,NA,NA
9533,-1.1059,3.62306,-4.45086,NA,NA,NA,-56.403,NA
9734,-2.08852,3.16666,-4.74992,NA,-93.402,NA,NA,NA
9959,-1.87888,3.27168,-4.64909,NA,NA,-51.299,NA,NA
10137,-1.09813,4.14141,-4.93988,NA,NA,-46.581,NA,NA
10313,-1.32823,3.44075,-4.511,NA,-64.851,NA,NA,NA
10522,-1.87251,3.35233,-4.56615,NA,NA,-52.094,NA,NA
10709,-1.60393,3.58866,-4.01924,NA,NA,-78.154,NA,NA
10901,-3.06831,4.6389,-4.52623,-92.583,NA,NA,NA,NA
11020,-3.50224,4.21875,-4.96432,-110.522,NA,NA,NA,NA
11229,-1.12567,3.60695,-4.96603,-34.972,NA,NA,NA,NA
11581,-1.78129,3.12435,-4.61976,-54.069,NA,NA,NA,NA
11695,-1.45187,3.37563,-4.07749,NA,NA,NA,-94.711,NA
11932,-1.10766,3.93793,-4.11645,NA,NA,-83.203,NA,NA
12076,-1.33983,4.46737,-4.47762,-64.872,NA,NA,NA,NA
12301,-1.67824,3.57664,-4.79325,-11.897,NA,NA,NA,NA
12537,-1.77942,3.92991,-4.87138,NA,NA,NA,-26.373,NA
12790,-2.57329,4.67334,-4.47059,-67.649,NA,NA,NA,NA
12943,-1.67929,3.7282,-4.44029,NA,NA,NA,-32.699,NA
13006,-1.53775,3.97179,-4.83421,-13.272,NA,NA,NA,NA
13361,-1.37611,4.2439,-4.58895,NA,NA,NA,-44.447,NA
13481,-1.18195,4.00795,-4.48259,-48.169,NA,NA,NA,NA
13717,-1.48229,3.50364,-4.83062,-6.464,NA,NA,NA,NA
13943,-1.05703,3.36274,-4.9649,NA,NA,-44.194,NA,NA
14030,-1.75234,4.74789,-4.26815,NA,NA,NA,-89.165,NA
14382,-1.39342,4.34954,-4.95072,NA,NA,NA,-35.734,NA
14550,-1.82933,4.28753,-4.59706,NA,NA,-48.77,NA,NA
14800,-2.50526,4.47388,-4.30096,-72.704,NA,NA,NA,NA
14944,-2.23616,4.84011,-4.83673,-69.445,NA,NA,NA,NA
15146,-2.6696,4.11831,-4.80325,NA,NA,NA,-61.888,NA
15387,-1.51768,3.46165,-4.27489,-55.462,NA,NA,NA,NA
15449,-1.78578,3.24114,-4.65813,NA,NA,NA,-58.605,NA
15759,-1.99799,3.71551,-4.31687,NA,NA,NA,-73.919,NA
15829,-2.58517,4.49583,-4.58009,-67.392,NA,NA,NA,NA
16108,-1.99157,4.32314,-4.37746,NA,NA,NA,-58.83,NA
16207,-2.01681,3.72034,-4.79899,-34.274,NA,NA,NA,NA
16553,-1.71543,3.88223,-4.56415,NA,NA,NA,-34.389,NA
16771,-1.5079,3.96527,-4.19982,NA,NA,NA,-58.055,NA
16899,-2.36813,4.40383,-4.77735,NA,NA,NA,-63.917,NA
17036,-1.42514,3.40786,-4.79985,-33.877,NA,NA,NA,NA
17369,-1.38724,4.32792,-4.41978,NA,NA,-46.472,NA,NA
17503,-1.74962,4.58705,-4.50746,NA,NA,NA,-66.696,NA
17606,-2.15793,4.85115,-4.87423,-69.924,NA,NA,NA,NA
17936,-2.14421,3.94526,-4.32626,NA,NA,-61.022,NA,NA
