id,x0,x1,x2,fitness-4.5,fitness-5,fitness-4,fitness-3.5
55,-3.51263,4.84619,-3.16962,-193.535,NA,NA,NA
356,-3.03782,3.96643,-4.34077,NA,-83.152,NA,NA
500,-2.43358,3.98882,-5,NA,-59.279,NA,NA
704,-2.55835,4.06993,-5,NA,-63.327,NA,NA
954,-2.29326,4.10021,-5,-50.847,NA,NA,NA
1090,-1.33706,3.48068,-5,-10.582,NA,NA,NA
1226,-1.58798,3.78845,-4.99444,NA,NA,-8.082,NA
1548,-1.46407,3.65336,-4.485,-24.542,NA,NA,NA
1665,-1.97448,3.94592,-5,NA,NA,NA,-43.063
1819,-1.33636,4.08539,-4.42367,NA,NA,-63.585,NA
2041,-1.59042,3.54287,-5,NA,NA,-21.376,NA
2326,-1.04094,3.3602,-4.85587,NA,-37.531,NA,NA
2480,-1.79919,3.61803,-5,NA,-45.2,NA,NA
2676,-1.82045,3.92608,-5,NA,NA,-32.804,NA
2806,-1.50695,3.97998,-5,-13.92,NA,NA,NA
3093,-2.33262,3.6548,-4.85902,-47.31,NA,NA,NA
3255,-2.34927,4.68518,-4.21475,NA,NA,-71.238,NA
3578,-1.88083,3.95961,-5,NA,-42.658,NA,NA
3764,-1.95301,3.61158,-4.60726,NA,-50.058,NA,NA
3913,-1.69974,3.31384,-4.81022,NA,-31.138,NA,NA
4080,-1.97191,3.28378,-5,-30.021,NA,NA,NA
4213,-2.17747,3.62208,-5,NA,NA,-38.938,NA
4497,-1.78253,4.17521,-4.85177,NA,-37.11,NA,NA
4703,-2.33063,3.4979,-5,NA,-50.623,NA,NA
4976,-1.97936,4.32076,-5,-32.41,NA,NA,NA
5137,-1.75478,4.36824,-5,-43.139,NA,NA,NA
5333,-2.00698,4.20038,-5,NA,-60.585,NA,NA
5464,-1.14041,4.25505,-5,NA,-51.913,NA,NA
5660,-1.71872,3.63074,-5,-12.65,NA,NA,NA
5893,-1.73371,3.32002,-5,NA,NA,-34.372,NA
6133,-1.39364,4.05437,-5,-25.642,NA,NA,NA
6221,-1.14494,3.70675,-5,-17.01,NA,NA,NA
6596,-1.57595,3.88935,-5,NA,NA,-27.693,NA
6633,-1.54914,3.96887,-5,NA,NA,-14.243,NA
6912,-2.52674,3.76972,-5,-56.621,NA,NA,NA
7198,-1.89276,4.47681,-5,NA,-57.064,NA,NA
7238,-1.61226,4.35454,-4.94925,NA,-44.548,NA,NA
7583,-1.71731,5,-5,NA,-72.18,NA,NA
7787,-2.21249,3.52727,-5,-44.647,NA,NA,NA
7945,-2.2296,3.99028,-5,NA,-52.316,NA,NA
8108,-1.54531,4.22345,-5,NA,-39.536,NA,NA
8259,-1.68749,4.08575,-4.61507,NA,-43.297,NA,NA
8479,-1.82645,3.81877,-5,NA,-46.051,NA,NA
8776,-2.43747,3.70541,-5,NA,NA,NA,-78.427
8942,-2.54617,3.62197,-5,NA,NA,-60.549,NA
9101,-1.49015,4.25907,-5,-30.469,NA,NA,NA
9333,-1.75408,4.62197,-5,-59.369,NA,NA,NA
9535,-1.40213,3.42451,-4.84448,NA,NA,-14.483,NA
9735,-1.0987,3.8729,-4.53105,-50.037,NA,NA,NA
9824,-1.96032,3.84003,-5,NA,-31.488,NA,NA
10110,-1.164,3.53132,-4.96219,NA,-56.285,NA,NA
10313,-2.39954,4.15113,-5,NA,-52.579,NA,NA
10472,-1.69781,4.47351,-5,NA,-56.366,NA,NA
10789,-1.58408,3.81293,-4.71463,-5.482,NA,NA,NA
10987,-1.19698,4.20903,-5,NA,NA,-62.41,NA
11028,-1.26126,4.01924,-5,-30.764,NA,NA,NA
11337,-1.68571,4.35926,-5,NA,-43.233,NA,NA
11521,-1.36364,3.82451,-5,NA,-31.765,NA,NA
11626,-2.24668,3.92009,-5,-40.738,NA,NA,NA
11851,-1.75533,3.68683,-5,-27.582,NA,NA,NA
12065,-2.1668,4.05765,-5,NA,-44.462,NA,NA
12373,-2.8074,3.59018,-5,-68.814,NA,NA,NA
12550,-2.15752,4.60906,-5,NA,-62.349,NA,NA
12757,-1.76739,3.22678,-4.99808,NA,-52.904,NA,NA
12908,-2.00564,3.95504,-5,NA,-39.832,NA,NA
13043,-1.88582,4.32846,-5,-41.261,NA,NA,NA
13337,-2.01285,3.80818,-4.50634,NA,NA,-39.556,NA
13551,-1.80512,3.68055,-4.56449,-21.226,NA,NA,NA
13656,-1.84055,3.6594,-5,-16.187,NA,NA,NA
13873,-2.76149,3.9182,-5,-64.199,NA,NA,NA
14037,-1.39301,3.80257,-5,NA,-30.84,NA,NA
14361,-1.0583,4.09203,-4.82433,NA,-56.843,NA,NA
14543,-1.32609,3.76952,-4.66587,NA,-41.462,NA,NA
14661,-1.53107,4.41694,-5,-44.723,NA,NA,NA
14812,-1.26056,3.37614,-5,-27.342,NA,NA,NA
15085,-1.82767,3.52767,-5,NA,-44.919,NA,NA
15302,-2.46178,3.13336,-4.68075,-73.48,NA,NA,NA
15588,-1.76067,3.92422,-5,NA,NA,-21.556,NA
15653,-1.5153,3.93669,-5,-12.247,NA,NA,NA
15920,-1.96205,3.27381,-5,NA,NA,-57.095,NA
16171,-1.65802,3.32576,-5,NA,-39.14,NA,NA
16265,-2.07395,3.34236,-5,NA,NA,-40.887,NA
16570,-2.26211,4.02889,-5,NA,-53.597,NA,NA
16608,-1.72966,3.73564,-4.28652,NA,-37.508,NA,NA
16986,-1.30971,4.6879,-5,NA,-61.835,NA,NA
17123,-1.12089,3.49656,-5,NA,-47.294,NA,NA
17357,-2.36393,3.40643,-4.80233,NA,NA,NA,-56.677
17560,-1.7113,4.72567,-5,-46.379,NA,NA,NA
17740,-1.6746,5,-5,NA,-72.576,NA,NA
17881,-1.16329,3.5957,-5,-26.315,NA,NA,NA
18001,-1.57165,3.14931,-4.95357,-41.333,NA,NA,NA
18225,-1.62921,3.60616,-4.62551,NA,-47.53,NA,NA
18529,-1.85438,4.07602,-5,NA,-45.752,NA,NA
18705,-2.03203,4.34316,-5,-41.956,NA,NA,NA
18921,-1.95593,3.80788,-5,NA,-34.585,NA,NA
19010,-2.05152,4.63877,-4.98839,NA,-53.647,NA,NA
19320,-1.52764,3.79329,-5,NA,-40.715,NA,NA
19415,-2.0625,3.5534,-5,NA,-53.729,NA,NA
19632,-1.30407,3.91821,-4.95055,NA,-38.816,NA,NA
19858,-1.76844,3.8079,-5,NA,NA,-10.797,NA
20176,-1.45002,3.64267,-4.56811,-23.941,NA,NA,NA
20381,-1.99319,3.57831,-4.6478,NA,NA,-50.997,NA
20435,-1.96576,3.51429,-4.37392,NA,NA,-55.677,NA
20605,-1.93403,4.12618,-5,NA,NA,-33.496,NA
20884,-1.72512,3.79332,-5,NA,-53.483,NA,NA
21039,-2.09271,4.01912,-4.9686,NA,-47.319,NA,NA
21378,-2.3367,3.38443,-5,NA,-48.284,NA,NA
21529,-2.01658,3.60188,-5,NA,-37.974,NA,NA
21663,-1.72907,3.73797,-4.7371,NA,-55.012,NA,NA
21918,-1.56125,4.12812,-5,-25.014,NA,NA,NA
22001,-2.0313,4.21415,-5,-31.184,NA,NA,NA
22204,-1.67201,4.3104,-4.60934,NA,-51.924,NA,NA
22554,-1.92339,4.67061,-5,NA,-56.56,NA,NA
22753,-2.39026,4.2479,-4.88846,NA,-47.236,NA,NA
22817,-1.79858,4.16251,-5,NA,-37.067,NA,NA
23168,-1.89957,3.72728,-5,NA,-39.78,NA,NA
23330,-2.31855,3.89494,-5,-44.29,NA,NA,NA
23584,-2.64518,4.09788,-5,NA,-66.744,NA,NA
23728,-2.2021,4.00714,-4.21426,NA,-64.662,NA,NA
23843,-2.53671,3.86125,-5,NA,-55.623,NA,NA
24089,-2.46333,4.0278,-4.56081,NA,-61.912,NA,NA
24384,-1.73003,3.85006,-5,-8.279,NA,NA,NA
24509,-1.58794,3.74735,-4.75688,-11.268,NA,NA,NA
24648,-1.30009,3.42564,-5,NA,-64.076,NA,NA
24909,-2.42021,3.77991,-5,NA,NA,-45.16,NA
25180,-1.69108,3.407,-5,-23.813,NA,NA,NA
25324,-1.17776,3.6628,-5,NA,-63.284,NA,NA
25497,-2.04819,3.72156,-4.54407,NA,-55.623,NA,NA
25704,-1.87969,3.53289,-5,NA,NA,-21.874,NA
25954,-2.10486,3.32605,-5,NA,-63.958,NA,NA
26160,-2.40235,3.90316,-5,NA,NA,-44.816,NA
26323,-1.82842,4.21404,-5,NA,-45.745,NA,NA
26402,-1.8008,3.2796,-5,NA,-50.068,NA,NA
26728,-2.31368,3.37667,-4.8263,NA,-39.701,NA,NA
26860,-1.20566,3.59761,-5,NA,-58.538,NA,NA
27123,-1.1597,3.77476,-5,-21.902,NA,NA,NA
27372,-1.90632,3.64771,-5,NA,-42.898,NA,NA
27439,-1.10472,3.92514,-5,-30.945,NA,NA,NA
27740,-1.62979,3.71361,-5,-18.603,NA,NA,NA
27962,-1.65919,3.67396,-4.55182,NA,-46.471,NA,NA
28045,-1.38935,3.82365,-5,NA,-30.911,NA,NA
28348,-1.42323,3.17732,-5,NA,-63.212,NA,NA
28485,-1.59265,3.46315,-5,NA,NA,-22.714,NA
28638,-1.95835,3.28941,-4.95718,NA,NA,-29.569,NA
28951,-1.86221,3.14712,-4.79893,-46.68,NA,NA,NA
29011,-1.57085,3.80675,-4.72285,-11.202,NA,NA,NA
29275,-1.63424,4.52656,-5,-52.946,NA,NA,NA
29492,-1.66522,4.52997,-4.36278,NA,-60.902,NA,NA
29754,-1.99141,3.98549,-4.82632,NA,-39.892,NA,NA
29883,-1.61714,3.68315,-5,NA,-47.639,NA,NA
30165,-1.8035,4.24693,-5,NA,-39.75,NA,NA
30377,-1.54485,3.66621,-4.78252,NA,NA,-13.931,NA
30581,-1.33337,4.20669,-5,-37.923,NA,NA,NA
30734,-1.56399,3.28874,-4.72071,-32.024,NA,NA,NA
30867,-1.36553,3.44886,-5,-9.094,NA,NA,NA
31065,-1.62876,4.10594,-5,NA,-41.536,NA,NA
31384,-2.02211,3.78975,-5,NA,-31.833,NA,NA
31487,-1.38397,3.7771,-5,NA,-29.499,NA,NA
31766,-1.47815,3.83327,-4.48648,-18.549,NA,NA,NA
31867,-1.98371,3.6842,-4.99708,NA,-38.944,NA,NA
32132,-1.93776,3.82813,-4.21115,-39.573,NA,NA,NA
32338,-2.17925,3.69588,-5,-36.396,NA,NA,NA
32566,-1.91223,3.51779,-4.69133,NA,-50.248,NA,NA
32713,-1.80954,3.23907,-5,-39.803,NA,NA,NA
32932,-2.4524,4.17973,-5,-55.892,NA,NA,NA
33093,-1.48754,3.66887,-5,NA,-40.418,NA,NA
33380,-1.74463,4.03978,-5,-27.863,NA,NA,NA
33536,-1.54184,3.87921,-4.93222,NA,NA,-22.302,NA
33670,-1.42805,3.99173,-4.56511,-22.651,NA,NA,NA
33967,-1.77506,4.44224,-5,NA,-53.103,NA,NA
34079,-1.55865,4.55238,-4.91319,-51.458,NA,NA,NA
34202,-1.09256,4.19935,-5,NA,NA,-57.991,NA
34571,-2.00776,4.04655,-4.73504,NA,-48.977,NA,NA
34717,-1.97157,3.85998,-5,NA,-31.3,NA,NA
34817,-1.82879,4.25756,-5,NA,-41.646,NA,NA
35169,-1.21483,3.98111,-4.86507,NA,-57.053,NA,NA
35230,-1.10552,3.30383,-4.90159,NA,-44.898,NA,NA
35453,-1.20253,3.73212,-4.92881,NA,-55.27,NA,NA
35694,-1.50063,4.37872,-5,NA,-61.033,NA,NA
35804,-2.0316,4.36012,-4.30045,NA,-51.144,NA,NA
36180,-1.07676,4.04056,-5,NA,NA,-53.495,NA
36323,-1.66956,3.09013,-5,-42.621,NA,NA,NA
36561,-1.30885,3.4655,-5,-12.592,NA,NA,NA
36694,-1.51482,3.92353,-5,NA,-41.16,NA,NA
36990,-1.51018,3.79963,-4.73534,NA,-31.831,NA,NA
37183,-1.46509,3.2695,-4.63238,NA,NA,-35.613,NA
37339,-2.10428,3.74681,-4.74945,NA,NA,-40.592,NA
37469,-1.48225,4.3626,-4.88991,NA,-66.163,NA,NA
37629,-1.65252,3.89136,-4.62235,-21.676,NA,NA,NA
37899,-1.18795,4.20099,-5,NA,-56.469,NA,NA
38047,-1.69037,4.36619,-5,NA,-43.829,NA,NA
38370,-1.80475,3.32244,-5,NA,NA,-34.127,NA
38471,-1.48553,3.83807,-5,-7.552,NA,NA,NA
38620,-1.08495,4.01906,-5,NA,-68.869,NA,NA
38913,-1.23727,3.60147,-5,NA,-56.136,NA,NA
39141,-2.47884,3.93502,-5,NA,NA,-61.907,NA
39229,-1.49617,4.0453,-5,-17.771,NA,NA,NA
39525,-1.72652,3.4002,-5,-28.011,NA,NA,NA
39756,-1.39642,4.65845,-5,NA,-55.014,NA,NA
39833,-1.81192,3.93582,-5,NA,-46.532,NA,NA
40170,-1.96211,4.67173,-5,NA,-54.183,NA,NA
40240,-2.27166,4.46031,-5,NA,-59.447,NA,NA
40557,-1.77217,3.96432,-5,NA,-45.912,NA,NA
40763,-2.02078,3.84877,-5,NA,-34.6,NA,NA
40836,-2.08989,4.00092,-5,NA,-43.226,NA,NA
41194,-1.02589,3.98777,-5,-53.644,NA,NA,NA
41307,-1.8547,3.53186,-5,NA,-46.912,NA,NA
41598,-1.85186,3.81797,-5,NA,NA,-21.775,NA
41664,-1.74291,4.00956,-5,NA,-46.064,NA,NA
41872,-2.31841,4.70812,-4.58717,-67.865,NA,NA,NA
42098,-1.34742,4.1785,-4.24775,NA,-50.038,NA,NA
42216,-2.4878,4.10458,-5,-53.51,NA,NA,NA
