id,x0,x1,x2,fitness-2.5,fitness-2
56,-1.32781,4.3934,3.77586,-15.936,NA
215,-1.32781,4.3934,3.77586,-12.439,NA
226,-1.32781,4.3934,3.46127,-4.772,NA
235,-1.49061,4.3934,3.46127,-2.514,NA
268,-1.49061,4.3934,3.44123,-2.253,NA
294,-1.52261,4.3934,3.44123,-2.087,NA
310,-1.52261,4.3934,3.44123,NA,-1.142
344,-1.52261,4.3934,3.23606,NA,-0.187
358,-1.52261,4.40339,3.23606,NA,-0.186
405,-1.52261,4.40339,3.2584,NA,-0.107
490,-1.52732,4.40339,3.2584,NA,-0.091
550,-1.56007,4.40339,3.2584,NA,-0.038
634,-1.56007,4.40339,3.2584,NA,-0.035
873,-1.56007,4.40339,3.26841,NA,-0.016
974,-1.56007,4.40339,3.26841,NA,-0.013
1004,-1.56007,4.40339,3.28602,NA,-0.001
5013,-1.56153,4.40339,3.28602,NA,-0.001
5491,-1.56153,4.40305,3.28602,NA,0
5669,-1.56153,4.40084,3.28602,NA,0
7971,-1.56153,5,3.28602,NA,-12.809
