id,x0,x1,x2,fitness-4.5,fitness-4
162,-3.52916,4.72214,-4.35075,-129.683,NA
231,-3.28482,4.72214,-4.35075,-105.907,NA
255,-1.41804,4.72214,-4.35075,-63.245,NA
315,-1.41804,3.54695,-4.35075,-47.372,NA
371,-1.41804,3.54695,-5,-14.252,NA
397,-1.41804,3.54695,-5,-5.627,NA
470,-1.41804,3.54695,-4.79771,-3.398,NA
562,-1.41804,3.64976,-4.79771,-2.043,NA
603,-1.49956,3.64976,-4.79771,-1.193,NA
682,-1.49956,3.64976,-4.79771,-0.726,NA
749,-1.49956,3.64976,-4.83143,-0.261,NA
828,-1.49956,3.67284,-4.83143,-0.172,NA
948,-1.49133,3.67284,-4.83143,-0.139,NA
1003,-1.48635,3.67284,-4.83143,-0.128,NA
1324,-1.48268,3.67284,-4.83143,-0.126,NA
1603,-1.48268,3.67284,-4.87001,-0.023,NA
1934,-1.48268,3.67284,-4.85148,-0.01,NA
2166,-1.48268,3.67284,-4.85994,-0.002,NA
2397,-1.48268,3.67284,-4.85855,-0.002,NA
3965,-1.48268,3.67284,-4.85855,0,NA
7757,-1.48268,3.67355,-4.85855,0,NA
8137,-1.48268,3.67355,-4.85855,NA,-33.921
