id,x0,x1,x2,fitness-1,fitness-2,fitness-2.5,fitness-3
48,1.67949,2.00238,-4.95526,-78.175,NA,NA,NA
212,1.67949,2.00238,-5,-79.641,NA,NA,NA
219,1.67949,2.00238,-5,NA,-19.561,NA,NA
244,1.67949,2.00238,-4.68643,NA,-11.316,NA,NA
281,1.67949,2.00238,-4.28316,NA,-7.823,NA,NA
325,1.67949,1.71474,-4.28316,NA,-3.997,NA,NA
372,1.67949,1.71474,-4.28316,NA,NA,-0.799,NA
444,1.67949,1.58426,-4.28316,NA,NA,-0.346,NA
585,1.73336,1.58426,-4.28316,NA,NA,-0.148,NA
629,1.73336,1.58426,-4.32045,NA,NA,-0.129,NA
752,1.73336,1.58426,-4.32045,NA,NA,-0.058,NA
957,1.73336,1.58426,-4.32045,NA,NA,-0.038,NA
1112,1.73336,1.58426,-4.32027,NA,NA,-0.038,NA
1190,1.74997,1.58426,-4.32027,NA,NA,-0.019,NA
1498,1.74997,1.58426,-4.29934,NA,NA,-0.017,NA
1864,1.74997,1.58426,-4.29934,NA,NA,-0.014,NA
1933,1.74997,1.58426,-4.29934,NA,NA,-0.01,NA
2135,1.75436,1.58426,-4.29934,NA,NA,-0.008,NA
2447,1.75436,1.58426,-4.29994,NA,NA,-0.008,NA
2600,1.75436,1.60114,-4.29994,NA,NA,-0.004,NA
2753,1.75436,1.59204,-4.29994,NA,NA,-0.004,NA
3550,1.75436,1.59204,-4.30783,NA,NA,-0.001,NA
3936,1.76058,1.59204,-4.30783,NA,NA,-0.001,NA
4123,1.76058,1.59602,-4.30783,NA,NA,0,NA
4198,1.76058,1.59575,-4.30783,NA,NA,0,NA
4671,1.75492,1.59575,-4.30783,NA,NA,0,NA
5109,1.75543,1.59575,-4.30783,NA,NA,0,NA
5162,1.75543,1.59575,-4.30783,NA,NA,0,NA
6588,1.75543,1.59575,-4.30817,NA,NA,0,NA
6808,1.75543,1.59575,-4.30903,NA,NA,0,NA
8084,1.75543,1.59575,-4.30903,NA,NA,NA,-4.377
