id,x0,x1,x2,fitness-2.5
139,0.760951,2.34361,-3.78392,-46.792
220,1.49058,2.34361,-3.78392,-23.72
244,1.49058,1.82173,-3.78392,-13.269
271,1.49058,1.82173,-4.10163,-5.715
296,1.49058,1.74694,-4.10163,-5.017
321,1.49058,1.74694,-4.3512,-3.597
323,1.89823,1.74694,-4.3512,-1.665
342,1.89823,1.53458,-4.3512,-1.15
386,1.89823,1.53458,-4.3512,-1.019
419,1.89823,1.57482,-4.3512,-0.886
440,1.72883,1.57482,-4.3512,-0.258
502,1.72883,1.59471,-4.3512,-0.239
525,1.72883,1.59471,-4.3512,-0.13
565,1.72883,1.59471,-4.31471,-0.067
625,1.75249,1.59471,-4.31471,-0.038
643,1.76117,1.59471,-4.31471,-0.037
875,1.76117,1.59471,-4.31471,-0.007
2020,1.76117,1.59471,-4.31471,-0.002
2400,1.76117,1.59471,-4.30759,-0.001
2964,1.76117,1.59513,-4.30759,-0.001
3064,1.75465,1.59513,-4.30759,0
3430,1.75465,1.59513,-4.30759,0
4009,1.75894,1.59513,-4.30759,0
4479,1.75894,1.59513,-4.30759,0
4686,1.75777,1.59513,-4.30759,0
7937,1.75777,0.938297,-4.30759,-21.831
