id,x0,x1,x2,fitness2.5,fitness2,fitness3
66,4.16772,2.4971,7.66154,0.785,NA,NA
207,4.16772,3.72769,7.66154,0.857,NA,NA
238,4.16772,4.16193,7.66154,0.966,NA,NA
260,4.16772,4.16193,7.66154,NA,0.995,NA
291,4.16772,4.16193,7.67357,NA,0.995,NA
354,4.138,4.16193,7.67357,NA,0.997,NA
396,4.138,2.20723,7.67357,NA,0.998,NA
430,4.138,2.20723,7.6791,NA,0.998,NA
475,4.08516,2.20723,7.6791,NA,0.998,NA
556,4.135,2.20723,7.6791,NA,0.998,NA
576,4.135,2.20723,7.72549,NA,0.998,NA
629,4.135,2.20723,7.71929,NA,0.998,NA
710,4.135,2.20723,7.71929,NA,0.999,NA
742,4.09304,2.20723,7.71929,NA,0.999,NA
758,4.09304,2.20723,7.70143,NA,0.999,NA
819,4.09304,2.20723,7.70143,NA,0.999,NA
867,4.09304,2.18567,7.70143,NA,1,NA
900,4.09304,2.18567,7.70247,NA,1,NA
997,4.09784,2.18567,7.70247,NA,1,NA
1098,2.19706,2.18567,7.70247,NA,1,NA
1130,2.19706,1.17067,7.70247,NA,1,NA
1708,2.19546,1.17067,7.70247,NA,1,NA
2177,2.19546,1.17067,7.70315,NA,1,NA
3591,2.19206,1.17067,7.70315,NA,1,NA
4161,0.624119,1.17067,7.70315,NA,1,NA
8139,0.624119,1.17067,7.70315,NA,NA,0.578
