id,x0,x1,x2,fitness4.5,fitness5
126,-1.0308,4.96227,3.89517,1535.614,NA
210,-1.0308,4.96227,4.7328,6852.784,NA
248,-0.782506,4.96227,4.7328,15954.054,NA
292,-0.782506,4.96227,4.7328,NA,16345.827
320,-0.782506,4.96227,4.7328,NA,20809.614
345,-0.782506,4.96227,4.87127,NA,25366.598
388,-0.782506,4.84954,4.87127,NA,29340.412
463,-0.782506,4.84954,4.87127,NA,29831.204
573,-0.782506,4.84954,4.87127,NA,30606.931
692,-0.817497,4.84954,4.87127,NA,30614.492
759,-0.817497,4.84954,4.84885,NA,30649.225
836,-0.817497,4.84954,4.84885,NA,30759.394
936,-0.793843,4.84954,4.84885,NA,30852.035
1824,-0.793843,4.84954,4.85667,NA,30883.873
1963,-0.793843,4.86335,4.85667,NA,30900.957
2030,-0.793843,4.85371,4.85667,NA,30904.503
2106,-0.793843,4.85371,4.85667,NA,30908.735
2797,-0.801023,4.85371,4.85667,NA,30923.897
2865,-0.801023,4.85388,4.85667,NA,30924.455
3678,-0.801023,4.85388,4.85667,NA,30926.135
3807,-0.801023,4.85388,4.85921,NA,30926.364
3889,-0.801023,4.85897,4.85921,NA,30932.769
6969,-0.801023,4.85897,4.85844,NA,30933.226
7969,-0.801023,4.85897,4.85844,NA,23204.551
