id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2.5,fitness-2,fitness-5,fitness-4.5,fitness-4
146,-0.369652,3.01298,-3.25123,-492.577,NA,NA,NA,NA,NA,NA
278,-0.413877,2.81644,-4.12431,NA,-453.283,NA,NA,NA,NA,NA
562,0.209832,3.75121,-5,NA,NA,-599.765,NA,NA,NA,NA
654,-3.25141,3.98818,-5,NA,NA,NA,-240.496,NA,NA,NA
997,-3.89173,3.53055,-2.83251,NA,-285.148,NA,NA,NA,NA,NA
1139,-3.75518,3.083,-2.3952,NA,NA,NA,NA,-282.742,NA,NA
1297,-4.35402,3.06245,-4.55705,NA,NA,NA,NA,-197.37,NA,NA
1484,-4.13793,2.33378,-4.82095,NA,NA,NA,NA,-203.705,NA,NA
1626,-2.76553,2.63238,-4.96858,NA,NA,NA,NA,-113.595,NA,NA
1896,-2.91418,3.05574,-5,NA,NA,NA,NA,-100.119,NA,NA
2033,-2.99738,3.18961,-5,NA,NA,NA,NA,-88.077,NA,NA
2257,-1.76082,2.65334,-5,NA,NA,NA,NA,-100.687,NA,NA
2504,-2.49319,2.95522,-4.24381,NA,NA,NA,NA,-101.318,NA,NA
2674,-1.55534,4.40927,-4.78809,NA,NA,NA,NA,-55.854,NA,NA
2938,-0.834862,4.14728,-4.45574,NA,NA,NA,NA,NA,-108.059,NA
3069,-2.42332,5,-5,NA,NA,NA,NA,NA,NA,-84.096
3334,-3.08419,4.3515,-5,NA,NA,NA,NA,-86.394,NA,NA
3443,-4.02978,5,-3.96462,NA,NA,NA,NA,NA,-192.473,NA
3747,-1.63584,5,-5,NA,NA,NA,NA,NA,NA,-82.563
3856,-2.71631,5,-4.551,NA,NA,NA,NA,-92.588,NA,NA
4067,-3.28138,5,-3.7073,NA,NA,NA,NA,-149.867,NA,NA
4269,-1.12108,5,-4.19786,NA,NA,NA,NA,-121.46,NA,NA
4531,-1.76102,5,-5,NA,NA,NA,NA,NA,NA,-81.447
4642,-2.65231,4.3064,-5,NA,NA,NA,NA,NA,-63.238,NA
4999,-2.72041,5,-5,NA,NA,NA,NA,-91.226,NA,NA
5012,-2.76684,5,-5,NA,NA,NA,NA,NA,NA,-98.076
5322,-3.24454,5,-4.73916,NA,NA,NA,NA,-121.509,NA,NA
5465,-4.88376,5,-4.72191,NA,NA,NA,NA,NA,NA,-273.994
5693,-4.46792,5,-5,NA,NA,NA,NA,-229.084,NA,NA
5876,-2.62253,5,-4.48039,NA,NA,NA,NA,-90.142,NA,NA
6106,-2.72611,4.199,-4.35249,NA,NA,NA,NA,-68.352,NA,NA
6368,-1.80707,4.00068,-5,NA,NA,NA,NA,NA,-20.411,NA
6401,-1.00462,3.71192,-5,NA,NA,NA,NA,NA,-31.663,NA
6717,-0.875053,2.54183,-4.50031,NA,NA,NA,NA,-181.17,NA,NA
6939,-1.84373,2.84288,-5,NA,NA,NA,NA,-92.966,NA,NA
7182,-1.56513,3.80169,-4.06143,NA,NA,NA,NA,-75.804,NA,NA
7346,-1.6455,5,-4.95394,NA,NA,NA,NA,-72.021,NA,NA
7486,-1.54936,3.05647,-5,NA,NA,NA,NA,-78.657,NA,NA
7618,-2.53458,3.78124,-5,NA,NA,NA,NA,-54.207,NA,NA
7891,-1.9232,5,-5,NA,NA,NA,NA,NA,-72.242,NA
8106,-3.12935,5,-5,NA,NA,NA,NA,NA,-105.768,NA
8364,-2.55192,5,-4.31951,NA,NA,NA,NA,-90.763,NA,NA
8556,-1.87252,4.0849,-5,NA,NA,NA,NA,-46.786,NA,NA
8698,-2.46426,4.75641,-5,NA,NA,NA,NA,NA,-67.933,NA
8959,-2.60358,5,-4.9127,NA,NA,NA,NA,NA,-79.516,NA
9195,-1.07855,5,-5,NA,NA,NA,NA,NA,NA,-102.72
9276,-1.67156,4.5722,-5,NA,NA,NA,NA,-68.955,NA,NA
9442,-3.16612,5,-5,NA,NA,NA,NA,NA,NA,-116.542
9705,-1.59366,5,-5,NA,NA,NA,NA,NA,-81.471,NA
9827,-1.80569,5,-5,NA,NA,NA,NA,NA,-74.799,NA
10138,-3.29628,3.97914,-4.46481,NA,NA,NA,NA,-96.857,NA,NA
10260,-3.52256,3.32518,-5,NA,NA,NA,NA,-110.281,NA,NA
10580,-2.53513,4.22798,-4.07001,NA,NA,NA,NA,NA,NA,-84.342
10722,-1.72361,5,-4.56277,-122.597,NA,NA,NA,NA,NA,NA
10920,-2.98047,3.79895,-4.716,-100.875,NA,NA,NA,NA,NA,NA
11002,-3.11496,4.30648,-5,NA,NA,NA,NA,NA,NA,-89.167
11289,-2.07694,3.13271,-5,-96.159,NA,NA,NA,NA,NA,NA
11536,-1.32706,4.24063,-5,NA,NA,NA,NA,NA,NA,-38.318
11720,-2.11395,4.46213,-5,NA,NA,NA,NA,-59.073,NA,NA
11815,-1.52673,4.19925,-4.80436,NA,NA,NA,NA,-52.987,NA,NA
12176,-1.42053,3.93885,-3.91424,NA,NA,NA,NA,-75.52,NA,NA
12212,-2.45228,4.48023,-4.45205,NA,NA,NA,NA,-70.646,NA,NA
12425,-1.05196,2.35232,-5,NA,NA,NA,NA,-150.368,NA,NA
12716,-1.71163,2.3518,-4.10245,NA,NA,NA,NA,-183.831,NA,NA
12805,-1.86176,4.54147,-3.63157,NA,NA,NA,NA,-101.362,NA,NA
13137,-2.25239,4.24269,-4.28623,NA,NA,NA,NA,NA,NA,-97.565
13202,-2.63798,4.69763,-5,-105.722,NA,NA,NA,NA,NA,NA
