id,x0,x1,x2,fitness-2.5
72,-0.0338632,2.29793,-3.21947,-118.249
221,-0.0338632,2.29793,-3.36762,-110.502
246,-0.0338632,2.29793,-4.19835,-86.152
286,2.22451,2.29793,-4.19835,-18.325
338,2.22451,1.42455,-4.19835,-9.512
402,1.7546,1.42455,-4.19835,-3.187
417,1.7546,1.42455,-4.23393,-2.954
502,1.7546,1.42455,-4.23393,-1.356
544,1.7546,1.72591,-4.23393,-0.763
712,1.7546,1.58574,-4.23393,-0.209
810,1.7546,1.58574,-4.35823,-0.094
1004,1.7546,1.58574,-4.32961,-0.023
1160,1.7546,1.58574,-4.31947,-0.012
1489,1.75718,1.58574,-4.31947,-0.011
1557,1.75718,1.58574,-4.31947,-0.008
1665,1.75718,1.59383,-4.31947,-0.004
2158,1.75718,1.59383,-4.31843,-0.003
2298,1.75718,1.59623,-4.31843,-0.003
2393,1.75718,1.59623,-4.30157,-0.002
3369,1.75718,1.59623,-4.31544,-0.002
3939,1.75718,1.59623,-4.31096,0
4737,1.75718,1.59623,-4.30715,0
8094,0.583925,1.59623,-4.30715,-44.536
