id,x0,x1,x2,fitness-4,fitness-2,fitness-1
133,-1.49548,4.76848,4.87034,5181.799,NA,NA
238,-1.41579,4.76848,4.87034,5505.066,NA,NA
264,-1.41579,4.76848,4.87034,NA,11862.308,NA
314,-1.41579,4.94515,4.87034,NA,11864.566,NA
346,-1.41579,4.83449,4.87034,NA,13025.814,NA
402,-1.41579,4.87703,4.87034,NA,13056.752,NA
493,-1.41579,4.87703,4.87034,NA,NA,30182.97
577,-1.41579,4.87703,4.87034,NA,NA,30202.709
683,-1.41579,4.86617,4.87034,NA,NA,30314.707
763,-1.41579,4.86617,4.87034,NA,NA,30816.161
866,-1.42648,4.86617,4.87034,NA,NA,30849.124
959,-1.42462,4.86617,4.87034,NA,NA,30849.728
1231,-1.42462,4.86617,4.85892,NA,NA,30907.84
1434,-1.42462,4.85515,4.85892,NA,NA,30930.052
1739,-1.42545,4.85515,4.85892,NA,NA,30930.112
7952,-1.42545,4.85515,5,NA,NA,23202.431
