id,x0,x1,x2,fitness-4,fitness-5,fitness-3,fitness-2,fitness-1
176,-1.40887,4.95498,-1.50103,4582.829,NA,NA,NA,NA
216,-1.40887,4.95498,-1.50103,NA,5080.102,NA,NA,NA
264,-1.40887,4.91201,-1.50103,NA,5548.503,NA,NA,NA
281,-1.40887,4.86576,-1.50103,NA,5755.422,NA,NA,NA
339,-1.40887,4.86576,-1.50103,NA,NA,7127.922,NA,NA
370,-1.40887,4.86576,-1.50103,NA,NA,NA,12181.51,NA
408,-1.40887,4.86576,-1.50103,NA,NA,NA,NA,27353.496
458,-1.40887,4.86576,-1.44128,NA,NA,NA,NA,29294.867
538,-1.42133,4.86576,-1.44128,NA,NA,NA,NA,29386.957
566,-1.42133,4.86576,-1.44128,NA,NA,NA,NA,30765.841
594,-1.42133,4.86576,-1.42192,NA,NA,NA,NA,30861.82
870,-1.4284,4.86576,-1.42192,NA,NA,NA,NA,30863.266
1186,-1.4284,4.86576,-1.42192,NA,NA,NA,NA,30902.557
2261,-1.42756,4.86576,-1.42192,NA,NA,NA,NA,30904.403
3963,-1.42558,4.86576,-1.42192,NA,NA,NA,NA,30906.603
4022,-1.42558,4.86576,-1.42533,NA,NA,NA,NA,30910.563
4165,-1.42558,4.86245,-1.42533,NA,NA,NA,NA,30926.062
6110,-1.42558,4.85789,-1.42533,NA,NA,NA,NA,30933.512
7779,-1.42558,4.85789,-1.42533,NA,NA,NA,NA,30933.584
8079,-1.42558,4.19547,-1.42533,NA,NA,NA,NA,-13172.912
