id,x0,x1,x2,fitness-3.5,fitness-4,fitness-4.5,fitness-5,fitness-3
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA,NA,NA
243,-3.16512,4.38487,-3.53204,NA,-140.067,NA,NA,NA
542,-2.01425,4.1186,-5,-86.072,NA,NA,NA,NA
755,-2.43416,3.79751,-4.8634,NA,NA,-47.72,NA,NA
842,-3.25423,2.99255,-4.98832,NA,NA,NA,-100.096,NA
1145,-1.66491,3.26236,-5,NA,NA,NA,-45.741,NA
1330,-2.40764,4.20321,-4.00389,NA,NA,NA,-77.201,NA
1472,-2.16745,3.92121,-4.88356,NA,NA,NA,-49.434,NA
1725,-2.25145,4.31898,-5,NA,NA,NA,-50.174,NA
1917,-2.391,5,-4.99656,NA,NA,NA,-79.367,NA
2008,-2.51718,5,-5,NA,NA,-79.419,NA,NA
2347,-2.35104,4.55934,-4.73752,NA,NA,-56.866,NA,NA
2522,-1.73985,3.38438,-4.78369,NA,NA,-29.521,NA,NA
2746,-1.45046,3.717,-5,NA,-16.91,NA,NA,NA
2801,-0.547779,3.68495,-5,NA,NA,NA,-145.362,NA
3166,-1.41227,4.71514,-5,NA,NA,-63.446,NA,NA
3266,-2.42975,5,-5,NA,NA,NA,-81.461,NA
3542,-2.82982,5,-4.90099,NA,NA,NA,-95.574,NA
3711,-2.50996,3.44132,-5,NA,-61.938,NA,NA,NA
3934,-2.98412,3.75719,-5,NA,NA,NA,-86.379,NA
4018,-2.83372,4.63072,-4.95552,NA,NA,NA,-85.149,NA
4262,-2.69911,5,-4.73258,NA,NA,-83.408,NA,NA
4588,-1.7351,4.92512,-4.7941,NA,NA,-70.901,NA,NA
4702,-1.45363,4.31326,-4.96383,NA,NA,-26.923,NA,NA
4803,-1.44717,4.52318,-5,NA,NA,NA,-60.302,NA
5069,-1.48,3.64463,-4.91391,NA,NA,NA,-39.818,NA
5397,-2.05742,3.47855,-5,NA,NA,NA,-62.083,NA
5483,-2.01486,2.96478,-5,NA,NA,NA,-57.322,NA
5640,-1.49526,3.99025,-5,NA,NA,NA,-43.18,NA
5917,-2.2088,4.75766,-5,NA,NA,-60.864,NA,NA
