id,x0,x1,x2,fitness0.5,fitness1,fitness2
53,7.58168,7.67135,1.19132,0.798,NA,NA
221,7.58168,7.67135,1.19132,NA,0.972,NA
246,7.58168,7.67135,1.19132,NA,0.991,NA
288,7.5829,7.67135,1.19132,NA,0.992,NA
320,7.5829,7.67135,2.20859,NA,0.995,NA
401,7.5829,7.67135,1.16819,NA,0.996,NA
453,7.64153,7.67135,1.16819,NA,0.998,NA
518,7.72606,7.67135,1.16819,NA,0.999,NA
539,7.72606,7.70831,1.16819,NA,0.999,NA
572,7.72606,7.70831,1.16819,NA,NA,1
866,7.71537,7.70831,1.16819,NA,NA,1
1739,7.71455,7.70831,1.16819,NA,NA,1
1874,7.71455,7.70831,1.17054,NA,NA,1
2159,7.71001,7.70831,1.17054,NA,NA,1
2611,7.71001,7.70753,1.17054,NA,NA,1
3040,7.71001,7.70753,1.17054,NA,1,NA
3333,7.70966,7.70753,1.17054,NA,1,NA
3587,7.70419,7.70753,1.17054,NA,1,NA
3981,7.70419,7.70543,1.17054,NA,1,NA
4195,7.70813,7.70543,1.17054,NA,1,NA
5812,7.7055,7.70543,1.17054,NA,1,NA
7952,7.7055,7.70543,1.70144,NA,0.544,NA
