id,x0,x1,x2,fitness-3.5,fitness-3,fitness-4,fitness-4.5,fitness-5,fitness-2.5
81,-3.27482,4.41624,-4.89562,-119.567,NA,NA,NA,NA,NA
201,-4.11376,3.31017,-4.56178,NA,-212.716,NA,NA,NA,NA
517,-4.32354,1.43532,-4.77798,NA,NA,-305.711,NA,NA,NA
619,-3.22782,2.86063,-4.37547,NA,NA,-108.175,NA,NA,NA
963,-3.32086,3.57518,-4.78885,NA,NA,-108.49,NA,NA,NA
1130,-3.71047,3.63922,-4.12564,NA,NA,-135.686,NA,NA,NA
1367,-2.71645,3.61142,-4.54621,NA,NA,-76.39,NA,NA,NA
1490,-1.56651,4.88203,-4.39041,NA,NA,-86.023,NA,NA,NA
1799,-2.60307,4.63202,-3.11185,NA,NA,NA,-134.587,NA,NA
1895,-2.60047,4.40598,-4.11839,NA,NA,NA,-83.644,NA,NA
2026,-1.7511,4.22708,-4.88724,NA,NA,NA,NA,-31.35,NA
2273,-2.23023,4.02573,-4.83211,NA,NA,-58.082,NA,NA,NA
2507,-1.72094,4.78497,-3.65119,NA,NA,NA,-89.989,NA,NA
2607,-1.55702,4.18669,-4.7795,NA,NA,-39.505,NA,NA,NA
2949,-0.798685,4.82609,-4.06902,NA,NA,NA,-130.924,NA,NA
3179,-0.451296,4.68235,-4.83147,NA,NA,NA,-73.844,NA,NA
3391,-1.36343,3.41264,-4.81246,NA,NA,NA,-24.205,NA,NA
3531,-1.29028,3.45844,-4.55981,NA,NA,NA,NA,-62.319,NA
3663,-1.77545,3.40373,-4.43887,NA,NA,NA,-48.783,NA,NA
3821,-2.44533,4.87367,-4.33582,NA,NA,NA,-81.952,NA,NA
4090,-2.76849,4.87539,-4.63276,NA,NA,NA,-86.384,NA,NA
4311,-3.27281,4.58458,-4.15458,NA,NA,NA,NA,-113.594,NA
4407,-3.14112,4.37954,-4.50224,NA,NA,-92.783,NA,NA,NA
4731,-2.72347,3.78091,-4.56381,NA,NA,NA,-65.036,NA,NA
4820,-2.74749,3.91674,-3.36482,NA,NA,NA,-116.327,NA,NA
