id,x0,x1,x2,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness-3
166,-0.531342,4.61111,-2.90869,-252.341,NA,NA,NA,NA
320,-0.857108,3.48319,-4.26253,NA,-96.825,NA,NA,NA
414,-2.42275,3.43808,-5,NA,-56.525,NA,NA,NA
737,-1.95943,3.69858,-5,NA,-38.293,NA,NA,NA
801,-1.30556,5,-4.84699,NA,NA,-83.591,NA,NA
1010,-1.78524,5,-4.80767,NA,-72.316,NA,NA,NA
1236,-1.68529,4.98618,-4.43776,NA,NA,-74.708,NA,NA
1578,-3.44716,3.20511,-4.50506,NA,NA,-114.27,NA,NA
1639,-2.7769,3.41572,-5,NA,NA,NA,-99.729,NA
1802,-1.88244,3.73629,-5,NA,NA,-24.009,NA,NA
2001,-2.70676,3.02917,-5,NA,-77.537,NA,NA,NA
2222,-2.50805,2.82741,-4.89161,NA,-87.992,NA,NA,NA
2457,-2.21883,4.4135,-3.82528,NA,-83.656,NA,NA,NA
2692,-2.91739,3.8852,-4.59908,NA,-78.705,NA,NA,NA
2956,-2.55205,4.68449,-4.02457,NA,-91.033,NA,NA,NA
3003,-1.9816,4.65971,-5,NA,-53.358,NA,NA,NA
3253,-2.62422,3.52279,-5,NA,NA,-56.374,NA,NA
3485,-2.2771,4.5235,-5,NA,-64.991,NA,NA,NA
3670,-2.81729,5,-4.21819,NA,NA,-100.398,NA,NA
3814,-1.37303,5,-5,NA,NA,-74.49,NA,NA
4016,-2.2321,5,-4.2686,NA,NA,NA,-113.199,NA
4331,-1.10252,4.22205,-4.24465,-53.035,NA,NA,NA,NA
4507,-3.01673,3.49691,-4.56347,NA,NA,-82.249,NA,NA
4727,-2.83255,3.01142,-3.44159,NA,-139.345,NA,NA,NA
4891,-1.99185,3.31902,-5,NA,-71.899,NA,NA,NA
5199,-2.18498,5,-5,NA,NA,NA,-111.991,NA
5269,-1.63478,4.05902,-5,NA,NA,NA,-65.004,NA
5541,-1.97318,4.00651,-4.47442,NA,NA,-36.695,NA,NA
5706,-2.47272,4.84613,-5,NA,NA,-73.003,NA,NA
5915,-1.33271,3.50361,-5,NA,NA,NA,NA,-133.124
6065,-1.29381,3.48334,-4.34291,NA,-58.72,NA,NA,NA
6257,-1.91065,3.74791,-5,NA,-34.96,NA,NA,NA
6412,-1.65599,4.23186,-5,NA,-37.661,NA,NA,NA
6713,-2.18186,4.88083,-4.71586,NA,NA,-69.459,NA,NA
6897,-1.52861,4.462,-4.07324,NA,-82.628,NA,NA,NA
7111,-1.78387,4.31149,-4.44726,NA,-68.232,NA,NA,NA
7320,-1.80404,5,-5,-80.213,NA,NA,NA,NA
7549,-2.19487,5,-5,NA,-74.721,NA,NA,NA
7614,-0.881025,5,-4.9321,NA,-114.134,NA,NA,NA
7828,-2.31111,4.49003,-4.90772,NA,-62.921,NA,NA,NA
8107,-2.6661,4.89285,-4.61158,NA,NA,-84.486,NA,NA
8351,-2.24046,4.7845,-4.98377,-64.025,NA,NA,NA,NA
8504,-1.86238,4.32166,-4.47243,NA,NA,-49.618,NA,NA
8751,-3.59066,3.94236,-4.8122,NA,NA,-103.575,NA,NA
8916,-1.67398,3.61101,-4.97228,NA,NA,-6.552,NA,NA
9106,-2.07541,4.60835,-5,-63.302,NA,NA,NA,NA
9202,-2.62642,5,-5,NA,NA,-81.046,NA,NA
9588,-2.02145,3.94996,-5,NA,-35.993,NA,NA,NA
9655,-1.96409,4.47098,-4.6594,NA,NA,NA,NA,-109.892
9862,-1.46519,4.36135,-4.16957,-79.574,NA,NA,NA,NA
10055,-3.02467,3.73261,-5,NA,-86.245,NA,NA,NA
10307,-2.117,3.28303,-4.9999,NA,-68.265,NA,NA,NA
10556,-1.86228,3.79531,-5,NA,NA,-18.039,NA,NA
10714,-2.39156,4.30557,-5,NA,-51.825,NA,NA,NA
10942,-2.69165,5,-5,NA,NA,NA,-108.138,NA
11174,-3.19558,4.03772,-4.67827,NA,-90.707,NA,NA,NA
11344,-2.49815,4.82723,-5,NA,-77.106,NA,NA,NA
11562,-1.14822,3.27782,-5,NA,-64.046,NA,NA,NA
11788,-2.62682,3.008,-5,-84.359,NA,NA,NA,NA
11902,-1.18199,4.16911,-5,NA,-55.87,NA,NA,NA
12133,-1.95197,3.19716,-5,NA,-68.519,NA,NA,NA
12332,-1.93597,4.0113,-5,NA,-44.078,NA,NA,NA
12489,-1.71016,4.69,-4.99691,NA,-78.543,NA,NA,NA
12622,-1.60904,3.97723,-5,NA,-46.871,NA,NA,NA
12863,-2.69756,5,-5,-88.185,NA,NA,NA,NA
13140,-1.73748,5,-4.91068,NA,-69.954,NA,NA,NA
13302,-2.69997,3.29911,-5,NA,NA,-70.948,NA,NA
13463,-1.46857,3.73688,-4.5409,-18.863,NA,NA,NA,NA
13753,-2.07155,3.78541,-5,-39.309,NA,NA,NA,NA
13851,-1.9503,4.90797,-4.84254,NA,-71.163,NA,NA,NA
14172,-1.6711,5,-3.81788,NA,-97.114,NA,NA,NA
14314,-1.85161,3.60426,-5,NA,NA,-20.514,NA,NA
14535,-1.30527,4.95455,-5,-106.624,NA,NA,NA,NA
14626,-2.83985,4.07066,-5,NA,-68.761,NA,NA,NA
