id,x0,x1,x2,fitness4.5,fitness5
100,2.34147,4.84555,-1.38687,3155.945,NA
217,3.21019,4.84555,-1.38687,3682.038,NA
235,3.21019,4.84555,-1.38687,NA,5163.335
266,3.21019,4.84555,-1.38687,NA,6581.701
290,4.14843,4.84555,-1.38687,NA,9057.179
314,4.14843,4.84555,-1.38687,NA,9444.609
336,4.32491,4.84555,-1.38687,NA,12272.432
366,4.32491,4.84555,-1.43597,NA,12484.398
447,4.29696,4.84555,-1.43597,NA,12965.675
491,4.28991,4.84555,-1.43597,NA,13025.653
577,4.28991,4.84555,-1.43597,NA,13038.489
646,4.28241,4.84555,-1.43597,NA,13075.546
733,4.28241,4.84555,-1.4343,NA,13080.981
849,4.28241,4.84775,-1.4343,NA,13089.144
962,4.28241,4.84775,-1.4343,NA,13105.841
1153,4.28241,4.84775,-1.42206,NA,13118.032
1179,4.28241,4.84775,-1.42357,NA,13119.177
1509,4.28241,4.84775,-1.42357,NA,13121.937
1610,4.28241,4.86419,-1.42357,NA,13133.12
1734,4.28241,4.86419,-1.42357,NA,13133.683
1853,4.28241,4.86419,-1.42357,NA,13137.778
2178,4.28241,4.86419,-1.42357,NA,13138.576
2305,4.28241,4.85285,-1.42357,NA,13140.317
2604,4.27554,4.85285,-1.42357,NA,13150.297
3100,4.27554,4.85285,-1.42621,NA,13150.504
3324,5,4.85285,-0.759359,NA,22741.037
3359,5,4.85285,-0.761297,NA,22782.906
3404,4.81253,4.85285,-0.761297,NA,29600.073
3512,4.81491,4.85285,-0.761297,NA,29677.729
3590,4.81491,4.85285,-0.808001,NA,30196.199
3716,4.81491,4.85285,-0.802055,NA,30216.235
3874,4.81954,4.85285,-0.802055,NA,30358.316
3912,4.86352,4.85285,-0.802055,NA,30910.696
4458,4.86352,4.8626,-0.802055,NA,30913.166
4522,4.85724,4.8626,-0.802055,NA,30924.447
4538,4.85724,4.8626,-0.799906,NA,30925.485
6097,4.85724,4.85513,-0.799906,NA,30930.159
6200,4.85724,4.8601,-0.799906,NA,30931.851
7822,4.85724,4.8601,-0.800316,NA,30931.914
8053,4.85724,4.8601,-0.548825,NA,11750.494
