id,x0,x1,x2,fitness-3,fitness-2.5,fitness-2,fitness-1.5,fitness-3.5,fitness-4
15,2.6873,0.76948,-3.0848,-103.824,NA,NA,NA,NA,NA
222,1.52392,2.17066,-4.3487,NA,-10.436,NA,NA,NA,NA
450,1.49307,1.21565,-5,NA,-29.1,NA,NA,NA,NA
603,1.31939,1.41633,-5,NA,NA,-27.747,NA,NA,NA
879,1.70704,2.14402,-4.84531,NA,-15.692,NA,NA,NA,NA
1199,1.37499,1.19462,-4.54976,NA,NA,-25.867,NA,NA,NA
1333,2.34284,1.09472,-4.01302,NA,NA,-27.761,NA,NA,NA
1473,1.93676,2.15014,-4.39862,-15.852,NA,NA,NA,NA,NA
1781,1.49953,2.16915,-4.38373,-21.592,NA,NA,NA,NA,NA
1909,1.78653,1.33057,-5,-24.624,NA,NA,NA,NA,NA
2096,1.87277,2.2696,-4.69972,-19.132,NA,NA,NA,NA,NA
2295,1.59633,1.65578,-3.81429,NA,NA,-18.253,NA,NA,NA
2555,1.46035,2.07293,-5,NA,-20.945,NA,NA,NA,NA
2636,1.13049,1.51449,-4.02677,NA,-18.039,NA,NA,NA,NA
2829,2.14339,1.381,-4.36574,NA,-8.342,NA,NA,NA,NA
3117,1.19742,1.06288,-4.29514,NA,-32.463,NA,NA,NA,NA
3356,1.76197,1.73659,-4.02086,NA,-3.401,NA,NA,NA,NA
3577,1.89817,1.56282,-4.20527,NA,-1.094,NA,NA,NA,NA
3736,1.9198,1.39582,-4.33937,-15.091,NA,NA,NA,NA,NA
3878,2.40964,2.31607,-4.52991,NA,-23.225,NA,NA,NA,NA
4077,1.64456,1.8154,-4.39172,NA,NA,-9,NA,NA,NA
4297,1.16726,2.23163,-5,-36.447,NA,NA,NA,NA,NA
4589,1.84182,2.30618,-5,NA,-23.943,NA,NA,NA,NA
4706,1.31449,1.92064,-5,NA,NA,-23.317,NA,NA,NA
4851,1.64668,1.5425,-5,NA,-15.95,NA,NA,NA,NA
5160,1.9912,1.62244,-3.69991,NA,-13.726,NA,NA,NA,NA
5314,2.07714,1.96397,-4.46866,NA,-7.602,NA,NA,NA,NA
5519,1.96798,1.70467,-4.40049,NA,-3.797,NA,NA,NA,NA
5678,2.09531,1.56663,-4.97667,-22.245,NA,NA,NA,NA,NA
5895,2.27767,1.83019,-5,NA,-20.451,NA,NA,NA,NA
6123,2.29322,2.13014,-4.60245,-21.144,NA,NA,NA,NA,NA
6274,1.73198,2.60955,-4.81304,NA,-28.503,NA,NA,NA,NA
6511,1.8152,0.991995,-3.76102,NA,NA,-33.733,NA,NA,NA
6695,2.23215,1.82102,-4.68588,-21.23,NA,NA,NA,NA,NA
6917,1.897,1.36068,-4.22746,NA,-3.114,NA,NA,NA,NA
7169,2.04393,2.43396,-4.51546,NA,-20.484,NA,NA,NA,NA
7210,1.76609,2.1092,-4.92639,NA,NA,-17.744,NA,NA,NA
7446,1.42933,1.92127,-5,NA,-18.982,NA,NA,NA,NA
7627,2.16183,1.24645,-4.25443,-20.115,NA,NA,NA,NA,NA
7888,1.50739,2.50845,-4.27403,-24.182,NA,NA,NA,NA,NA
8010,1.77308,2.10766,-5,NA,-18.825,NA,NA,NA,NA
8279,1.89802,2.02111,-3.84276,NA,NA,-20.399,NA,NA,NA
8558,2.2483,1.40498,-4.97903,NA,NA,-26.309,NA,NA,NA
8635,1.4884,1.78593,-5,NA,-17.807,NA,NA,NA,NA
8885,1.90194,1.3503,-3.659,NA,-18.726,NA,NA,NA,NA
9047,1.1361,2.05167,-5,NA,-28,NA,NA,NA,NA
9274,1.46106,1.90653,-3.78632,NA,NA,-16.303,NA,NA,NA
9591,1.60342,1.76551,-4.25637,NA,NA,-3.892,NA,NA,NA
9684,1.64411,1.62715,-4.64125,NA,-4.347,NA,NA,NA,NA
9933,1.91501,1.1906,-3.85205,-21.704,NA,NA,NA,NA,NA
10171,1.35797,1.13528,-5,-36.141,NA,NA,NA,NA,NA
10257,1.87157,1.83855,-4.86478,NA,NA,-14.315,NA,NA,NA
10468,1.97212,1.65266,-3.80975,NA,NA,-19.923,NA,NA,NA
10660,1.79023,1.90214,-5,NA,NA,-23.045,NA,NA,NA
10951,2.39179,1.97085,-5,NA,-24.581,NA,NA,NA,NA
11026,1.983,1.57732,-4.63614,-19.052,NA,NA,NA,NA,NA
11298,2.75972,2.05089,-4.43182,NA,NA,-30.401,NA,NA,NA
11599,2.46787,1.30068,-5,-36.22,NA,NA,NA,NA,NA
11711,1.78893,2.53817,-5,-35.09,NA,NA,NA,NA,NA
11961,1.26437,1.43629,-4.01284,NA,-15.557,NA,NA,NA,NA
12055,1.98526,1.15829,-3.89014,-23.944,NA,NA,NA,NA,NA
12220,2.05145,1.22949,-4.00319,-14.838,NA,NA,NA,NA,NA
12506,2.07109,1.47044,-4.57825,NA,-7.159,NA,NA,NA,NA
12800,2.39033,2.25311,-5,-31.864,NA,NA,NA,NA,NA
12964,2.06899,1.42036,-5,-29.778,NA,NA,NA,NA,NA
13028,1.51266,1.40286,-5,NA,-19.875,NA,NA,NA,NA
13396,2.44941,1.7446,-5,NA,NA,-28.522,NA,NA,NA
13595,1.18823,1.21,-5,-36.802,NA,NA,NA,NA,NA
13768,2.55452,1.98391,-4.21674,-25.854,NA,NA,NA,NA,NA
13988,1.84402,1.41279,-5,NA,NA,-19.481,NA,NA,NA
14020,1.60693,1.89086,-4.75991,NA,NA,-10.865,NA,NA,NA
14386,1.24285,2.45473,-4.43144,NA,NA,-37.369,NA,NA,NA
14428,2.11778,2.43774,-4.36205,NA,-19.737,NA,NA,NA,NA
14620,2.38955,1.63748,-3.6926,NA,NA,NA,-48.546,NA,NA
14942,2.48392,2.40641,-4.53255,NA,-27.718,NA,NA,NA,NA
15193,1.58726,1.26934,-3.30673,NA,-40.652,NA,NA,NA,NA
15230,2.02583,0.76532,-4.03151,NA,NA,-44.163,NA,NA,NA
15460,1.81829,1.03267,-4.45059,NA,NA,-35.162,NA,NA,NA
15693,2.09018,1.08536,-4.80634,NA,NA,-25.634,NA,NA,NA
15860,2.41375,2.43869,-5,NA,NA,-36.867,NA,NA,NA
16148,1.76329,1.9313,-4.9583,-19.493,NA,NA,NA,NA,NA
16291,2.43116,1.6535,-3.85976,NA,-19.131,NA,NA,NA,NA
16445,1.75855,1.26872,-4.5218,NA,-7.462,NA,NA,NA,NA
16788,1.43935,1.70268,-4.80883,NA,-12.327,NA,NA,NA,NA
16884,1.9015,1.26881,-4.72967,NA,-12.283,NA,NA,NA,NA
17154,1.98071,1.50194,-4.05952,NA,-4.967,NA,NA,NA,NA
17223,1.98941,1.13099,-4.59794,NA,-15.301,NA,NA,NA,NA
17542,1.95406,1.04827,-3.69683,NA,-28.984,NA,NA,NA,NA
17621,1.48393,1.30861,-3.87065,NA,-15.28,NA,NA,NA,NA
17938,1.89901,1.99907,-4.12024,NA,NA,-15.154,NA,NA,NA
18196,2.112,2.15421,-5,NA,NA,-24.939,NA,NA,NA
18393,1.8585,2.42028,-5,NA,-26.319,NA,NA,NA,NA
18419,2.01609,1.95858,-4.1396,NA,NA,-15.569,NA,NA,NA
18677,1.92835,1.48206,-3.67037,-18.045,NA,NA,NA,NA,NA
18861,1.66588,1.73078,-3.89314,-13.589,NA,NA,NA,NA,NA
19139,2.14273,1.20034,-5,NA,NA,-30.584,NA,NA,NA
19313,2.01195,1.60081,-5,-18.764,NA,NA,NA,NA,NA
19518,1.50102,1.78872,-5,NA,NA,-20.328,NA,NA,NA
19618,1.55684,1.90986,-4.46731,-15.797,NA,NA,NA,NA,NA
19902,1.8366,1.27958,-4.83322,NA,-13.563,NA,NA,NA,NA
20143,2.10607,1.88774,-5,NA,NA,-20.993,NA,NA,NA
20326,1.56707,1.69239,-5,-19.866,NA,NA,NA,NA,NA
20522,1.70748,1.27968,-5,NA,-22.849,NA,NA,NA,NA
20675,2.12131,1.31983,-5,NA,NA,-24.166,NA,NA,NA
20816,2.01917,1.95862,-5,NA,-17.477,NA,NA,NA,NA
21126,1.85306,1.69606,-5,NA,-14.474,NA,NA,NA,NA
21223,2.4129,1.65916,-4.81878,NA,-18.889,NA,NA,NA,NA
21521,1.79503,2.22725,-5,NA,-20.92,NA,NA,NA,NA
21744,1.25492,1.84957,-4.09266,-20.102,NA,NA,NA,NA,NA
21839,1.13648,1.86784,-4.11827,-17.784,NA,NA,NA,NA,NA
22107,1.79084,2.34928,-4.80947,NA,NA,-20.809,NA,NA,NA
22247,1.73501,1.75214,-4.4033,NA,-1.552,NA,NA,NA,NA
22401,1.89959,1.79189,-4.32908,NA,NA,-17.689,NA,NA,NA
22632,1.87282,1.46191,-5,-19.814,NA,NA,NA,NA,NA
22944,1.35752,1.88813,-5,NA,NA,NA,NA,-34.778,NA
23069,1.71994,1.70821,-5,NA,NA,-19.011,NA,NA,NA
23317,1.44717,1.14747,-4.54416,NA,-16.661,NA,NA,NA,NA
23412,1.84824,1.71205,-5,-23.691,NA,NA,NA,NA,NA
23794,1.18106,1.60676,-5,-26.505,NA,NA,NA,NA,NA
23888,2.44483,1.57327,-5,-30.719,NA,NA,NA,NA,NA
24062,2.6849,1.4581,-5,-36.468,NA,NA,NA,NA,NA
