id,x0,x1,x2,fitness-3.5,fitness-4.5,fitness-5
29,-2.9983,3.88856,-3.45829,-148.303,NA,NA
235,-2.9983,3.88856,-3.45829,NA,-123.849,NA
254,-2.05195,3.88856,-3.45829,NA,-105.186,NA
270,-2.05195,3.88856,-4.13078,NA,-54.061,NA
316,-2.05195,3.88856,-4.79281,NA,-38.178,NA
347,-2.05195,3.38268,-4.79281,NA,-30.377,NA
361,-2.05195,3.38268,-4.79281,NA,-22.09,NA
363,-1.59548,3.38268,-4.79281,NA,-18.533,NA
392,-1.59548,3.64426,-4.79281,NA,-2.262,NA
404,-1.59548,3.64426,-4.88274,NA,-1.779,NA
467,-1.53514,3.64426,-4.88274,NA,-0.639,NA
603,-1.53514,3.65731,-4.88274,NA,-0.552,NA
730,-1.50733,3.65731,-4.88274,NA,-0.259,NA
786,-1.50733,3.65731,-4.85956,NA,-0.171,NA
1087,-1.50733,3.68077,-4.85956,NA,-0.137,NA
1185,-1.46233,3.68077,-4.85956,NA,-0.102,NA
1430,-1.48996,3.68077,-4.85956,NA,-0.046,NA
1584,-1.48996,3.68077,-4.85956,NA,-0.022,NA
1808,-1.48996,3.68077,-4.85956,NA,-0.02,NA
2180,-1.48996,3.68077,-4.85956,NA,-0.02,NA
2350,-1.48335,3.68077,-4.85956,NA,-0.009,NA
2496,-1.48009,3.68077,-4.85956,NA,-0.008,NA
2702,-1.48009,3.67726,-4.85956,NA,-0.002,NA
3497,-1.48057,3.67726,-4.85956,NA,-0.002,NA
3806,-1.48057,3.67132,-4.85956,NA,-0.002,NA
4463,-1.48057,3.67356,-4.85956,NA,0,NA
4592,-1.48121,3.67356,-4.85956,NA,0,NA
5584,-1.48121,3.67356,-4.85837,NA,0,NA
5662,-1.48121,3.67356,-4.85837,NA,0,NA
7772,-1.48121,3.67388,-4.85837,NA,0,NA
8037,-1.48121,3.67388,-4.85837,NA,NA,-36.896
