id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2.5
54,0.949912,2.30096,-4.66532,-57.404,NA,NA
218,0.949912,2.30096,-4.66532,NA,-41.645,NA
241,2.04298,2.30096,-4.66532,NA,-28.045,NA
252,2.04298,2.30096,-4.66532,NA,NA,-16.702
275,2.04298,2.01385,-4.66532,NA,NA,-10.047
278,2.04298,1.61509,-4.66532,NA,NA,-6.528
309,2.04298,1.61509,-4.26456,NA,NA,-2.986
346,1.89302,1.61509,-4.26456,NA,NA,-1.045
404,1.89302,1.61509,-4.26456,NA,NA,-0.686
463,1.77702,1.61509,-4.26456,NA,NA,-0.096
499,1.77702,1.61509,-4.34052,NA,NA,-0.063
544,1.77702,1.58161,-4.34052,NA,NA,-0.058
642,1.77702,1.58161,-4.33445,NA,NA,-0.046
752,1.77702,1.58161,-4.28415,NA,NA,-0.044
775,1.77702,1.58161,-4.31305,NA,NA,-0.023
838,1.77702,1.58161,-4.30849,NA,NA,-0.023
915,1.77702,1.58979,-4.30849,NA,NA,-0.017
979,1.77241,1.58979,-4.30849,NA,NA,-0.011
1278,1.77241,1.58979,-4.30849,NA,NA,-0.009
1704,1.76484,1.58979,-4.30849,NA,NA,-0.003
1952,1.76484,1.59327,-4.30849,NA,NA,-0.002
2149,1.76484,1.59327,-4.30849,NA,NA,-0.002
2444,1.76484,1.59444,-4.30849,NA,NA,-0.002
2876,1.76484,1.59515,-4.30849,NA,NA,-0.002
3237,1.75249,1.59515,-4.30849,NA,NA,-0.001
3497,1.75957,1.59515,-4.30849,NA,NA,0
3653,1.75602,1.59515,-4.30849,NA,NA,0
6417,1.75794,1.59515,-4.30849,NA,NA,0
6599,1.75794,1.59515,-4.30849,NA,NA,0
6840,1.75794,1.59577,-4.30849,NA,NA,0
7346,1.75794,1.59577,-4.30864,NA,NA,0
8258,1.88307,1.59577,-4.30864,NA,NA,-0.529
